date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-05-02,436.9,403.8,436.9,0.0,436.9,35,140,59399.6
2023-05-03,463.5,445.6,463.5,436.9,26.600000000000023,5,40,18023.2
2023-05-04,501.5,472.7,501.5,463.5,38.0,6,50,24123.6
2023-05-07,542.7,511.5,542.7,501.5,41.200000000000045,6,50,26316.9
2023-05-08,575.7,553.5,575.7,542.7,33.0,3,30,16937.0
2023-05-09,598.9,587.2,598.9,575.7,23.19999999999993,2,20,11861.0
2023-05-10,623.0,610.8,623.0,598.9,24.100000000000023,2,20,12338.0
2023-05-11,661.0,635.4,661.0,623.0,38.0,3,30,19445.0
2023-05-14,727.1,674.2,727.1,661.0,66.10000000000002,6,60,42326.0
2023-05-15,771.5,741.6,771.5,727.1,44.39999999999998,5,40,30400.0
2023-05-16,848.6,771.4,848.6,771.5,77.10000000000002,11,110,91060.0
2023-05-17,933.4,865.5,933.4,848.6,84.79999999999995,5,50,45005.0
2023-05-18,1026.7,933.4,1026.7,933.4,93.30000000000008,14,90,90125.4
2023-05-21,1129.3,1047.2,1129.3,1026.7,102.59999999999992,10,100,110916.0
2023-05-22,1242.2,1151.8,1242.2,1129.3,112.90000000000008,15,150,184111.0
2023-05-23,1366.4,1267.0,1366.4,1242.2,124.20000000000005,11,110,147866.0
2023-05-24,1503.0,1393.7,1503.0,1366.4,136.5999999999999,12,110,162286.8
2023-05-28,1653.3,1533.0,1653.3,1503.0,150.29999999999995,39,380,625106.2
2023-05-30,1818.6,1686.3,1818.6,1653.3,165.29999999999995,62,620,1122966.0
2023-05-31,2000.4,1854.0,2000.4,1818.6,181.80000000000015,401,4450,8898173.9
2023-06-01,2122.8,1827.0,1892.0,2000.4,-108.40000000000008,1623,17373,33144855.0
2023-06-04,1976.0,1890.0,1949.0,1892.0,57.0,525,7100,13589025.2
2023-06-05,1930.0,1900.0,1903.0,1949.0,-46.0,342,4152,7940114.0
2023-06-06,1979.8,1910.0,1961.0,1903.0,58.0,285,4736,9246308.0
2023-06-07,1980.0,1940.0,1960.0,1961.0,-1.0,138,3555,6996624.5
2023-06-08,1965.0,1926.0,1941.0,1960.0,-19.0,164,2140,4156758.0
2023-06-11,2059.0,1941.0,2050.0,1941.0,109.0,302,5549,11186713.0
2023-06-12,2090.0,1980.0,2040.0,2050.0,-10.0,159,3350,6725948.2
2023-06-13,2068.0,1967.0,2047.0,2040.0,7.0,171,2808,5694231.0
2023-06-14,2130.0,2040.0,2060.0,2047.0,13.0,223,5476,11454602.7
2023-06-15,2200.0,2042.0,2130.0,2060.0,70.0,205,3887,8269191.0
2023-06-18,2343.0,2150.0,2343.0,2130.0,213.0,234,4917,11391530.5
2023-06-19,2534.0,2352.0,2429.0,2343.0,86.0,189,4367,10622801.3
2023-06-20,2576.0,2338.0,2340.0,2429.0,-89.0,82,1660,4003598.0
2023-06-21,2380.0,2295.4,2328.3,2340.0,-11.699999999999818,127,2854,6667259.1
2023-06-22,2367.0,2301.1,2320.1,2328.3,-8.200000000000273,94,1223,2855743.0
2023-06-25,2447.9,2320.0,2427.0,2320.1,106.90000000000008,152,2393,5734793.9
2023-06-26,2497.0,2385.3,2410.0,2427.0,-17.0,77,1168,2812107.5
2023-06-27,2651.0,2400.0,2560.0,2410.0,150.0,200,5220,13320598.9
2023-06-28,2611.0,2476.2,2491.2,2560.0,-68.80000000000018,127,3225,8087404.0
2023-07-02,2470.0,2360.1,2360.1,2491.2,-131.0999999999999,126,2100,5043497.0
2023-07-03,2400.0,2302.0,2338.0,2360.1,-22.09999999999991,86,1514,3559935.0
2023-07-04,2431.0,2300.0,2396.0,2338.0,58.0,79,1274,2961371.0
2023-07-05,2352.0,2306.0,2342.0,2396.0,-54.0,67,1163,2707977.0
2023-07-06,2388.0,2298.2,2339.0,2342.0,-3.0,100,2249,5203888.2
2023-07-09,2400.0,2312.0,2400.0,2339.0,61.0,88,1318,3116804.5
2023-07-10,2496.8,2356.2,2369.0,2400.0,-31.0,61,857,2043764.0
2023-07-11,2348.0,2300.0,2309.0,2369.0,-60.0,125,3080,7137590.5
2023-07-12,2425.0,2300.0,2360.0,2309.0,51.0,84,1728,4094671.6
2023-07-13,2440.0,2344.0,2388.7,2360.0,28.699999999999815,85,2206,5237035.6
2023-07-16,2429.9,2350.0,2363.9,2388.7,-24.799999999999727,52,980,2311905.0
2023-07-17,2405.0,2350.0,2390.1,2363.9,26.199999999999815,92,1533,3667047.0
2023-07-18,2435.0,2382.7,2425.0,2390.1,34.90000000000009,117,2604,6272172.3
2023-07-19,2425.0,2400.0,2410.0,2425.0,-15.0,59,1179,2842219.0
2023-07-20,2424.9,2325.0,2355.0,2410.0,-55.0,87,3026,7157066.6
2023-07-23,2445.0,2316.5,2410.0,2355.0,55.0,104,1988,4776185.8
2023-07-24,2425.0,2366.0,2385.0,2410.0,-25.0,68,1090,2617260.0
2023-07-25,2424.0,2295.0,2310.1,2385.0,-74.90000000000009,103,3263,7617712.0
2023-07-26,2365.0,2264.0,2324.5,2310.1,14.400000000000093,79,2235,5158500.0
2023-07-27,2364.0,2302.0,2306.0,2324.5,-18.5,39,759,1757735.0
2023-07-30,2290.0,2225.0,2255.0,2306.0,-51.0,68,1672,3776835.3
2023-07-31,2285.0,2215.0,2280.0,2255.0,25.0,55,966,2175979.0
2023-08-01,2295.0,2210.0,2230.0,2280.0,-50.0,60,1109,2473632.1
2023-08-02,2270.0,2192.3,2228.0,2230.0,-2.0,42,520,1151630.0
2023-08-03,2258.0,2210.0,2216.0,2228.0,-12.0,40,557,1244124.0
2023-08-06,2211.0,2147.1,2170.0,2216.0,-46.0,75,1569,3416709.0
2023-08-07,2200.0,2132.0,2180.0,2170.0,10.0,99,3052,6596822.7
2023-08-08,2150.0,2089.0,2137.0,2180.0,-43.0,85,2198,4660569.0
2023-08-09,2135.0,2063.0,2135.0,2137.0,-2.0,76,1256,2632849.0
2023-08-10,2120.0,2065.0,2100.2,2135.0,-34.80000000000018,50,1436,3023216.0
2023-08-13,2100.0,2060.4,2073.1,2100.2,-27.09999999999991,48,570,1183940.0
2023-08-14,2099.8,2055.0,2055.1,2073.1,-18.0,80,1267,2618036.8
2023-08-15,2055.1,2031.0,2055.0,2055.1,-0.099999999999909,60,1279,2618458.0
2023-08-16,2096.0,2040.0,2060.0,2055.0,5.0,33,450,928326.0
2023-08-17,2090.0,2031.0,2090.0,2060.0,30.0,43,815,1684388.0
2023-08-20,2100.0,2050.0,2055.0,2090.0,-35.0,41,773,1604507.0
2023-08-21,2090.0,2040.0,2085.0,2055.0,30.0,62,956,1977179.3
2023-08-22,2126.5,2050.0,2084.0,2085.0,-1.0,30,402,833645.8
2023-08-23,2121.0,2050.1,2119.5,2084.0,35.5,48,631,1324454.7
2023-08-24,2100.0,2065.0,2065.0,2119.5,-54.5,22,355,738349.0
2023-08-27,2079.0,2040.6,2040.6,2065.0,-24.40000000000009,31,360,739567.0
2023-08-28,2244.6,2025.0,2075.0,2040.6,34.40000000000009,40,610,1273510.0
2023-08-29,2050.6,2040.3,2050.0,2075.0,-25.0,28,433,885312.5
2023-08-30,2071.0,2032.0,2045.0,2050.0,-5.0,22,230,470632.0
2023-09-03,2048.0,2007.0,2026.0,2045.0,-19.0,35,444,897014.0
2023-09-04,2182.0,1987.0,2182.0,2026.0,156.0,54,715,1459100.0
2023-09-05,2139.0,2022.3,2025.1,2182.0,-156.9000000000001,29,843,1736976.0
2023-09-07,2030.0,1998.0,1998.0,2025.1,-27.09999999999991,28,490,981567.0
2023-09-10,2037.0,1980.0,1980.0,1998.0,-18.0,48,965,1925947.5
2023-09-11,2059.9,1945.2,2059.0,1980.0,79.0,42,544,1095502.5
2023-09-12,2090.0,2000.0,2000.0,2059.0,-59.0,15,240,483984.0
2023-09-13,2040.0,1977.8,2040.0,2000.0,40.0,33,633,1277505.0
2023-09-17,2021.0,1995.0,2002.1,2040.0,-37.90000000000009,21,465,930701.0
2023-09-18,2040.0,1995.0,1995.0,2002.1,-7.099999999999909,10,121,242551.0
2023-09-19,2015.0,1986.0,2000.0,1995.0,5.0,22,325,648142.0
2023-09-21,2050.0,2015.0,2025.6,2000.0,25.59999999999991,36,439,889721.0
2023-09-24,2055.6,2005.0,2015.0,2025.6,-10.599999999999907,45,741,1502343.5
2023-09-25,2023.0,2002.1,2020.0,2015.0,5.0,15,160,321567.0
2023-09-26,2048.0,2015.0,2031.0,2020.0,11.0,31,401,813916.0
2023-09-27,2025.0,2002.0,2005.0,2031.0,-26.0,31,680,1366771.0
2023-10-01,2000.0,1971.0,1982.0,2005.0,-23.0,27,345,686724.0
2023-10-02,2000.0,1962.1,1980.2,1982.0,-1.7999999999999543,34,470,928963.0
2023-10-03,1977.5,1941.1,1965.0,1980.2,-15.200000000000044,42,788,1548258.3
2023-10-04,1980.0,1950.0,1980.0,1965.0,15.0,29,435,853696.5
2023-10-05,1980.0,1963.0,1963.0,1980.0,-17.0,36,544,1070999.0
2023-10-08,1963.0,1951.0,1952.0,1963.0,-11.0,30,395,771692.5
2023-10-09,1950.0,1925.1,1940.0,1952.0,-12.0,30,310,600011.0
2023-10-10,1925.1,1915.0,1920.1,1940.0,-19.90000000000009,29,386,741847.6
