date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-06-08,223.0,202.8,223.0,0.0,223.0,331,3223,717242.3
2023-06-11,245.3,227.4,245.3,223.0,22.30000000000001,288,2858,699718.8
2023-06-12,269.8,250.2,269.8,245.3,24.5,802,12422,3350734.6
2023-06-13,296.7,254.6,296.7,269.8,26.899999999999977,5090,78893,21901591.2
2023-06-14,326.3,279.3,319.0,296.7,22.30000000000001,2742,35632,11237285.0
2023-06-15,320.0,300.1,300.3,319.0,-18.69999999999999,2217,28590,8734924.0
2023-06-18,299.0,277.2,289.1,300.3,-11.199999999999989,1657,49791,14354572.3
2023-06-19,287.0,278.4,284.6,289.1,-4.5,850,17866,5032991.0
2023-06-20,284.0,274.0,278.0,284.6,-6.600000000000023,580,13448,3727304.7
2023-06-21,276.0,267.3,271.0,278.0,-7.0,735,14784,4001340.1
2023-06-22,270.0,261.0,264.0,271.0,-7.0,549,9747,2575265.4
2023-06-25,270.4,252.1,270.0,264.0,6.0,785,22187,5730320.7
2023-06-26,280.0,260.0,269.0,270.0,-1.0,564,16541,4378570.3
2023-06-27,274.2,255.1,268.0,269.0,-1.0,480,9935,2626895.0
2023-06-28,273.0,256.1,263.0,268.0,-5.0,413,8720,2278987.5
2023-07-02,258.0,247.4,247.4,263.0,-15.599999999999994,451,11249,2832487.5
2023-07-03,252.3,237.0,237.1,247.4,-10.300000000000011,449,10062,2425419.6
2023-07-04,239.8,229.5,230.0,237.1,-7.099999999999994,352,12012,2788389.0
2023-07-05,249.9,222.0,223.5,230.0,-6.5,377,17941,4100656.3
2023-07-06,227.9,219.3,224.0,223.5,0.5,418,6690,1491582.0
2023-07-09,240.7,218.0,229.0,224.0,5.0,462,6683,1514040.3
2023-07-10,234.6,222.1,227.4,229.0,-1.5999999999999943,398,7595,1728960.0
2023-07-11,230.0,222.9,228.0,227.4,0.5999999999999943,345,10400,2354488.0
2023-07-12,244.0,224.0,240.6,228.0,12.599999999999994,409,11187,2654362.7
2023-07-13,244.9,232.1,236.2,240.6,-4.400000000000006,331,8649,2065752.0
2023-07-16,232.2,227.2,232.2,236.2,-4.0,292,5089,1164075.0
2023-07-17,238.7,224.6,235.0,232.2,2.800000000000012,386,5512,1274761.0
2023-07-18,244.0,226.0,235.0,235.0,0.0,343,7115,1665004.0
2023-07-19,238.0,226.3,232.0,235.0,-3.0,289,4989,1146294.8
2023-07-20,236.6,226.0,236.0,232.0,4.0,330,12037,2764530.8
2023-07-23,240.6,231.4,235.0,236.0,-1.0,359,5756,1356088.0
2023-07-24,243.6,233.0,236.4,235.0,1.4000000000000057,327,6918,1637562.5
2023-07-25,239.5,228.6,231.0,236.4,-5.400000000000006,261,9807,2278757.5
2023-07-26,232.0,226.6,231.0,231.0,0.0,222,5915,1354934.2
2023-07-27,231.0,226.4,226.5,231.0,-4.5,155,3740,854366.0
2023-07-30,226.6,223.3,224.2,226.5,-2.300000000000012,218,4962,1114022.4
2023-07-31,225.5,222.1,222.6,224.2,-1.5999999999999943,256,5047,1126835.7
2023-08-01,227.0,215.0,218.0,222.6,-4.599999999999994,294,5789,1263971.0
2023-08-02,218.0,212.2,217.0,218.0,-1.0,263,5621,1203932.0
2023-08-03,217.0,212.1,214.1,217.0,-2.9000000000000057,250,6941,1483273.0
2023-08-06,210.0,206.1,207.5,214.1,-6.599999999999994,266,5060,1050285.3
2023-08-07,208.0,203.4,207.0,207.5,-0.5,348,6245,1280241.8
2023-08-08,214.2,200.1,201.1,207.0,-5.900000000000006,319,5131,1047159.6
2023-08-09,209.0,197.3,205.0,201.1,3.9000000000000057,287,4027,812190.6
2023-08-10,213.0,202.0,203.8,205.0,-1.1999999999999886,291,4690,962863.1
2023-08-13,210.0,200.3,201.6,203.8,-2.200000000000017,474,10515,2149226.6
2023-08-14,208.0,200.0,202.0,201.6,0.4000000000000057,343,4015,811154.5
2023-08-15,202.0,198.1,198.1,202.0,-3.9000000000000057,235,4555,910254.4
2023-08-16,198.0,192.2,196.0,198.1,-2.0999999999999943,155,6020,1175079.0
2023-08-17,199.9,188.6,188.9,196.0,-7.099999999999994,163,4100,780133.0
2023-08-20,189.0,181.0,182.0,188.9,-6.900000000000006,249,5320,974911.0
2023-08-21,180.0,170.0,172.6,182.0,-9.400000000000006,169,6815,1191248.3
2023-08-22,179.5,171.0,178.0,172.6,5.400000000000006,205,5301,924083.6
2023-08-23,191.7,175.1,191.7,178.0,13.699999999999989,208,4836,892551.0
2023-08-24,194.2,182.0,183.9,191.7,-7.799999999999983,164,4344,820506.0
2023-08-27,182.0,172.0,178.0,183.9,-5.900000000000006,173,2044,360001.0
2023-08-28,181.0,174.5,181.0,178.0,3.0,158,3818,683200.5
2023-08-29,180.4,175.0,178.0,181.0,-3.0,147,3730,663613.0
2023-08-30,181.5,172.0,175.0,178.0,-3.0,138,3100,545342.5
2023-09-03,175.8,172.0,175.0,175.0,0.0,161,2825,488258.5
2023-09-04,182.0,171.5,182.0,175.0,7.0,149,3035,530730.5
2023-09-05,181.0,175.5,176.1,182.0,-5.900000000000006,130,2889,511975.0
2023-09-07,180.0,172.8,179.0,176.1,2.9000000000000057,134,5225,922847.1
2023-09-10,188.5,176.0,188.0,179.0,9.0,188,4040,737353.0
2023-09-11,204.0,181.0,201.0,188.0,13.0,274,10997,2166116.2
2023-09-12,210.0,187.4,197.5,201.0,-3.5,131,9425,1872759.2
2023-09-13,212.0,190.0,212.0,197.5,14.5,225,6910,1403050.0
2023-09-17,210.0,193.1,195.0,212.0,-17.0,242,19419,3878204.1
2023-09-18,212.1,188.0,212.0,195.0,17.0,198,5990,1198863.1
2023-09-19,228.5,199.0,225.0,212.0,13.0,475,25367,5520671.6
2023-09-21,242.7,225.1,231.0,225.0,6.0,621,36575,8624137.4
2023-09-24,232.6,221.5,222.5,231.0,-8.5,332,14329,3247245.6
2023-09-25,241.7,218.1,234.0,222.5,11.5,413,18268,4252748.7
2023-09-26,245.0,230.0,244.0,234.0,10.0,543,18323,4393785.9
2023-09-27,241.7,232.0,235.4,244.0,-8.599999999999994,310,20680,4867173.4
2023-10-01,235.0,218.7,222.0,235.4,-13.400000000000006,316,21698,4890317.1
2023-10-02,231.5,216.0,224.9,222.0,2.9000000000000057,329,14128,3136281.9
2023-10-03,223.0,216.0,218.0,224.9,-6.900000000000006,180,5150,1128100.0
2023-10-04,229.5,216.0,222.5,218.0,4.5,307,6874,1526069.6
2023-10-05,229.5,219.7,220.0,222.5,-2.5,238,6336,1413138.6
2023-10-08,218.0,210.8,212.9,220.0,-7.099999999999994,211,11767,2513150.5
2023-10-09,217.0,207.0,207.1,212.9,-5.800000000000011,188,5508,1155393.7
2023-10-10,212.0,204.0,211.0,207.1,3.9000000000000057,199,4205,868891.4
