date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-10-12,397.2,361.1,397.2,0.0,397.2,1300,13674,5423319.6
2023-10-16,436.9,358.2,362.5,397.2,-34.69999999999999,5496,69045,26937096.6
2023-10-17,387.0,356.0,360.1,362.5,-2.3999999999999773,1407,24008,8718952.2
2023-10-18,385.0,355.2,385.0,360.1,24.899999999999977,779,8654,3232523.0
2023-10-19,387.0,372.7,384.5,385.0,-0.5,401,7467,2839725.7
2023-10-29,376.9,358.3,367.0,384.5,-17.5,648,13335,4825765.1
2023-10-30,374.0,352.8,366.0,367.0,-1.0,491,10137,3663015.2
2023-10-31,369.0,360.0,369.0,366.0,3.0,327,4920,1780862.0
2023-11-01,366.0,356.0,361.1,369.0,-7.899999999999977,310,4299,1555648.6
2023-11-02,364.0,354.0,357.1,361.1,-4.0,344,5930,2125822.0
2023-11-05,360.0,352.0,356.0,357.1,-1.1000000000000227,279,3910,1392208.0
2023-11-06,372.0,355.0,366.5,356.0,10.5,399,7390,2684543.0
2023-11-07,384.8,360.0,370.0,366.5,3.5,288,5410,2026219.5
2023-11-08,398.0,363.7,395.0,370.0,25.0,389,17150,6650691.5
2023-11-09,400.0,378.0,378.4,395.0,-16.600000000000023,159,5930,2271360.0
2023-11-20,390.2,377.4,389.0,378.4,10.600000000000025,291,6922,2665248.0
2023-11-21,384.0,376.1,382.0,389.0,-7.0,228,10370,3941785.2
2023-11-22,391.0,375.0,391.0,382.0,9.0,267,5561,2113798.8
2023-11-23,403.0,379.0,398.0,391.0,7.0,306,9037,3581347.8
2023-11-26,437.8,390.1,437.8,398.0,39.80000000000001,737,25091,10754149.0
2023-11-27,462.0,437.0,446.5,437.8,8.699999999999989,614,40705,18183362.4
2023-11-28,454.0,433.3,438.0,446.5,-8.5,378,15082,6673576.9
2023-11-29,443.0,425.3,430.0,438.0,-8.0,226,6210,2693334.0
2023-11-30,438.0,417.0,418.3,430.0,-11.699999999999989,237,5820,2470629.0
2023-12-03,432.0,413.0,432.0,418.3,13.699999999999989,254,6337,2658210.1
2023-12-04,445.0,410.0,435.0,432.0,3.0,272,15943,6769850.8
2023-12-05,430.0,418.0,425.0,435.0,-10.0,194,5080,2150630.0
2023-12-06,435.0,417.1,434.7,425.0,9.699999999999989,228,9610,4113518.6
2023-12-07,443.3,427.1,427.1,434.7,-7.599999999999966,261,14212,6148936.0
2023-12-10,450.0,435.6,441.0,427.1,13.899999999999975,18,3650,1614825.0
2023-12-11,464.0,432.0,455.0,441.0,14.0,635,37059,16619787.8
2023-12-12,484.9,445.9,477.0,455.0,22.0,396,13807,6509979.0
2023-12-13,494.0,458.8,470.0,477.0,-7.0,375,19877,9428226.5
2023-12-14,472.0,454.1,462.0,470.0,-8.0,284,17738,8256502.5
2023-12-17,499.0,452.0,487.0,462.0,25.0,595,43595,21044348.0
2023-12-18,504.0,475.0,494.0,487.0,7.0,447,30405,14830129.6
2023-12-19,505.0,481.0,505.0,494.0,11.0,400,16673,8246623.7
2023-12-20,520.0,493.0,515.0,505.0,10.0,492,31910,16096183.5
2023-12-21,558.0,490.5,558.0,515.0,43.0,530,33285,17137113.1
2023-12-24,574.9,525.0,526.2,558.0,-31.799999999999955,664,30713,17012789.0
2023-12-27,542.9,516.0,532.0,526.2,5.7999999999999545,483,21147,11206074.7
2023-12-28,538.0,525.0,528.0,532.0,-4.0,397,12276,6515619.8
2024-01-01,538.0,506.0,508.0,528.0,-20.0,349,11187,5800771.4
2024-01-02,510.0,497.9,510.0,508.0,2.0,327,15680,7924481.0
2024-01-03,561.0,502.0,561.0,510.0,51.0,542,21702,11664834.2
2024-01-04,590.0,549.8,570.0,561.0,9.0,481,30252,17459990.8
2024-01-07,588.9,547.6,584.0,570.0,14.0,449,29562,16894989.0
2024-01-08,590.0,555.0,584.4,584.0,0.3999999999999772,387,25259,14488672.0
2024-01-09,593.0,565.0,574.0,584.4,-10.399999999999975,323,23928,13767140.5
2024-01-10,575.0,555.1,555.1,574.0,-18.899999999999977,238,7992,4516071.0
2024-01-11,570.0,552.0,563.0,555.1,7.899999999999977,244,10255,5770291.0
2024-01-14,582.0,563.2,577.0,563.0,14.0,269,18537,10661838.1
2024-01-16,598.0,558.0,598.0,577.0,21.0,432,36138,21017285.0
2024-01-17,603.8,567.0,603.8,598.0,5.7999999999999545,446,23335,13674432.6
2024-01-18,597.9,570.0,597.0,603.8,-6.7999999999999545,458,20337,11968569.5
2024-01-21,600.0,572.0,580.0,597.0,-17.0,400,17183,10083827.1
2024-01-22,586.0,562.0,578.0,580.0,-2.0,337,14318,8166426.5
2024-01-23,578.0,560.2,567.2,578.0,-10.799999999999956,269,5524,3135411.8
2024-01-24,580.0,550.1,563.0,567.2,-4.2000000000000455,200,8008,4488084.0
2024-01-25,575.0,552.0,570.0,563.0,7.0,261,13339,7538152.0
2024-01-28,581.0,562.0,575.0,570.0,5.0,343,12004,6860915.1
2024-01-29,595.9,566.3,591.0,575.0,16.0,338,19958,11597649.0
2024-01-30,620.0,583.0,612.0,591.0,21.0,667,35369,21418579.1
2024-01-31,620.0,590.0,620.0,612.0,8.0,342,28262,17091142.9
2024-02-01,610.0,590.1,605.0,620.0,-15.0,194,10095,6073565.0
2024-02-04,646.0,590.1,646.0,605.0,41.0,251,24794,15106315.0
2024-02-05,710.0,620.0,649.9,646.0,3.899999999999977,379,28825,18291379.7
2024-02-06,689.5,623.5,649.0,649.9,-0.8999999999999773,228,10980,7083674.6
2024-02-07,659.0,610.0,632.0,649.0,-17.0,326,31730,19575716.1
2024-02-08,640.0,597.0,621.5,632.0,-10.5,223,24648,15096368.6
2024-02-11,632.0,609.0,620.0,621.5,-1.5,260,31579,19366636.1
2024-02-12,639.0,607.6,629.0,620.0,9.0,201,9146,5691497.4
2024-02-13,634.4,615.0,631.7,629.0,2.700000000000045,212,18287,11390217.4
2024-02-14,637.0,615.0,617.0,631.7,-14.700000000000044,185,10972,6834201.0
2024-02-15,625.0,607.1,616.0,617.0,-1.0,202,9883,6067161.3
2024-02-18,606.3,595.1,596.0,616.0,-20.0,235,8652,5207992.5
2024-02-20,606.9,586.1,605.0,596.0,9.0,277,18812,11265474.0
2024-02-21,610.0,594.1,600.0,605.0,-5.0,201,8868,5317150.9
2024-02-22,600.0,581.2,595.0,600.0,-5.0,202,10140,5977308.6
2024-02-25,595.0,566.0,592.0,595.0,-3.0,160,7199,4172082.0
2024-02-26,590.0,569.0,590.0,592.0,-2.0,126,6550,3780212.0
2024-02-27,590.0,570.0,579.0,590.0,-11.0,72,2640,1533995.0
2024-02-28,584.0,567.7,584.0,579.0,5.0,123,14551,8367987.5
2024-02-29,581.0,561.0,578.0,584.0,-6.0,99,8558,4892603.0
2024-03-03,569.0,548.0,565.0,578.0,-13.0,94,4845,2694685.0
2024-03-04,599.0,576.0,599.0,565.0,34.0,5,240,138700.0
2024-03-05,599.0,567.5,576.9,599.0,-22.100000000000023,118,6219,3580628.5
2024-03-06,585.0,565.7,566.0,576.9,-10.899999999999975,133,7405,4231707.0
2024-03-07,580.0,566.0,575.0,566.0,9.0,111,5456,3111740.6
2024-03-10,584.9,568.2,574.1,575.0,-0.8999999999999773,120,8988,5191399.9
2024-03-12,601.0,577.1,601.0,574.1,26.899999999999977,207,14079,8275402.0
