date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-07-28,367.4,334.0,367.4,,33.4,1358,13720,5036712.0
2022-07-29,404.1,363.0,378.0,367.4,10.6,3278,55635,20842346.1
2022-07-31,395.8,370.0,395.8,378.0,17.8,2020,22370,8461266.4
2022-08-01,410.1,375.1,406.5,395.8,10.7,1184,21390,8558967.0
2022-08-02,447.1,398.0,447.1,406.5,40.6,1364,41189,17660563.0
2022-08-03,482.6,435.0,466.1,447.1,19.0,958,30777,14198570.2
2022-08-04,495.5,448.0,487.0,466.1,20.9,992,33555,16129705.5
2022-08-05,482.4,459.0,472.1,487.0,-14.9,750,26010,12336119.7
2022-08-07,504.0,465.1,482.0,472.1,9.9,1151,27273,13109018.2
2022-08-08,520.0,480.0,497.0,482.0,15.0,1108,27790,13860900.0
2022-08-09,515.0,480.0,487.0,497.0,-10.0,875,19469,9474064.0
2022-08-10,484.5,470.0,477.0,487.0,-10.0,760,14665,6969095.0
2022-08-11,499.0,468.0,468.0,477.0,-9.0,651,18162,8653948.5
2022-08-14,486.0,458.7,459.2,468.0,-8.8,651,15793,7290647.9
2022-08-15,475.2,450.0,475.0,459.2,15.8,527,12940,6051166.6
2022-08-16,493.0,458.0,467.0,475.0,-8.0,410,23137,10775743.5
2022-08-17,480.0,453.0,475.0,467.0,8.0,452,26513,12493178.5
2022-08-18,499.5,466.1,489.0,475.0,14.0,652,21993,10776042.1
2022-08-22,495.0,465.2,481.4,476.0,5.4,392,10150,4786722.0
2022-08-23,480.0,467.0,479.0,481.4,-2.4,326,5090,2414028.0
2022-08-24,480.0,461.1,472.0,479.0,-7.0,322,9780,4621758.0
2022-08-25,480.0,460.1,461.0,472.0,-11.0,315,13306,6197379.5
2022-08-26,457.0,449.0,454.9,461.0,-6.1,160,5720,2585807.0
2022-08-28,455.9,428.5,445.0,454.9,-9.9,351,16573,7315287.6
2022-08-29,452.0,423.3,440.0,445.0,-5.0,255,10911,4750252.4
2022-08-30,456.0,432.0,434.0,440.0,-6.0,142,3151,1374277.0
2022-08-31,450.0,412.0,414.0,434.0,-20.0,208,8330,3510895.3
2022-09-01,433.0,400.7,429.0,414.0,15.0,245,5130,2141765.0
2022-09-02,444.7,420.1,421.0,429.0,-8.0,61,1210,513124.0
2022-09-04,444.0,415.0,429.0,421.0,8.0,272,5245,2235917.0
2022-09-05,437.5,423.6,425.4,429.0,-3.6,195,3360,1438730.0
2022-09-06,433.0,412.0,426.0,425.4,0.6,147,4421,1854474.2
2022-09-07,430.0,411.0,421.4,426.0,-4.6,157,1750,732858.0
2022-09-08,437.0,416.7,437.0,421.4,15.6,169,3940,1675343.0
2022-09-11,439.0,422.6,427.0,437.0,-10.0,134,3400,1451418.0
2022-09-12,421.0,416.0,420.0,427.0,-7.0,151,3030,1266798.0
2022-09-13,436.5,415.0,421.0,420.0,1.0,157,3790,1595917.0
2022-09-14,440.0,415.0,437.0,421.0,16.0,288,13157,5643859.8
2022-09-15,430.0,403.1,411.0,437.0,-26.0,190,10060,4172264.5
2022-09-16,423.3,389.0,423.0,411.0,12.0,77,5390,2165341.0
2022-09-18,414.6,394.0,409.0,423.0,-14.0,160,5110,2048021.0
2022-09-20,405.0,380.0,388.0,409.0,-21.0,138,4161,1614934.0
2022-09-21,395.0,380.0,380.0,388.0,-8.0,106,2750,1054751.0
2022-09-22,394.0,353.0,360.0,380.0,-20.0,141,16182,5896886.8
2022-09-25,360.0,345.0,354.9,360.0,-5.1,117,2217,774577.1
2022-09-27,367.2,340.0,363.0,354.9,8.1,106,4395,1544084.0
2022-09-28,360.0,345.0,345.0,363.0,-18.0,46,1439,502062.0
2022-09-29,361.0,338.1,358.0,345.0,13.0,47,725,252600.0
2022-10-09,367.0,348.0,367.0,358.0,9.0,53,870,309679.0
2022-10-10,368.0,343.6,367.9,367.0,0.9,72,6495,2243502.0
2022-10-11,360.6,336.3,341.5,367.9,-26.4,59,4460,1525515.2
2022-10-12,356.0,331.0,353.6,341.5,12.1,65,1356,460161.0
2022-10-13,353.0,341.2,343.0,353.6,-10.6,55,3730,1283493.0
2022-10-16,349.8,330.0,349.8,343.0,6.8,98,4250,1426945.0
2022-10-17,342.9,332.0,335.0,349.8,-14.8,50,1020,342484.0
2022-10-19,335.0,322.5,322.5,335.0,-12.5,71,1845,602818.0
2022-10-20,336.6,310.5,336.6,322.5,14.1,72,2581,816667.0
2022-10-23,330.3,317.0,327.0,336.6,-9.6,40,770,248493.0
