date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-01-04,213.7,194.3,213.7,0.0,213.7,38,370,78066.7
2023-01-05,235.0,217.9,235.0,213.7,21.30000000000001,37,370,86528.0
2023-01-08,258.5,239.7,258.5,235.0,23.5,43,430,110689.0
2023-01-09,284.3,263.6,284.3,258.5,25.80000000000001,34,340,96150.0
2023-01-10,312.7,289.9,312.7,284.3,28.399999999999977,114,1140,355915.0
2023-01-12,343.9,318.9,343.9,312.7,31.19999999999999,289,2890,993256.0
2023-01-17,378.2,350.7,378.2,343.9,34.30000000000001,438,4980,1880773.0
2023-01-18,416.0,385.7,416.0,378.2,37.80000000000001,912,16324,6779761.0
2023-01-19,439.6,401.2,419.1,416.0,3.1000000000000227,1818,21229,8857146.3
2023-01-23,420.0,405.0,412.0,419.1,-7.100000000000023,796,11120,4583428.0
2023-01-24,412.0,400.0,408.0,412.0,-4.0,612,6710,2725917.0
2023-01-25,448.8,402.1,442.0,408.0,34.0,524,13179,5613533.4
2023-01-26,486.2,442.1,486.2,442.0,44.19999999999999,394,10923,5121572.3
2023-01-29,534.8,487.0,534.8,486.2,48.599999999999966,452,21198,11070296.2
2023-01-30,588.2,545.4,569.9,534.8,35.10000000000002,971,38326,21904852.5
2023-01-31,611.9,539.0,611.9,569.9,42.0,711,15594,8887087.0
2023-02-01,611.9,571.0,596.0,611.9,-15.899999999999975,532,15763,9300593.5
2023-02-02,600.0,560.6,573.0,596.0,-23.0,441,18237,10521047.3
2023-02-05,573.9,540.8,567.0,573.0,-6.0,438,16040,8913865.5
2023-02-06,555.7,537.0,540.5,567.0,-26.5,282,5651,3085572.5
2023-02-07,572.0,536.2,558.9,540.5,18.399999999999977,317,8910,4905884.0
2023-02-08,600.0,538.0,570.0,558.9,11.100000000000025,272,9113,5079178.2
2023-02-09,627.0,548.0,627.0,570.0,57.0,652,38364,22831293.0
2023-02-12,653.0,592.0,641.5,627.0,14.5,702,33770,21324847.4
2023-02-14,630.0,600.0,609.0,641.5,-32.5,425,22781,14009635.7
2023-02-15,654.7,590.0,654.7,609.0,45.700000000000045,319,11799,7163455.9
2023-02-16,647.0,600.1,640.0,654.7,-14.700000000000044,276,21239,13154589.0
2023-02-20,677.2,603.1,610.0,640.0,-30.0,274,14501,9022807.3
2023-02-22,640.0,600.2,629.0,610.0,19.0,294,14040,8705003.0
2023-02-23,617.0,598.0,598.0,629.0,-31.0,165,7752,4680497.8
2023-02-26,601.8,552.8,601.8,598.0,3.7999999999999545,164,6556,3812573.0
2023-02-27,610.0,570.0,584.0,601.8,-17.799999999999955,96,8772,5101242.5
2023-02-28,579.0,562.0,568.0,584.0,-16.0,93,2920,1657967.0
2023-03-01,594.0,550.0,594.0,568.0,26.0,130,5891,3333441.5
2023-03-02,605.8,547.0,565.9,594.0,-28.100000000000023,123,5055,2804012.5
2023-03-05,577.0,535.0,539.0,565.9,-26.899999999999977,73,870,469487.0
2023-03-07,549.0,528.3,528.3,539.0,-10.700000000000044,85,1197,639669.1
2023-03-09,549.5,510.0,544.9,528.3,16.600000000000023,124,5017,2647553.6
2023-03-12,561.0,529.4,543.0,544.9,-1.8999999999999773,125,7145,3853194.0
2023-03-13,538.9,517.7,535.0,543.0,-8.0,75,1255,662018.0
2023-03-14,555.0,515.1,554.0,535.0,19.0,68,1097,588865.0
2023-03-15,572.0,525.1,525.1,554.0,-28.899999999999977,52,1629,875302.7
