date,high,low,close,previous,diff,numtrans,tradedshares,volume
2011-04-19,713.0,713.0,713.0,700.0,13.0,1,10,7130.0
2011-04-26,727.0,727.0,727.0,713.0,14.0,1,428755,311704885.0
2011-06-08,755.0,741.0,755.0,727.0,28.0,2,23,17225.0
2011-06-09,785.0,770.0,785.0,755.0,30.0,2,30,23370.0
2011-06-12,816.0,800.0,816.0,785.0,31.0,2,25,20160.0
2011-06-13,832.0,832.0,832.0,816.0,16.0,1,25,20800.0
2011-06-14,848.0,848.0,848.0,832.0,16.0,1,14,11872.0
2011-06-15,890.0,890.0,890.0,848.0,42.0,1,10,8900.0
2011-06-16,907.0,907.0,907.0,890.0,17.0,1,17,15419.0
2011-06-19,952.0,952.0,952.0,907.0,45.0,1,30,28560.0
2011-06-20,990.0,971.0,990.0,952.0,38.0,2,30,29320.0
2011-06-21,1009.0,1009.0,1009.0,990.0,19.0,1,10,10090.0
2011-06-23,1080.0,1059.0,1080.0,1009.0,71.0,2,70,74760.0
2011-06-26,1179.0,1134.0,1179.0,1080.0,99.0,3,110,126300.0
2011-06-27,1250.0,1202.0,1250.0,1179.0,71.0,3,130,158420.0
2011-06-29,1364.0,1312.0,1364.0,1250.0,114.0,3,180,241620.0
2011-06-30,1489.0,1432.0,1489.0,1364.0,125.0,3,190,279450.0
2011-07-05,1548.0,1518.0,1548.0,1489.0,59.0,2,20,30660.0
2011-07-10,1702.0,1578.0,1702.0,1548.0,154.0,7,550,896600.0
2011-07-11,1872.0,1736.0,1872.0,1702.0,170.0,5,50,90240.0
2011-07-13,1909.0,1835.0,1835.0,1872.0,-37.0,3,73,136737.0
2011-07-14,1799.0,1729.0,1729.0,1835.0,-106.0,3,60,106470.0
2011-07-17,1700.0,1691.0,1691.0,1729.0,-38.0,2,428805,725109705.0
2011-08-04,1690.0,1690.0,1690.0,1691.0,-1.0,2,320,540800.0
2011-08-10,1690.0,1690.0,1690.0,1690.0,,1,250,422500.0
2011-08-16,1690.0,1690.0,1690.0,1690.0,,2,250,422500.0
2011-08-18,1690.0,1690.0,1690.0,1690.0,,1,10,16900.0
2011-08-30,1690.0,1690.0,1690.0,1690.0,,3,200,338000.0
2011-10-10,1690.0,1690.0,1690.0,1690.0,,1,14,23660.0
2011-11-28,1690.0,1690.0,1690.0,1690.0,,1,127,214630.0
2012-04-12,1690.0,1690.0,1690.0,1690.0,,2,960,1622400.0
2012-09-11,1680.0,1680.0,1680.0,1690.0,-10.0,1,20,33600.0
2013-05-26,1680.0,1680.0,1680.0,1680.0,,2,20,33600.0
2013-07-15,1680.0,1680.0,1680.0,1680.0,,1,60,100800.0
2014-08-26,1660.0,1660.0,1660.0,1660.0,,1,840,1394400.0
2014-09-10,1660.0,1660.0,1660.0,1660.0,,2,82,136120.0
2016-11-15,1660.0,1660.0,1660.0,1660.0,,1,100,166000.0
2018-02-27,1693.0,1693.0,1693.0,1660.0,33.0,1,100,169300.0
2019-05-06,1760.0,1726.0,1760.0,1693.0,67.0,2,20,34860.0
2019-10-10,1830.0,1795.0,1830.0,1760.0,70.0,2,134,244870.0
2021-08-01,1903.9,1866.6,1903.9,1830.0,73.9,2,360,685031.0
2022-05-17,1941.9,1941.9,1941.9,1903.9,38.0,1,21,40779.9
2022-09-13,2136.0,1980.7,2136.0,1941.9,194.1,5,52,106957.4
2022-09-14,2178.7,2178.7,2178.7,2136.0,42.7,1,10,21787.0
2022-09-25,2222.2,2222.2,2222.2,2178.7,43.5,1,10,22222.0
2023-07-11,2311.9,2266.6,2311.9,2222.2,89.70000000000027,2,20,45785.0
2023-08-07,2405.2,2358.1,2405.2,2311.9,93.29999999999971,2,20,47633.0
2023-09-24,2453.3,2453.3,2453.3,2405.2,48.10000000000037,1,22,53972.6
2023-12-11,2698.6,2502.3,2698.6,2453.3,245.29999999999973,5,50,130118.0
2023-12-12,2968.4,2752.5,2968.4,2698.6,269.8000000000002,5,50,143128.0
2023-12-13,3265.2,3027.7,3265.2,2968.4,296.7999999999997,5,50,157438.0
2023-12-14,3591.7,3330.5,3591.7,3265.2,326.5,5,50,173186.0
2023-12-17,3950.8,3663.5,3950.8,3591.7,359.1000000000004,5,50,190500.0
2023-12-18,4345.8,3950.7,4345.8,3950.8,395.0,6,60,249050.0
2023-12-19,4780.3,4432.7,4780.3,4345.8,434.5,5,50,230499.0
2023-12-20,5258.3,4875.9,5258.3,4780.3,478.0,5,50,253546.0
2023-12-21,5784.1,5363.4,5784.1,5258.3,525.8000000000002,5,50,278897.0
2023-12-24,6362.5,5899.7,6362.5,5784.1,578.3999999999996,5,50,306783.0
2023-12-27,6235.5,6235.5,6235.5,6362.5,-127.0,1,10,62355.0
2024-01-31,6360.2,6360.2,6360.2,6235.5,124.69999999999982,1,10,63602.0
2024-02-12,6996.2,6487.4,6996.2,6360.2,636.0,5,50,337344.0
2024-02-13,7695.8,7136.1,7695.8,6996.2,699.6000000000004,5,50,371077.0
2024-02-14,8465.3,7849.7,8465.3,7695.8,769.4999999999991,5,50,408183.0
2024-02-15,9311.8,8634.6,9311.8,8465.3,846.5,5,50,448998.0
2024-02-18,10242.9,9498.0,10242.9,9311.8,931.1000000000004,6,60,596325.0
2024-02-20,11267.1,10447.7,11267.1,10242.9,1024.2000000000007,5,50,543281.0
2024-02-21,12393.8,11492.4,12393.8,11267.1,1126.699999999999,5,50,597607.0
2024-02-22,13415.2,12641.6,13415.2,12393.8,1021.4000000000016,4,40,521034.0
2024-02-25,14756.7,13683.5,14756.7,13415.2,1341.5,6,61,873867.7
2024-02-26,16232.3,15051.8,16232.3,14756.7,1475.5999999999983,5,50,782696.0
2024-02-27,17855.5,16556.9,17855.5,16232.3,1623.2000000000007,5,50,860963.0
2024-02-28,19641.0,17855.5,19641.0,17855.5,1785.5,21,220,4036052.0
2024-02-29,21605.1,20033.8,21605.1,19641.0,1964.0999999999983,7,70,1473863.0
2024-03-03,23765.6,19511.0,22834.0,21605.1,1228.9000000000017,67,687,15134546.6
2024-03-04,23290.6,23290.6,23290.6,22834.0,456.59999999999854,1,10,232906.0
2024-03-05,23756.4,20961.6,20962.0,23290.6,-2328.5999999999985,36,366,7805581.0
2024-03-06,21381.0,19336.0,21000.0,20962.0,38.0,15,160,3279171.0
2024-03-07,21500.0,18900.0,21500.0,21000.0,500.0,29,330,6492282.0
2024-03-12,21070.0,21070.0,21070.0,21500.0,-430.0,1,10,210700.0
2024-03-14,20648.6,20648.6,20648.6,21070.0,-421.4000000000015,1,10,206486.0
2024-03-17,20235.7,20235.7,20235.7,20648.6,-412.8999999999978,1,10,202357.0
2024-03-20,19831.0,18350.0,18350.0,20235.7,-1885.7000000000007,6,60,1136772.0
2024-03-21,17983.0,16615.0,16615.0,18350.0,-1735.0,24,241,4137084.0
2024-03-25,18276.5,16947.3,18276.5,16615.0,1661.5,8,80,1423104.0
2024-03-26,20104.1,18500.0,18543.6,18276.5,267.09999999999854,15,150,2880886.0
2024-03-27,18360.0,18000.0,18360.0,18543.6,-183.59999999999852,7,80,1452510.0
2024-03-28,18727.2,18300.0,18300.0,18360.0,-60.0,8,89,1639597.0
2024-03-31,17950.0,16901.4,16901.4,18300.0,-1398.5999999999983,4,40,696895.0
2024-04-01,17584.1,17239.4,17250.2,16901.4,348.7999999999993,3,30,520737.0
2024-04-02,17595.2,17595.2,17595.2,17250.2,345.0,1,10,175952.0
2024-04-03,17243.3,17243.3,17243.3,17595.2,-351.90000000000146,1,10,172433.0
2024-04-04,16899.0,16899.0,16899.0,17243.3,-344.2999999999993,1,10,168990.0
2024-04-07,16800.1,16366.0,16599.0,16899.0,-300.0,14,141,2329501.0
2024-04-09,16267.1,15630.0,15942.6,16599.0,-656.3999999999996,10,100,1584126.0
2024-04-10,16918.3,15400.0,16918.3,15942.6,975.6999999999988,17,210,3316530.0
2024-04-14,17222.0,16580.0,17222.0,16918.3,303.7000000000007,4,50,836020.0
2024-04-15,16877.6,16210.0,16210.0,17222.0,-1012.0,4,40,658378.0
2024-04-16,15885.8,15885.8,15885.8,16210.0,-324.2000000000007,1,10,158858.0
2024-04-18,15580.0,15580.0,15580.0,15885.8,-305.7999999999993,1,10,155800.0
2024-04-21,15570.0,15269.2,15570.0,15580.0,-10.0,2,20,308392.0
2024-04-22,15881.4,15484.1,15484.1,15570.0,-85.89999999999964,3,30,471655.0
2024-04-24,16109.0,15793.7,16109.0,15484.1,624.8999999999996,2,20,319027.0
2024-04-28,15800.0,15800.0,15800.0,16109.0,-309.0,1,10,158000.0
2024-04-29,16167.0,15505.1,16167.0,15800.0,367.0,9,100,1592710.0
2024-04-30,15845.0,15240.0,15240.0,16167.0,-927.0,6,61,945605.0
2024-05-02,15855.6,15544.8,15800.1,15240.0,560.1000000000004,3,31,487549.8
2024-05-05,15800.0,15484.1,15484.1,15800.1,-316.0,3,30,467691.0
2024-05-06,15200.0,15180.2,15180.2,15484.1,-303.89999999999964,2,20,303802.0
2024-05-07,15450.0,15400.0,15450.0,15180.2,269.7999999999993,3,40,617500.0
2024-05-08,15450.0,15449.9,15450.0,15450.0,0.0,2,20,308999.0
2024-05-09,15454.0,15151.0,15454.0,15450.0,4.0,2,20,306050.0
2024-05-12,15763.0,15763.0,15763.0,15454.0,309.0,1,10,157630.0
2024-05-13,16078.0,15800.0,16078.0,15763.0,315.0,4,52,830406.0
2024-05-14,16000.0,16000.0,16000.0,16078.0,-78.0,2,20,320000.0
2024-05-15,16398.0,16320.0,16398.0,16000.0,398.0,3,30,490380.0
2024-05-16,16200.0,16071.0,16071.0,16398.0,-327.0,3,40,644131.0
2024-05-19,16392.0,16065.0,16065.0,16071.0,-6.0,4,60,970442.0
2024-05-22,15801.0,15746.0,15746.0,16065.0,-319.0,3,30,472970.0
