date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-12-21,330.0,300.0,330.0,0.0,330.0,223,2080,683944.5
2023-12-24,363.0,335.5,363.0,330.0,33.0,319,3090,1120048.4
2023-12-27,399.3,363.0,399.3,363.0,36.30000000000001,370,3660,1459771.6
2023-12-28,439.2,407.0,439.2,399.3,39.89999999999998,577,5760,2528288.1
2024-01-01,483.1,447.9,483.1,439.2,43.900000000000034,479,4780,2304831.0
2024-01-02,531.4,492.7,531.4,483.1,48.29999999999996,717,7805,4010775.35
2024-01-03,584.5,535.1,549.0,531.4,17.600000000000023,7298,85750,47627071.0
2024-01-04,593.0,527.4,589.2,549.0,40.200000000000045,2449,30058,16960690.4
2024-01-07,595.0,555.5,556.0,589.2,-33.200000000000045,1792,33610,19052914.9
2024-01-08,581.0,545.1,560.0,556.0,4.0,1687,26658,14804913.5
2024-01-09,571.2,545.1,546.0,560.0,-14.0,854,20017,11098914.9
2024-01-10,566.0,540.0,550.0,546.0,4.0,738,18125,10079452.0
2024-01-11,567.1,542.0,552.0,550.0,2.0,602,12850,7099835.0
2024-01-14,582.0,552.0,582.0,552.0,30.0,861,29379,16711231.2
2024-01-16,591.9,562.0,566.0,582.0,-16.0,701,27503,15697788.9
2024-01-17,567.1,532.2,532.2,566.0,-33.799999999999955,1039,19224,10535538.3
2024-01-18,542.0,510.1,542.0,532.2,9.799999999999956,1519,25225,13041862.5
2024-01-21,552.8,514.0,518.0,542.0,-24.0,894,24374,12849334.9
2024-01-22,518.0,502.0,515.0,518.0,-3.0,806,16169,8251636.1
2024-01-23,529.9,505.0,510.2,515.0,-4.800000000000011,622,9940,5108266.0
2024-01-24,520.0,505.7,512.0,510.2,1.8000000000000114,515,9615,4934912.0
2024-01-25,521.2,496.0,513.0,512.0,1.0,470,11475,5794400.0
2024-01-28,519.0,505.3,511.5,513.0,-1.5,588,9710,4958910.0
2024-01-29,530.0,503.9,520.0,511.5,8.5,507,12033,6264120.0
2024-01-30,534.0,520.0,524.5,520.0,4.5,479,10035,5284417.5
2024-01-31,530.0,506.0,510.0,524.5,-14.5,339,9836,5097750.7
2024-02-01,510.0,495.0,496.0,510.0,-14.0,384,13912,6936963.7
2024-02-04,502.0,485.2,488.0,496.0,-8.0,325,10456,5122303.5
2024-02-05,500.0,488.0,495.1,488.0,7.100000000000023,295,7785,3854325.0
2024-02-06,510.0,485.2,509.9,495.1,14.799999999999956,393,8571,4279611.6
2024-02-07,525.0,504.2,517.0,509.9,7.100000000000023,312,10480,5427318.1
2024-02-08,521.0,510.0,520.0,517.0,3.0,311,7642,3945462.7
2024-02-11,530.0,515.0,520.6,520.0,0.6000000000000227,399,16154,8457641.7
2024-02-12,572.6,516.3,572.6,520.6,52.0,1118,60320,33675768.9
2024-02-13,575.5,539.0,545.0,572.6,-27.600000000000023,483,30094,16784193.6
2024-02-14,557.0,535.0,551.0,545.0,6.0,306,13916,7622640.5
2024-02-15,555.9,530.2,538.0,551.0,-13.0,341,18910,10279924.0
2024-02-18,538.0,519.4,530.0,538.0,-8.0,417,12539,6606648.5
2024-02-20,559.0,520.1,549.0,530.0,19.0,457,23105,12527236.5
2024-02-21,557.0,538.1,551.0,549.0,2.0,479,27457,15105360.8
2024-02-22,574.0,540.0,573.0,551.0,22.0,1049,66059,37524877.8
2024-02-25,624.9,563.0,622.0,573.0,49.0,1078,52197,31371945.6
2024-02-26,641.0,609.6,635.0,622.0,13.0,551,25585,16002469.0
2024-02-27,686.8,602.9,602.9,635.0,-32.10000000000002,446,34944,21688971.9
2024-02-28,663.1,604.0,661.0,602.9,58.10000000000002,928,86100,55025130.0
2024-02-29,670.0,621.0,670.0,661.0,9.0,329,31070,19778587.5
2024-03-03,656.6,610.0,619.8,670.0,-50.200000000000045,220,12202,7593982.5
2024-03-04,657.0,632.1,643.0,619.8,23.200000000000045,29,1807,1159391.0
2024-03-05,655.8,600.0,611.9,643.0,-31.100000000000023,249,21669,13229482.2
