date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-10-23,179.7,179.7,179.7,,,17,73,13157.8
2022-10-31,179.7,179.7,179.7,179.7,,3,10,1798.6
2022-11-01,179.7,179.7,179.7,179.7,,7,20,3599.0
2022-11-06,183.2,177.7,183.2,179.7,3.5,2,20,3609.0
2022-11-07,198.1,186.8,198.1,183.2,14.900000000000006,6,50,9658.5
2022-11-13,202.0,202.0,202.0,198.1,3.9000000000000057,1,10,2020.0
2022-11-15,202.0,202.0,202.0,202.0,0.0,7,11,2219.0
2022-11-16,206.0,202.0,206.0,202.0,4.0,4,20,4106.6
2022-11-22,222.8,218.5,222.8,214.3,8.5,4,30,6684.4
2022-11-23,231.7,227.2,231.7,222.8,8.899999999999977,2,20,4589.0
2022-11-27,245.8,236.3,245.8,231.7,14.100000000000025,3,30,7231.0
2022-11-28,250.7,245.8,250.7,245.8,4.899999999999977,3,20,4926.0
2022-11-29,266.0,255.7,266.0,250.7,15.300000000000011,3,30,7825.0
2022-12-01,292.6,271.3,292.6,266.0,26.600000000000023,7,60,17032.0
2022-12-04,321.8,298.4,321.8,292.6,29.19999999999999,11,90,28160.3
2022-12-06,348.1,328.2,348.1,321.8,26.30000000000001,5,47,16000.3
2022-12-07,355.0,355.0,355.0,348.1,6.899999999999977,2,14,4948.8
2022-12-11,376.6,362.1,376.6,355.0,21.600000000000023,4,36,13268.2
2022-12-12,399.5,384.1,399.5,376.6,22.899999999999977,3,30,11753.0
2022-12-13,407.4,407.4,407.4,399.5,7.899999999999977,1,10,4074.0
2022-12-14,440.8,415.5,440.8,407.4,33.400000000000034,4,40,17123.0
2022-12-15,458.5,440.8,458.5,440.8,17.69999999999999,3,30,13489.0
2022-12-18,496.1,458.5,496.1,458.5,37.60000000000002,5,43,20626.3
2022-12-19,545.7,506.0,545.7,496.1,49.60000000000002,5,50,26311.0
2022-12-20,600.2,556.6,600.2,545.7,54.5,6,57,32867.7
2022-12-21,649.5,612.2,649.5,600.2,49.29999999999996,4,40,25229.0
2022-12-22,714.4,662.4,714.4,649.5,64.89999999999998,5,50,34443.0
2022-12-26,785.8,728.6,785.8,714.4,71.39999999999998,9,90,69316.0
2022-12-27,864.3,801.5,864.3,785.8,78.5,7,70,58961.0
2022-12-28,950.7,881.5,950.7,864.3,86.40000000000009,9,90,83864.0
2022-12-29,1045.7,969.7,1045.7,950.7,95.0,19,190,196817.0
2023-01-01,1150.2,1066.5,1150.2,1045.7,104.5,23,220,250359.0
2023-01-02,1265.2,1150.2,1265.2,1150.2,115.0,23,200,249698.0
2023-01-03,1391.7,1265.2,1391.7,1265.2,126.5,60,1583,2199341.1
2023-01-04,1530.8,1295.0,1375.0,1391.7,-16.700000000000045,1400,15505,21387729.0
2023-01-05,1512.5,1330.0,1512.5,1375.0,137.5,529,5812,8138467.4
2023-01-08,1662.0,1440.6,1599.0,1512.5,86.5,407,8886,14070099.4
2023-01-09,1630.0,1540.0,1560.0,1599.0,-39.0,253,5379,8450044.0
2023-01-10,1591.2,1462.0,1463.0,1560.0,-97.0,342,4746,7156685.0
2023-01-12,1492.2,1365.0,1380.0,1463.0,-83.0,287,4615,6485600.6
2023-01-17,1405.0,1350.0,1392.0,1380.0,12.0,231,3272,4475084.7
2023-01-18,1402.0,1367.0,1376.0,1392.0,-16.0,128,2427,3371072.0
2023-01-19,1375.0,1351.2,1360.0,1376.0,-16.0,141,1875,2551527.3
2023-01-23,1387.3,1335.0,1346.0,1360.0,-14.0,145,2469,3359832.0
2023-01-24,1356.0,1327.1,1351.0,1346.0,5.0,132,2131,2867559.0
2023-01-25,1397.0,1330.0,1367.0,1351.0,16.0,126,2290,3130563.5
2023-01-26,1421.0,1362.0,1365.0,1367.0,-2.0,87,1160,1590298.0
2023-01-29,1369.9,1345.0,1369.9,1365.0,4.900000000000091,85,1215,1645647.0
2023-01-30,1360.0,1327.0,1332.1,1369.9,-37.80000000000018,86,1385,1858310.5
2023-01-31,1338.0,1308.1,1312.0,1332.1,-20.09999999999991,109,1250,1644237.0
2023-02-01,1325.0,1286.0,1311.0,1312.0,-1.0,87,1274,1676213.0
2023-02-02,1326.0,1280.0,1297.0,1311.0,-14.0,83,1767,2280727.8
2023-02-05,1280.0,1255.0,1258.0,1297.0,-39.0,82,1300,1645093.0
2023-02-06,1260.0,1235.0,1260.0,1258.0,2.0,66,730,906933.0
2023-02-07,1300.0,1261.0,1300.0,1260.0,40.0,72,910,1173310.0
2023-02-08,1350.0,1301.0,1340.0,1300.0,40.0,87,1950,2579655.0
2023-02-09,1340.0,1315.3,1337.0,1340.0,-3.0,38,768,1020583.0
2023-02-12,1310.3,1280.0,1298.9,1337.0,-38.09999999999991,54,940,1216193.0
2023-02-14,1290.0,1262.0,1280.0,1298.9,-18.90000000000009,51,830,1053371.0
2023-02-15,1274.0,1235.1,1274.0,1280.0,-6.0,65,915,1145148.1
2023-02-16,1298.9,1220.1,1220.1,1274.0,-53.90000000000009,41,790,974574.0
2023-02-20,1215.0,1196.0,1200.1,1220.1,-20.0,70,941,1132176.0
2023-02-22,1198.0,1166.2,1185.0,1200.1,-15.099999999999907,81,1484,1755714.0
2023-02-23,1161.5,1066.5,1066.5,1185.0,-118.5,96,1281,1373619.5
2023-02-26,1087.0,959.9,1067.0,1066.5,0.5,160,3309,3300800.5
2023-02-27,1088.3,990.5,1020.0,1067.0,-47.0,89,2280,2324003.5
2023-02-28,1020.0,990.0,1001.0,1020.0,-19.0,47,745,748520.0
2023-03-01,1076.0,995.0,995.0,1001.0,-6.0,32,1470,1490898.0
2023-03-02,995.0,968.0,968.0,995.0,-27.0,24,350,343021.0
2023-03-05,987.3,920.3,920.3,968.0,-47.700000000000045,41,1025,948706.0
2023-03-07,940.0,896.0,911.0,920.3,-9.299999999999956,29,758,690628.0
2023-03-09,945.0,894.0,930.0,911.0,19.0,43,743,676665.0
2023-03-12,929.0,880.0,897.0,930.0,-33.0,46,1291,1147069.3
2023-03-13,895.0,863.1,895.0,897.0,-2.0,38,880,763472.0
2023-03-14,877.1,860.7,870.0,895.0,-25.0,23,270,234479.0
2023-03-15,880.0,845.1,859.0,870.0,-11.0,23,585,500452.0
2023-03-16,860.0,833.5,840.0,859.0,-19.0,28,877,736907.0
2023-03-19,845.0,825.0,828.2,840.0,-11.799999999999956,23,560,468629.0
2023-03-20,846.6,805.0,846.6,828.2,18.399999999999977,41,1054,858559.5
2023-03-22,863.0,801.0,801.0,846.6,-45.60000000000002,33,1332,1082382.0
2023-03-23,815.0,777.0,777.0,801.0,-24.0,45,1430,1122823.2
2023-03-26,770.0,746.0,746.1,777.0,-30.899999999999977,52,720,544264.0
2023-03-27,761.0,725.0,725.0,746.1,-21.100000000000023,35,1110,812982.0
2023-03-28,780.0,725.0,754.0,725.0,29.0,37,731,555620.0
2023-03-29,795.5,760.0,793.0,754.0,39.0,31,466,362841.0
2023-03-30,799.9,765.6,768.7,793.0,-24.299999999999955,30,411,319952.6
2023-04-02,766.5,749.0,749.0,768.7,-19.700000000000045,31,674,508137.3
2023-04-03,752.0,734.0,751.0,749.0,2.0,20,240,177789.0
2023-04-04,750.0,725.0,725.0,751.0,-26.0,27,340,249784.0
2023-04-05,768.0,730.5,731.0,725.0,6.0,19,205,153619.0
2023-04-06,745.0,730.0,740.0,731.0,9.0,25,525,385622.0
2023-04-09,739.9,725.3,725.6,740.0,-14.399999999999975,18,210,153149.0
2023-04-10,730.0,716.0,730.0,725.6,4.399999999999977,10,100,72450.0
2023-04-11,743.9,725.0,743.9,730.0,13.899999999999975,16,342,249764.9
