date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-06-08,287.1,250.0,287.1,0.0,287.1,4636,78315,21767098.6
2023-06-11,311.0,279.3,292.0,287.1,4.899999999999977,3272,41826,12200268.8
2023-06-12,289.6,274.9,283.5,292.0,-8.5,1676,33479,9513832.6
2023-06-13,305.5,278.0,295.0,283.5,11.5,1553,32792,9405001.1
2023-06-14,303.7,285.0,290.0,295.0,-5.0,1050,20048,5916557.3
2023-06-15,291.0,283.1,288.9,290.0,-1.1000000000000227,729,13645,3895484.4
2023-06-18,294.0,280.0,288.0,288.9,-0.8999999999999773,900,23489,6789217.2
2023-06-19,292.0,282.3,289.0,288.0,1.0,614,22744,6522096.6
2023-06-20,292.0,280.0,285.0,289.0,-4.0,365,8314,2360428.1
2023-06-21,290.0,270.9,279.0,285.0,-6.0,601,17871,4927253.7
2023-06-22,276.0,266.0,270.0,279.0,-9.0,515,10461,2824246.7
2023-06-25,277.0,261.6,277.0,270.0,7.0,627,9820,2627202.2
2023-06-26,282.0,264.0,267.0,277.0,-10.0,443,9980,2698694.7
2023-06-27,278.4,262.0,275.0,267.0,8.0,531,15335,4094627.0
2023-06-28,269.5,260.0,263.0,275.0,-12.0,367,16091,4246524.5
2023-07-02,262.0,249.1,252.2,263.0,-10.800000000000011,434,11395,2887180.0
2023-07-03,257.0,242.0,247.0,252.2,-5.199999999999989,424,16563,4073333.2
2023-07-04,251.0,240.2,245.0,247.0,-2.0,328,5390,1306615.5
2023-07-05,243.0,232.7,234.9,245.0,-10.099999999999994,334,10875,2579096.0
2023-07-06,246.0,226.1,239.7,234.9,4.799999999999983,409,9178,2122011.0
2023-07-09,239.7,235.0,235.0,239.7,-4.699999999999989,393,8040,1898235.0
2023-07-10,236.6,223.5,227.3,235.0,-7.699999999999989,400,16880,3873859.4
2023-07-11,229.0,222.0,227.5,227.3,0.1999999999999886,276,4049,910081.0
2023-07-12,244.0,223.0,241.0,227.5,13.5,403,11827,2800668.5
2023-07-13,246.6,231.4,231.4,241.0,-9.599999999999994,294,8899,2103939.2
2023-07-16,234.0,223.6,228.0,231.4,-3.4000000000000057,284,4465,1014962.0
2023-07-17,233.0,221.8,231.0,228.0,3.0,316,8295,1892788.5
2023-07-18,239.0,226.7,232.0,231.0,1.0,322,5435,1249719.6
2023-07-19,233.0,224.0,228.3,232.0,-3.6999999999999886,235,3135,718112.0
2023-07-20,242.7,225.0,242.7,228.3,14.399999999999975,392,15045,3507026.0
2023-07-23,255.0,238.0,249.0,242.7,6.300000000000011,449,14804,3612062.6
2023-07-24,258.0,239.2,243.0,249.0,-6.0,320,11654,2847604.1
2023-07-25,246.5,237.0,238.0,243.0,-5.0,208,3315,792868.4
2023-07-26,242.0,234.0,239.9,238.0,1.9000000000000057,216,4720,1125181.0
2023-07-27,243.7,231.5,239.6,239.9,-0.3000000000000113,244,5101,1207708.0
2023-07-30,235.0,226.4,231.0,239.6,-8.599999999999994,260,9818,2269376.5
2023-07-31,234.1,228.0,230.0,231.0,-1.0,272,4848,1116318.2
2023-08-01,234.0,226.1,228.0,230.0,-2.0,205,4186,951139.0
2023-08-02,240.0,213.0,221.0,228.0,-7.0,208,6077,1342589.3
2023-08-03,233.0,217.0,223.0,221.0,2.0,283,4425,984163.0
2023-08-06,220.0,215.3,219.0,223.0,-4.0,275,5296,1148222.6
2023-08-07,227.7,208.0,214.0,219.0,-5.0,331,4480,959138.5
2023-08-08,215.0,210.0,213.0,214.0,-1.0,366,6700,1419353.0
2023-08-09,219.3,206.3,217.5,213.0,4.5,305,5875,1235828.0
2023-08-10,215.4,209.8,215.0,217.5,-2.5,290,5910,1254927.2
2023-08-13,214.0,209.1,214.0,215.0,-1.0,401,5680,1196852.0
2023-08-14,222.0,207.2,208.3,214.0,-5.699999999999989,295,8574,1804770.2
2023-08-15,208.0,199.5,199.6,208.3,-8.700000000000017,242,8220,1665856.5
2023-08-16,204.0,195.7,203.0,199.6,3.4000000000000057,179,2590,516951.0
2023-08-17,206.9,196.6,199.0,203.0,-4.0,198,3715,747315.0
2023-08-20,205.0,191.6,192.3,199.0,-6.699999999999989,191,2805,550417.0
2023-08-21,189.9,183.3,185.5,192.3,-6.800000000000011,149,6820,1269454.0
2023-08-22,188.5,180.0,187.4,185.5,1.9000000000000057,149,2310,426434.0
2023-08-23,205.5,185.0,204.0,187.4,16.599999999999994,254,6030,1191983.5
2023-08-24,203.0,190.0,190.0,204.0,-14.0,163,6072,1182578.0
2023-08-27,189.9,182.1,184.0,190.0,-6.0,163,2154,396442.1
2023-08-28,187.0,177.4,184.0,184.0,0.0,150,3670,671237.0
2023-08-29,194.7,180.6,194.7,184.0,10.699999999999989,154,2113,392173.5
2023-08-30,191.0,184.0,187.3,194.7,-7.399999999999977,123,4455,837155.5
2023-09-03,184.0,180.1,180.1,187.3,-7.200000000000017,149,3228,587869.2
2023-09-04,198.1,178.0,198.1,180.1,18.0,160,3056,561442.2
2023-09-05,195.4,186.6,195.0,198.1,-3.0999999999999943,138,2340,447043.0
2023-09-07,191.1,184.0,189.0,195.0,-6.0,118,2210,414363.0
2023-09-10,202.0,186.0,194.9,189.0,5.900000000000006,145,2625,505845.0
2023-09-11,210.0,191.2,209.9,194.9,15.0,259,11616,2306707.8
2023-09-12,218.2,197.0,218.2,209.9,8.299999999999983,164,6047,1232942.4
2023-09-13,222.5,198.4,220.0,218.2,1.8000000000000114,227,12113,2486793.0
2023-09-17,215.6,201.9,205.0,220.0,-15.0,207,11897,2430489.4
2023-09-18,209.2,200.0,207.0,205.0,2.0,198,6865,1411915.5
2023-09-19,224.4,203.0,218.1,207.0,11.099999999999994,337,16259,3545740.0
2023-09-21,232.5,219.0,230.0,218.1,11.900000000000006,570,21862,4979962.9
2023-09-24,234.6,217.1,219.0,230.0,-11.0,355,12761,2871641.7
2023-09-25,238.0,211.1,234.0,219.0,15.0,497,32423,7452938.9
2023-09-26,248.0,231.0,242.0,234.0,8.0,488,26608,6454646.9
2023-09-27,246.8,230.0,238.0,242.0,-4.0,337,22541,5338862.3
2023-10-01,235.0,221.0,221.3,238.0,-16.69999999999999,313,18875,4277063.0
2023-10-02,230.7,217.0,228.9,221.3,7.599999999999994,326,14576,3261581.5
2023-10-03,233.0,217.0,223.0,228.9,-5.900000000000006,230,18065,3991937.0
2023-10-04,229.0,219.7,227.0,223.0,4.0,252,8627,1941685.8
2023-10-05,228.0,222.5,228.0,227.0,1.0,247,8301,1875453.4
2023-10-08,223.5,217.7,217.7,228.0,-10.300000000000011,224,10723,2355792.9
2023-10-09,224.0,211.1,217.0,217.7,-0.6999999999999886,171,3913,848507.5
2023-10-10,219.3,211.0,215.0,217.0,-2.0,171,5320,1130770.0
2023-10-11,216.0,207.0,214.0,215.0,-1.0,148,4370,933225.0
2023-10-12,215.0,205.0,209.0,214.0,-5.0,194,8457,1759460.2
2023-10-16,208.0,201.0,205.0,209.0,-4.0,194,4115,837613.0
2023-10-17,215.3,202.9,203.0,205.0,-2.0,132,7926,1621807.2
2023-10-18,212.5,203.0,210.0,203.0,7.0,109,5395,1133094.0
2023-10-19,214.0,202.2,207.9,210.0,-2.0999999999999943,64,3072,634003.1
2023-10-29,209.0,197.9,202.4,207.9,-5.5,115,2970,601088.0
