date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-12-14,237.6,216.0,237.6,0.0,237.6,198,8512,2021287.2
2022-12-15,261.3,242.0,261.3,237.6,23.700000000000017,283,4995,1304520.5
2022-12-18,287.4,266.5,287.4,261.3,26.09999999999997,535,10491,3013554.4
2022-12-19,293.1,258.7,264.5,287.4,-22.899999999999977,1874,30972,8337683.3
2022-12-20,278.0,255.0,271.2,264.5,6.699999999999989,434,4630,1248363.0
2022-12-21,297.9,265.8,297.9,271.2,26.69999999999999,363,5545,1569114.5
2022-12-22,303.8,276.2,286.0,297.9,-11.899999999999975,295,9063,2576286.4
2022-12-26,309.0,281.0,309.0,286.0,23.0,289,9815,2890389.0
2022-12-27,329.0,302.1,325.0,309.0,16.0,277,11845,3729181.0
2022-12-28,333.5,308.2,328.7,325.0,3.6999999999999886,236,6972,2242197.0
2022-12-29,334.7,310.4,326.0,328.7,-2.6999999999999886,245,7217,2377383.9
2023-01-01,340.6,321.1,327.0,326.0,1.0,192,5560,1818557.9
2023-01-02,328.9,315.0,328.0,327.0,1.0,193,10919,3538541.0
2023-01-03,340.6,322.3,340.6,328.0,12.600000000000025,230,5410,1774865.0
2023-01-04,374.0,327.2,374.0,340.6,33.39999999999998,277,10673,3705525.8
2023-01-05,411.4,352.2,411.0,374.0,37.0,229,7940,2983643.0
2023-01-08,440.0,379.3,418.9,411.0,7.899999999999977,324,9461,3854409.0
2023-01-09,423.0,400.0,423.0,418.9,4.100000000000023,289,9039,3721950.6
2023-01-10,431.2,388.0,424.0,423.0,1.0,320,10210,4195974.0
2023-01-12,416.0,393.4,404.0,424.0,-20.0,245,11292,4501886.6
2023-01-17,415.2,388.4,414.9,404.0,10.899999999999975,288,5470,2206547.0
2023-01-18,426.5,395.0,405.0,414.9,-9.899999999999975,280,7260,2980717.0
2023-01-19,428.9,391.1,405.0,405.0,0.0,348,8689,3479732.8
2023-01-23,413.0,391.2,399.0,405.0,-6.0,212,2210,875267.0
2023-01-24,407.7,385.1,406.9,399.0,7.899999999999977,315,6794,2689292.0
2023-01-25,417.9,392.1,415.0,406.9,8.100000000000023,347,10423,4232007.4
2023-01-26,425.0,398.7,410.5,415.0,-4.5,271,8680,3591931.0
2023-01-29,451.5,397.0,451.5,410.5,41.0,567,16338,7184832.6
2023-01-30,478.3,438.0,444.0,451.5,-7.5,379,13610,6276252.5
2023-01-31,474.3,430.5,470.0,444.0,26.0,441,13915,6331898.0
2023-02-01,508.0,462.1,499.0,470.0,29.0,417,10730,5282491.2
2023-02-02,499.0,466.4,477.0,499.0,-22.0,287,11324,5414302.1
2023-02-05,486.0,446.9,451.0,477.0,-26.0,260,9547,4405309.0
2023-02-06,465.3,442.0,455.0,451.0,4.0,221,10467,4743627.7
2023-02-07,477.6,437.0,470.0,455.0,15.0,248,8916,4128310.0
2023-02-08,475.0,455.0,469.0,470.0,-1.0,158,9521,4402566.6
2023-02-09,493.9,442.0,493.9,469.0,24.899999999999977,168,9046,4209955.3
2023-02-12,503.7,465.1,497.0,493.9,3.1000000000000227,267,13312,6511291.0
2023-02-14,494.0,473.6,488.5,497.0,-8.5,190,8881,4273828.8
2023-02-15,488.0,462.6,474.0,488.5,-14.5,159,7450,3506553.0
2023-02-16,498.4,457.0,466.0,474.0,-8.0,145,5877,2749266.0
