date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-04-19,298.2,271.1,298.2,,27.1,49,292,83244.0
2022-04-20,328.0,304.1,328.0,298.2,29.8,41,329,106284.5
2022-04-21,360.8,334.5,360.8,328.0,32.8,68,2937,1058227.1
2022-04-24,396.8,368.0,396.8,360.8,36.0,680,23368,9271630.9
2022-04-25,436.4,373.0,399.0,396.8,2.2,7100,117936,47099315.9
2022-04-26,406.0,375.0,390.0,399.0,-9.0,2831,31191,12240866.9
2022-04-27,390.0,376.0,385.0,390.0,-5.0,1694,19815,7563877.0
2022-04-28,392.0,376.6,377.4,385.0,-7.6,1267,17660,6718459.5
2022-05-02,371.0,339.7,358.0,377.4,-19.4,1328,33774,11962451.3
2022-05-04,359.0,322.2,324.5,358.0,-33.5,1046,39443,13000972.0
2022-05-05,323.0,303.0,304.0,324.5,-20.5,684,17917,5549899.1
2022-05-08,316.0,288.2,310.0,304.0,6.0,562,21258,6299497.4
2022-05-09,315.0,297.0,305.0,310.0,-5.0,401,9948,3057362.8
2022-05-10,315.0,298.9,307.0,305.0,2.0,350,16367,5017307.0
2022-05-11,334.5,303.2,325.5,307.0,18.5,445,21910,6908891.0
2022-05-12,336.0,313.6,320.7,325.5,-4.8,454,18554,6034107.5
2022-05-17,318.0,291.5,291.5,320.7,-29.2,505,15356,4628160.5
2022-05-18,307.0,284.3,305.0,291.5,13.5,402,16194,4804442.8
2022-05-19,306.0,290.0,300.0,305.0,-5.0,372,13565,4061736.5
2022-05-20,306.0,290.2,295.0,300.0,-5.0,269,7312,2198517.0
2022-05-23,295.0,285.5,286.4,295.0,-8.6,379,7110,2056800.0
2022-05-24,297.0,282.1,290.7,286.4,4.3,346,9756,2827623.2
2022-05-25,299.0,285.4,290.5,290.7,-0.2,266,4662,1359604.4
2022-05-26,298.8,286.1,291.0,290.5,0.5,234,9061,2637823.0
2022-05-27,295.0,285.4,289.9,291.0,-1.1,207,10340,2966138.5
2022-05-30,295.0,280.0,281.0,289.9,-8.9,303,6744,1910264.3
2022-05-31,280.0,271.0,280.0,281.0,-1.0,299,9538,2627646.0
2022-06-01,282.9,271.4,276.0,280.0,-4.0,233,4880,1348068.5
2022-06-02,279.4,269.1,271.0,276.0,-5.0,230,5733,1557999.2
2022-06-03,277.4,266.0,271.0,271.0,,280,9615,2608741.0
2022-06-06,279.9,270.0,270.0,271.0,-1.0,284,6687,1832029.0
2022-06-07,273.0,260.2,261.1,270.0,-8.9,241,8189,2171584.4
2022-06-08,287.0,256.0,275.0,261.1,13.9,276,11467,3074503.3
2022-06-09,280.5,265.1,265.1,275.0,-9.9,249,7513,2031446.5
2022-06-10,291.6,270.0,291.6,265.1,26.5,452,27782,7899947.1
2022-06-13,320.7,297.4,320.7,291.6,29.1,701,33483,10676181.6
2022-06-14,352.0,296.6,300.0,320.7,-20.7,1625,59615,19050231.4
2022-06-15,306.0,279.0,290.5,300.0,-9.5,559,21862,6338644.2
2022-06-16,310.0,280.0,302.0,290.5,11.5,448,12338,3658695.7
2022-06-17,308.9,292.1,300.5,302.0,-1.5,295,11414,3459292.1
2022-06-19,298.8,288.3,290.0,300.5,-10.5,399,12859,3768696.2
2022-06-20,284.2,274.6,277.8,290.0,-12.2,348,12882,3587901.0
2022-06-21,291.7,274.4,290.7,277.8,12.9,295,13189,3758082.3
2022-06-22,286.6,278.0,286.6,290.7,-4.1,229,9925,2800704.8
2022-06-23,280.9,266.0,266.0,286.6,-20.6,250,11732,3163252.5
2022-06-24,291.7,255.1,276.0,266.0,10.0,200,7344,1969275.1
2022-06-26,299.5,276.0,298.0,276.0,22.0,352,15762,4571965.0
2022-06-27,300.0,283.0,287.0,298.0,-11.0,308,14028,4094553.3
2022-06-28,290.5,277.1,284.8,287.0,-2.2,268,11636,3297982.7
2022-06-30,323.0,303.0,316.0,308.2,7.8,513,25445,8055793.6
2022-07-01,322.0,307.0,309.0,316.0,-7.0,272,17724,5541375.0
2022-07-03,326.0,303.1,322.0,309.0,13.0,516,32513,10277178.3
2022-07-04,331.0,310.0,325.0,322.0,3.0,649,37440,12031842.1
2022-07-05,331.0,310.0,315.0,325.0,-10.0,472,22821,7240142.0
2022-07-06,316.0,305.0,315.0,315.0,,465,12869,4011029.9
2022-07-07,326.0,309.0,314.0,315.0,-1.0,304,16030,5009391.0
2022-07-08,314.0,299.0,304.0,314.0,-10.0,200,10135,3073138.9
2022-07-11,300.2,284.0,284.0,304.0,-20.0,265,9345,2693370.4
2022-07-12,300.0,283.0,289.4,284.0,5.4,238,11763,3410675.5
2022-07-13,302.5,283.7,298.0,289.4,8.6,324,13944,4113644.0
2022-07-14,310.0,292.1,310.0,298.0,12.0,511,22999,7001668.6
2022-07-15,312.0,297.0,303.5,310.0,-6.5,197,11120,3357904.5
2022-07-17,309.0,297.8,299.2,303.5,-4.3,341,10420,3158481.0
2022-07-18,310.0,294.0,307.0,299.2,7.8,359,13500,4113925.0
2022-07-19,328.0,306.0,324.0,307.0,17.0,681,45015,14335162.9
2022-07-20,329.5,316.6,318.1,324.0,-5.9,454,18577,5964208.7
2022-07-21,337.0,312.4,324.0,318.1,5.9,485,40441,13051613.2
2022-07-22,330.0,314.6,321.0,324.0,-3.0,270,27337,8750040.7
2022-07-24,352.0,316.0,350.0,321.0,29.0,998,71751,24044266.5
2022-07-25,372.0,345.0,369.9,350.0,19.9,796,58737,21029308.6
2022-07-26,369.8,345.1,354.9,369.9,-15.0,628,43284,15490775.0
2022-07-27,379.0,340.0,377.4,354.9,22.5,704,51332,18346801.8
2022-07-28,387.0,353.0,362.9,377.4,-14.5,767,54019,20090987.2
