date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,870.0,870.0,870.0,860.0,10.0,2,38,33060.0
2010-04-20,880.0,880.0,880.0,870.0,10.0,1,67,58960.0
2010-04-21,863.0,846.0,846.0,880.0,-34.0,2,69,59224.0
2010-04-25,830.0,773.0,773.0,846.0,-73.0,6,272,217685.0
2010-04-26,760.0,696.0,696.0,773.0,-77.0,8,795,569782.0
2010-04-27,690.0,676.0,689.0,696.0,-7.0,11,661,451640.0
2010-04-28,724.0,700.0,724.0,689.0,35.0,12,590,418264.0
2010-04-29,796.0,738.0,796.0,724.0,72.0,9,441,342606.0
2010-05-10,875.0,795.0,874.0,796.0,78.0,17,517,429177.0
2010-05-11,930.0,890.0,928.0,874.0,54.0,16,531,484294.0
2010-05-12,965.0,912.0,965.0,928.0,37.0,19,495,465729.0
2010-05-13,1006.0,951.0,1006.0,965.0,41.0,21,725,702966.0
2010-05-16,1025.0,961.0,1006.0,1006.0,,11,225,222615.0
2010-05-18,986.0,906.0,906.0,1006.0,-100.0,9,545,504522.0
2010-05-19,900.0,842.0,861.0,906.0,-45.0,16,1361,1170282.0
2010-05-20,890.0,878.0,880.0,861.0,19.0,7,478,422160.0
2010-05-23,910.0,897.0,910.0,880.0,30.0,6,885,797574.0
2010-05-24,900.0,875.0,875.0,910.0,-35.0,7,314,279446.0
2010-05-25,924.0,890.0,924.0,875.0,49.0,8,456,412093.0
2010-05-26,960.0,942.0,955.0,924.0,31.0,8,866,823786.0
2010-05-31,993.0,936.0,950.0,955.0,-5.0,18,1204,1160428.0
2010-06-01,940.0,923.0,925.0,950.0,-25.0,6,306,284850.0
2010-06-02,925.0,925.0,925.0,925.0,,2,69,63825.0
2010-06-03,915.0,915.0,915.0,925.0,-10.0,1,158,144570.0
2010-06-06,910.0,882.0,882.0,915.0,-33.0,4,225,200676.0
2010-06-07,880.0,880.0,880.0,882.0,-2.0,2,145,127600.0
2010-06-08,897.0,895.0,897.0,880.0,17.0,2,203,181943.0
2010-06-09,900.0,895.0,900.0,897.0,3.0,5,322,289190.0
2010-06-10,910.0,900.0,910.0,900.0,10.0,5,487,440379.0
2010-06-13,915.0,900.0,900.0,910.0,-10.0,5,439,397660.0
2010-06-14,900.0,882.0,882.0,900.0,-18.0,2,122,108270.0
2010-06-15,899.0,899.0,899.0,882.0,17.0,1,12,10788.0
2010-06-16,890.0,890.0,890.0,899.0,-9.0,1,49,43610.0
2010-06-17,894.0,890.0,894.0,890.0,4.0,2,59,52610.0
2010-06-20,877.0,877.0,877.0,894.0,-17.0,1,26,22802.0
2010-06-21,880.0,880.0,880.0,877.0,3.0,1,108,95040.0
2010-06-22,885.0,875.0,885.0,880.0,5.0,3,215,188860.0
2010-06-23,900.0,885.0,885.0,885.0,,2,114,101100.0
2010-06-24,885.0,885.0,885.0,885.0,,1,100,88500.0
2010-06-28,880.0,870.0,870.0,885.0,-15.0,3,123,107915.0
2010-06-29,860.0,846.0,846.0,870.0,-24.0,2,142,120748.0
2010-06-30,850.0,835.0,835.0,846.0,-11.0,3,120,100760.0
2010-07-01,885.0,851.0,860.0,835.0,25.0,8,633,545490.0
2010-07-04,850.0,834.0,834.0,860.0,-26.0,6,675,566871.0
2010-07-05,830.0,804.0,821.0,834.0,-13.0,22,2117,1728893.0
2010-07-06,819.0,805.0,819.0,821.0,-2.0,3,579,467904.0
2010-07-07,830.0,820.0,820.0,819.0,1.0,4,660,544482.0
2010-07-08,830.0,830.0,830.0,820.0,10.0,1,40,33200.0
2010-07-12,830.0,830.0,830.0,830.0,,1,25,20750.0
2010-07-13,832.0,832.0,832.0,830.0,2.0,1,94,78208.0
2010-07-14,840.0,810.0,810.0,832.0,-22.0,15,1810,1475624.0
2010-07-15,816.0,800.0,816.0,810.0,6.0,2,178,144000.0
2010-07-18,821.0,821.0,821.0,816.0,5.0,2,198,162558.0
2010-07-19,835.0,820.0,820.0,821.0,-1.0,4,256,211936.0
2010-07-20,836.0,830.0,835.0,820.0,15.0,5,371,309327.0
2010-07-21,840.0,835.0,840.0,835.0,5.0,3,663,554810.0
2010-07-22,845.0,845.0,845.0,840.0,5.0,2,123,103935.0
2010-07-25,855.0,845.0,850.0,845.0,5.0,5,181,153670.0
2010-07-26,845.0,831.0,835.0,850.0,-15.0,5,174,145234.0
2010-07-27,830.0,819.0,830.0,835.0,-5.0,4,234,192328.0
2010-07-28,815.0,800.0,800.0,830.0,-30.0,2,401,322270.0
2010-08-01,816.0,800.0,816.0,800.0,16.0,2,383,307200.0
2010-08-03,820.0,820.0,820.0,816.0,4.0,1,104,85280.0
2010-08-04,836.0,820.0,836.0,820.0,16.0,2,60,49360.0
2010-08-08,830.0,830.0,830.0,836.0,-6.0,1,42,34860.0
2010-08-09,830.0,830.0,830.0,830.0,,1,80,66400.0
2010-08-10,840.0,840.0,840.0,830.0,10.0,1,16,13440.0
2010-08-11,830.0,830.0,830.0,840.0,-10.0,4,135,112050.0
2010-08-12,830.0,830.0,830.0,830.0,,1,243,201690.0
2010-08-17,820.0,799.0,799.0,830.0,-31.0,6,126,102452.0
