date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-07-20,819.0,750.0,819.0,771.0,48.0,34,1704,1294869.3
2023-07-23,805.0,775.0,800.0,819.0,-19.0,54,1779,1408241.9
2023-07-24,800.0,775.0,776.0,800.0,-24.0,44,1777,1396455.7
2023-07-25,780.0,751.0,763.0,776.0,-13.0,32,1911,1477767.0
2023-07-26,773.9,750.0,770.0,763.0,7.0,24,614,464539.0
2023-07-27,775.0,740.0,740.0,770.0,-30.0,15,328,247770.9
2023-07-30,732.5,702.0,702.0,740.0,-38.0,28,577,411274.8
2023-07-31,730.0,703.0,718.0,702.0,16.0,17,440,313231.0
2023-08-01,703.7,678.0,678.0,718.0,-40.0,92,3290,2264301.6
2023-08-02,680.0,666.4,666.4,678.0,-11.600000000000025,23,545,365517.2
2023-08-03,678.9,655.0,678.9,666.4,12.5,8,165,108526.5
2023-08-06,670.1,640.0,640.0,678.9,-38.89999999999998,19,883,580665.1
2023-08-07,639.0,600.0,611.9,640.0,-28.100000000000023,57,4615,2801063.9
2023-08-08,612.0,588.0,600.0,611.9,-11.899999999999975,38,1408,840977.8
2023-08-09,660.0,595.0,659.0,600.0,59.0,19,309,190954.3
2023-08-10,672.1,607.0,616.0,659.0,-43.0,71,3275,2033799.4
2023-08-13,628.0,607.9,615.0,616.0,-1.0,22,432,265507.5
2023-08-14,665.0,600.0,638.0,615.0,23.0,35,1175,727149.5
2023-08-15,625.3,590.0,625.2,638.0,-12.799999999999956,31,2114,1278063.4
2023-08-16,625.2,601.0,615.0,625.2,-10.200000000000044,20,599,364698.1
2023-08-17,613.0,593.5,613.0,615.0,-2.0,23,947,570771.6
2023-08-20,616.0,601.0,601.0,613.0,-12.0,11,267,161812.7
2023-08-21,605.0,594.0,605.0,601.0,4.0,10,186,110700.0
2023-08-22,616.0,593.0,615.0,605.0,10.0,17,451,269484.3
2023-08-23,625.0,605.1,618.0,615.0,3.0,25,574,350657.3
2023-08-24,618.0,601.0,611.0,618.0,-7.0,19,363,220683.0
2023-08-27,598.8,589.0,592.1,611.0,-18.899999999999977,7,212,125958.3
2023-08-28,611.0,592.1,611.0,592.1,18.899999999999977,8,128,76965.4
2023-08-29,611.0,588.0,604.7,611.0,-6.2999999999999545,16,444,262823.1
2023-08-30,599.0,581.0,592.0,604.7,-12.700000000000044,13,156,92033.4
2023-09-03,590.0,579.0,579.3,592.0,-12.700000000000044,15,1085,629159.5
2023-09-04,622.0,567.0,619.0,579.3,39.700000000000045,30,1597,927368.9
2023-09-05,626.0,613.5,620.0,619.0,1.0,4,34,21075.0
2023-09-07,625.0,578.5,610.0,620.0,-10.0,16,304,180143.4
2023-09-10,618.7,597.8,618.7,610.0,8.700000000000045,21,385,232616.9
2023-09-11,620.0,608.0,608.0,618.7,-10.700000000000044,20,481,295469.0
2023-09-12,600.0,585.0,600.0,608.0,-8.0,15,351,208544.7
2023-09-13,619.0,600.0,616.0,600.0,16.0,18,312,190608.0
2023-09-17,628.3,579.2,613.9,616.0,-2.1000000000000227,23,424,254740.8
2023-09-18,615.8,590.2,612.0,613.9,-1.8999999999999773,8,123,74336.0
2023-09-19,615.0,600.0,615.0,612.0,3.0,9,226,137760.9
2023-09-21,646.0,603.0,620.0,615.0,5.0,44,2967,1853219.7
2023-09-24,682.0,613.0,682.0,620.0,62.0,150,28600,17932490.2
2023-09-25,750.0,631.1,750.0,682.0,68.0,95,9191,6184953.2
2023-09-26,764.0,680.0,706.0,750.0,-44.0,163,6062,4314706.5
2023-09-27,742.0,658.6,742.0,706.0,36.0,171,24978,16927777.5
2023-10-01,741.5,679.0,708.9,742.0,-33.10000000000002,166,13828,9516992.4
2023-10-02,703.0,676.5,691.0,708.9,-17.899999999999977,71,7160,4917396.6
2023-10-03,734.0,669.1,734.0,691.0,43.0,81,24139,16351340.6
2023-10-04,740.0,680.1,700.6,734.0,-33.39999999999998,136,9240,6460897.9
2023-10-05,769.0,673.0,756.0,700.6,55.39999999999998,171,44054,30207799.3
2023-10-08,740.9,680.4,680.4,756.0,-75.60000000000002,167,19621,13366417.6
2023-10-09,734.0,612.4,612.4,680.4,-68.0,375,48955,31168993.9
2023-10-10,635.0,600.0,626.0,612.4,13.600000000000025,47,1608,984067.1
2023-10-11,625.0,613.5,623.0,626.0,-3.0,16,360,222591.0
2023-10-12,634.0,586.6,607.0,623.0,-16.0,113,5378,3216398.6
2023-10-16,617.9,572.0,601.0,607.0,-6.0,36,2328,1399423.0
2023-10-17,624.0,563.5,565.0,601.0,-36.0,136,15556,8910423.3
2023-10-18,610.0,555.0,568.0,565.0,3.0,82,7970,4646485.2
2023-10-19,599.0,551.0,565.0,568.0,-3.0,70,2957,1683971.8
2023-10-29,586.0,520.0,550.0,565.0,-15.0,86,26497,14174607.5
2023-10-30,567.9,540.0,567.9,550.0,17.899999999999977,51,3558,1971347.5
2023-10-31,575.9,536.3,552.8,567.9,-15.100000000000025,64,12509,6840703.3
2023-11-01,606.0,536.0,600.0,552.8,47.200000000000045,65,6162,3424047.6
2023-11-02,634.0,544.0,630.0,600.0,30.0,159,13741,7842285.4
2023-11-05,642.6,567.0,567.0,630.0,-63.0,80,3354,1911560.1
2023-11-06,586.3,544.6,568.0,567.0,1.0,70,4342,2418519.8
2023-11-07,601.0,540.0,572.0,568.0,4.0,114,4949,2738985.8
2023-11-08,594.8,539.0,565.9,572.0,-6.100000000000023,51,3880,2167335.9
2023-11-09,577.0,545.0,547.2,565.9,-18.69999999999993,64,5230,2916958.9
2023-11-20,580.0,536.3,580.0,547.2,32.799999999999955,55,3450,1901323.0
2023-11-21,568.4,525.3,568.0,580.0,-12.0,47,2286,1230680.0
2023-11-22,565.0,545.0,556.9,568.0,-11.100000000000025,27,1542,842707.9
2023-11-23,559.9,531.0,536.1,556.9,-20.799999999999955,46,4206,2264216.6
2023-11-26,576.0,525.4,561.0,536.1,24.899999999999977,69,5039,2723118.7
2023-11-27,582.0,539.0,541.3,561.0,-19.700000000000045,55,1804,984701.8
2023-11-28,595.0,530.5,546.0,541.3,4.7000000000000455,49,3571,1928452.5
2023-11-29,549.0,540.2,549.0,546.0,3.0,12,311,169893.2
2023-11-30,552.0,531.0,540.0,549.0,-9.0,36,2081,1114069.8
2023-12-03,535.0,520.1,530.0,540.0,-10.0,39,1548,814935.9
2023-12-04,573.0,522.3,549.0,530.0,19.0,47,2578,1383318.5
2023-12-05,556.8,520.0,550.9,549.0,1.8999999999999773,74,5418,2851695.1
2023-12-06,539.9,519.1,539.9,550.9,-11.0,76,5907,3107058.2
2023-12-07,549.0,530.0,546.9,539.9,7.0,37,5054,2717357.9
2023-12-10,590.0,536.0,590.0,546.9,43.10000000000002,15,1791,1013260.0
2023-12-11,586.0,555.4,561.0,590.0,-29.0,96,4528,2570005.8
2023-12-12,584.0,551.0,573.9,561.0,12.899999999999975,160,13420,7707680.8
2023-12-13,596.0,552.0,587.0,573.9,13.100000000000025,119,6871,4012446.7
2023-12-14,645.7,565.0,645.7,587.0,58.700000000000045,94,6017,3587121.2
2023-12-17,658.6,583.1,602.0,645.7,-43.700000000000045,221,17982,10704650.4
2023-12-18,644.0,596.5,624.9,602.0,22.899999999999977,179,16236,10061259.6
2023-12-19,637.3,612.6,621.0,624.9,-3.899999999999977,70,5164,3202359.4
2023-12-20,629.4,613.0,620.0,621.0,-1.0,99,8914,5537401.2
2023-12-21,628.0,600.0,600.0,620.0,-20.0,91,8124,4983257.0
2023-12-24,620.0,588.0,598.9,600.0,-1.1000000000000227,115,10706,6432413.4
2023-12-27,658.7,585.0,600.0,598.9,1.1000000000000227,68,4606,2731169.0
2023-12-28,604.0,580.2,582.0,600.0,-18.0,59,2053,1206383.7
2024-01-01,628.0,575.0,575.0,582.0,-7.0,83,6467,3839573.0
2024-01-02,609.0,565.0,579.0,575.0,4.0,74,5447,3132381.2
2024-01-03,578.0,565.1,574.0,579.0,-5.0,65,5874,3357828.7
2024-01-04,580.0,555.0,563.0,574.0,-11.0,59,4655,2618360.5
2024-01-07,574.0,549.0,559.0,563.0,-4.0,75,10579,5834181.6
2024-01-08,601.0,559.0,580.0,559.0,21.0,88,9657,5481876.6
2024-01-09,604.0,570.0,590.0,580.0,10.0,85,6050,3515552.5
2024-01-10,607.0,578.2,598.9,590.0,8.899999999999977,138,11834,7078788.6
2024-01-11,635.0,579.2,590.7,598.9,-8.199999999999932,96,12134,7110236.1
2024-01-14,636.6,578.9,610.9,590.7,20.19999999999993,110,9569,5819469.1
2024-01-16,660.6,598.7,638.0,610.9,27.100000000000023,171,15197,9644871.5
2024-01-17,701.0,630.0,654.0,638.0,16.0,281,35643,23467143.5
2024-01-18,673.2,630.0,644.0,654.0,-10.0,126,10274,6608517.4
2024-01-21,708.0,628.1,708.0,644.0,64.0,144,16077,10578702.3
2024-01-22,693.9,640.4,656.5,708.0,-51.5,215,19087,12510209.3
2024-01-23,656.2,627.2,634.0,656.5,-22.5,105,7208,4597123.2
2024-01-24,677.0,621.4,633.0,634.0,-1.0,108,6993,4424966.6
2024-01-25,658.0,600.0,626.0,633.0,-7.0,116,9562,5894070.3
2024-01-28,644.0,603.7,620.0,626.0,-6.0,74,5211,3225759.3
2024-01-29,656.8,607.6,634.0,620.0,14.0,74,4266,2688965.7
2024-01-30,659.3,620.0,622.0,634.0,-12.0,67,2584,1633018.5
2024-01-31,630.0,610.0,615.1,622.0,-6.899999999999977,43,2788,1716011.0
2024-02-01,620.0,585.0,585.0,615.1,-30.100000000000023,91,4787,2861385.6
2024-02-04,600.0,574.0,600.0,585.0,15.0,82,5668,3326206.3
2024-02-05,604.9,580.0,594.2,600.0,-5.7999999999999545,66,4415,2593771.2
2024-02-06,640.0,588.0,600.0,594.2,5.7999999999999545,91,6030,3603765.7
