date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-08-28,185.9,176.0,181.2,173.05,8.149999999999977,1105,402504,73179559.0
2023-08-29,183.2,179.1,179.8,181.2,-1.3999999999999773,320,67426,12204820.9
2023-08-30,186.6,179.6,185.0,179.8,5.199999999999989,497,164989,30279658.6
2023-09-03,188.5,182.2,185.0,185.0,0.0,297,109626,20142438.9
2023-09-04,185.1,182.1,184.3,185.0,-0.6999999999999886,184,106927,19669392.7
2023-09-05,187.3,181.0,187.3,184.3,3.0,240,109337,20273865.2
2023-09-07,187.0,182.3,184.0,187.3,-3.300000000000012,158,50946,9343363.9
2023-09-10,186.9,182.2,185.6,184.0,1.5999999999999943,217,77644,14377781.1
2023-09-11,190.0,183.4,188.3,185.6,2.700000000000017,272,120957,22701547.9
2023-09-12,194.8,185.7,194.8,188.3,6.5,187,86438,16309787.8
2023-09-13,194.4,190.2,193.0,194.8,-1.8000000000000114,244,185280,35609889.4
2023-09-17,196.8,185.0,188.0,193.0,-5.0,256,119719,22388631.9
2023-09-18,187.0,183.0,185.8,188.0,-2.1999999999999886,101,15843,2936644.5
2023-09-19,190.0,184.1,187.8,185.8,2.0,132,48520,9066171.9
2023-09-21,193.0,188.0,190.0,187.8,2.1999999999999886,306,188333,35883103.6
2023-09-24,194.8,188.2,193.0,190.0,3.0,269,114561,21871328.7
2023-09-25,195.2,188.0,189.2,193.0,-3.8000000000000114,178,65925,12521655.0
2023-09-26,191.7,186.5,188.5,189.2,-0.6999999999999886,208,89724,16937050.7
2023-09-27,192.0,186.0,189.9,188.5,1.4000000000000057,184,81053,15276963.8
2023-10-01,190.0,183.5,185.8,189.9,-4.099999999999994,186,62912,11669882.9
2023-10-02,189.0,183.6,187.1,185.8,1.299999999999983,191,63673,11861953.7
2023-10-03,187.0,184.0,186.1,187.1,-1.0,93,30862,5722171.5
2023-10-04,187.9,185.0,186.9,186.1,0.8000000000000114,125,41074,7650102.9
2023-10-05,187.4,184.8,185.0,186.9,-1.9000000000000057,176,76657,14245494.6
2023-10-08,186.0,181.1,181.1,185.0,-3.9000000000000057,221,76174,13920530.2
2023-10-09,188.3,180.2,182.0,181.1,0.9000000000000057,161,43796,7961052.1
2023-10-10,182.0,180.0,180.0,182.0,-2.0,115,46954,8462665.1
