date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-06-18,255.2,232.0,255.2,0.0,255.2,79,680,170790.6
2023-06-19,280.7,260.3,280.7,255.2,25.5,304,9227,2589508.9
2023-06-20,297.8,267.1,270.2,280.7,-10.5,2410,39591,11063790.0
2023-06-21,275.0,255.3,255.4,270.2,-14.799999999999985,1791,26510,6938501.7
2023-06-22,260.0,246.2,247.2,255.4,-8.200000000000017,978,13557,3404395.2
2023-06-25,257.0,235.7,252.0,247.2,4.800000000000011,1040,18370,4482019.1
2023-06-26,260.0,246.7,248.0,252.0,-4.0,533,9432,2377626.6
2023-06-27,250.7,243.6,247.3,248.0,-0.6999999999999886,641,15028,3714840.4
2023-06-28,251.0,243.0,251.0,247.3,3.6999999999999886,617,12380,3068466.5
2023-07-02,252.0,241.9,247.1,251.0,-3.9000000000000057,530,8642,2122165.0
2023-07-03,247.8,238.0,241.9,247.1,-5.199999999999989,442,7620,1835218.5
2023-07-04,251.6,235.0,251.6,241.9,9.699999999999989,388,4536,1085463.0
2023-07-05,246.6,232.3,240.7,251.6,-10.900000000000006,353,9616,2286042.4
2023-07-06,240.0,225.5,237.0,240.7,-3.6999999999999886,445,7785,1806787.2
2023-07-09,237.0,230.0,237.0,237.0,0.0,474,7452,1736362.0
2023-07-10,235.0,227.1,227.3,237.0,-9.699999999999989,377,5025,1160528.0
2023-07-11,231.0,220.3,225.0,227.3,-2.300000000000012,300,5420,1212667.0
2023-07-12,234.0,221.1,230.0,225.0,5.0,354,12039,2760813.0
2023-07-13,234.0,225.8,226.0,230.0,-4.0,247,4160,955916.0
2023-07-16,226.0,221.9,226.0,226.0,0.0,254,2868,639215.4
2023-07-17,234.4,221.6,229.5,226.0,3.5,337,5821,1328198.5
2023-07-18,234.0,225.1,227.8,229.5,-1.6999999999999886,304,4660,1067590.0
2023-07-19,232.7,225.1,232.7,227.8,4.899999999999977,282,4060,927591.0
2023-07-20,236.6,224.0,233.3,232.7,0.6000000000000227,325,8052,1863407.7
2023-07-23,241.0,226.1,240.4,233.3,7.099999999999994,386,6190,1455971.5
2023-07-24,249.0,228.8,240.0,240.4,-0.4000000000000057,273,8370,1997072.0
2023-07-25,249.4,230.1,238.0,240.0,-2.0,228,5154,1219954.9
2023-07-26,238.0,231.1,237.0,238.0,-1.0,230,5390,1267167.0
2023-07-27,241.0,228.4,234.0,237.0,-3.0,202,11928,2754092.6
2023-07-30,238.0,226.5,237.0,234.0,3.0,224,4065,935906.0
2023-07-31,237.0,230.0,230.0,237.0,-7.0,251,4160,969022.5
2023-08-01,232.0,224.4,224.4,230.0,-5.599999999999994,271,5149,1171091.9
2023-08-02,229.5,223.1,224.9,224.4,0.5,172,3087,694621.1
2023-08-03,228.4,218.1,227.0,224.9,2.0999999999999943,256,3583,797993.0
2023-08-06,222.5,215.2,219.0,227.0,-8.0,232,2760,600043.0
2023-08-07,224.1,211.3,224.1,219.0,5.099999999999994,388,9805,2117476.0
2023-08-08,219.7,213.3,218.0,224.1,-6.099999999999994,264,3010,648243.0
2023-08-09,221.0,209.0,221.0,218.0,3.0,260,3050,642837.0
2023-08-10,218.0,212.4,215.0,221.0,-6.0,211,2380,510734.0
2023-08-13,226.0,210.0,222.0,215.0,7.0,373,6103,1301277.0
2023-08-14,218.0,209.9,215.0,222.0,-7.0,292,4390,930876.0
2023-08-15,210.7,205.0,209.9,215.0,-5.099999999999994,213,4360,903213.0
2023-08-16,206.0,195.3,204.0,209.9,-5.900000000000006,260,11061,2218301.0
2023-08-17,204.1,194.0,195.0,204.0,-9.0,183,6473,1283155.5
2023-08-20,196.8,189.0,189.1,195.0,-5.900000000000006,171,2630,503227.0
2023-08-21,189.7,174.0,177.9,189.1,-11.199999999999989,222,9764,1751005.8
2023-08-22,181.0,169.0,179.0,177.9,1.0999999999999943,177,11235,1932966.0
2023-08-23,193.4,175.5,193.0,179.0,14.0,206,5716,1071104.0
2023-08-24,196.8,178.2,183.0,193.0,-10.0,158,7035,1314627.0
2023-08-27,182.0,172.6,173.9,183.0,-9.099999999999994,175,5293,922001.4
2023-08-28,182.0,165.2,175.7,173.9,1.799999999999983,122,3666,640693.4
2023-08-29,179.1,171.0,178.4,175.7,2.700000000000017,127,2420,427437.0
2023-08-30,178.0,172.5,178.0,178.4,-0.4000000000000057,118,3420,603732.0
2023-09-03,179.5,171.1,172.1,178.0,-5.900000000000006,147,3213,562800.9
2023-09-04,181.0,169.0,181.0,172.1,8.900000000000006,164,2521,441818.9
2023-09-05,185.5,177.4,182.5,181.0,1.5,115,2158,392574.5
2023-09-07,182.0,173.1,177.8,182.5,-4.699999999999989,100,2060,367560.5
2023-09-10,195.5,174.7,195.5,177.8,17.69999999999999,226,11079,2105005.6
2023-09-11,215.0,188.5,215.0,195.5,19.5,444,21704,4599843.6
2023-09-12,228.0,210.7,221.8,215.0,6.800000000000011,308,12813,2826161.6
2023-09-13,230.7,211.0,230.5,221.8,8.699999999999989,262,15611,3418131.2
2023-09-17,226.0,207.5,211.0,230.5,-19.5,273,16666,3567791.0
2023-09-18,230.5,207.0,227.4,211.0,16.400000000000006,309,17359,3845333.6
2023-09-19,250.1,224.0,250.1,227.4,22.69999999999999,842,53540,13071077.7
2023-09-21,275.1,252.0,263.0,250.1,12.900000000000006,740,34003,9122752.8
2023-09-24,261.0,242.8,256.0,263.0,-7.0,456,34621,8790727.6
2023-09-25,272.2,245.9,258.0,256.0,2.0,420,22465,5854890.6
2023-09-26,283.8,253.1,283.8,258.0,25.80000000000001,797,60611,16733803.7
2023-09-27,307.0,284.0,296.0,283.8,12.199999999999989,674,43905,12921655.7
2023-10-01,290.1,266.4,266.5,296.0,-29.5,380,37214,10190305.2
2023-10-02,280.5,256.0,270.1,266.5,3.6000000000000227,361,22345,6033952.1
2023-10-03,279.0,259.7,270.0,270.1,-0.1000000000000227,293,27361,7423286.7
2023-10-04,274.9,262.1,269.0,270.0,-1.0,248,10834,2923849.0
2023-10-05,275.0,261.1,267.0,269.0,-2.0,235,9505,2507906.9
2023-10-08,261.7,249.9,261.0,267.0,-6.0,329,20619,5233062.5
2023-10-09,265.0,249.1,259.0,261.0,-2.0,205,17646,4555001.1
2023-10-10,257.0,250.0,256.9,259.0,-2.1000000000000227,162,6610,1670348.0
2023-10-11,262.0,248.5,257.0,256.9,0.1000000000000227,183,11400,2893817.0
2023-10-12,256.0,243.8,254.0,257.0,-3.0,248,16547,4102682.4
2023-10-16,259.0,235.0,241.0,254.0,-13.0,190,5916,1404197.9
2023-10-17,249.8,233.0,237.9,241.0,-3.0999999999999943,147,10905,2612167.7
2023-10-18,246.6,229.1,240.0,237.9,2.0999999999999943,122,10427,2506407.0
2023-10-19,259.0,233.4,234.5,240.0,-5.5,130,12799,3078737.7
2023-10-29,244.4,226.3,231.1,234.5,-3.4000000000000057,115,4250,983476.6
2023-10-30,238.1,226.5,238.1,231.1,7.0,137,5010,1152500.0
2023-10-31,233.4,220.5,227.9,238.1,-10.199999999999989,79,5713,1277597.9
2023-11-01,231.0,215.1,225.9,227.9,-2.0,109,4614,1016466.8
2023-11-02,235.0,208.3,215.8,225.9,-10.099999999999994,114,10850,2359128.5
2023-11-05,220.0,200.1,215.6,215.8,-0.200000000000017,137,14600,2998131.3
2023-11-06,228.0,207.1,228.0,215.6,12.400000000000006,138,8881,1940916.0
2023-11-07,232.4,211.3,222.3,228.0,-5.699999999999989,88,5056,1111638.5
2023-11-08,229.5,210.7,223.5,222.3,1.1999999999999886,96,9694,2117306.4
