date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-11-20,299.9,259.6,259.6,0.0,259.6,3145,31379,8284345.7
2023-11-21,254.5,233.7,233.8,259.6,-25.80000000000001,2789,27890,6713779.0
2023-11-22,257.1,225.0,257.0,233.8,23.19999999999999,2131,22578,5512824.0
2023-11-23,270.0,247.0,258.5,257.0,1.5,1464,20520,5312029.0
2023-11-26,263.0,244.1,254.9,258.5,-3.5999999999999943,1622,30077,7745314.9
2023-11-27,275.0,250.1,274.0,254.9,19.099999999999994,1876,41342,11073847.7
2023-11-28,284.0,267.7,284.0,274.0,10.0,1230,25969,7152222.0
2023-11-29,286.0,275.9,280.0,284.0,-4.0,864,21359,6023222.2
2023-11-30,281.0,266.3,279.0,280.0,-1.0,776,19130,5249216.0
2023-12-03,282.5,267.3,275.5,279.0,-3.5,714,11169,3024794.0
2023-12-04,282.5,271.0,280.0,275.5,4.5,972,27938,7770142.0
2023-12-05,285.0,276.2,281.0,280.0,1.0,569,11359,3166397.7
2023-12-06,280.0,275.5,279.9,281.0,-1.1000000000000227,383,6695,1859199.0
2023-12-07,280.8,270.4,273.9,279.9,-6.0,844,10464,2890622.2
2023-12-10,300.0,278.0,300.0,273.9,26.100000000000023,24,1090,316425.0
2023-12-11,306.0,283.0,293.0,300.0,-7.0,1162,22849,6596601.0
2023-12-12,306.0,283.1,296.9,293.0,3.899999999999977,911,19737,5862480.4
2023-12-13,305.1,292.0,300.0,296.9,3.1000000000000227,767,24639,7402336.6
2023-12-14,330.0,291.4,328.0,300.0,28.0,897,25585,7979371.3
2023-12-17,350.0,308.9,342.0,328.0,14.0,839,18918,6250961.5
2023-12-18,348.8,325.7,347.0,342.0,5.0,751,19375,6425538.0
2023-12-19,340.1,320.1,330.0,347.0,-17.0,578,22170,7231114.2
2023-12-20,330.0,314.2,318.0,330.0,-12.0,602,29531,9492674.5
2023-12-21,339.0,311.8,328.0,318.0,10.0,728,30996,9950535.9
2023-12-24,360.8,331.7,355.0,328.0,27.0,998,66828,23805795.3
2023-12-27,390.0,351.0,366.5,355.0,11.5,990,30497,11480048.7
2023-12-28,369.0,354.0,361.8,366.5,-4.699999999999989,926,18434,6634955.7
2024-01-01,365.0,339.0,340.0,361.8,-21.80000000000001,811,29543,10414443.8
2024-01-02,339.0,323.2,329.5,340.0,-10.5,627,21885,7231635.0
2024-01-03,343.0,323.4,343.0,329.5,13.5,654,11460,3866478.0
2024-01-04,369.0,340.0,350.0,343.0,7.0,717,21250,7584619.7
2024-01-07,385.0,344.2,384.0,350.0,34.0,783,46818,16843468.3
2024-01-08,407.9,357.0,394.0,384.0,10.0,701,19742,7623127.0
2024-01-09,408.9,375.6,377.0,394.0,-17.0,475,16245,6314862.5
2024-01-10,399.0,366.0,397.0,377.0,20.0,610,21558,8107745.1
2024-01-11,420.0,373.1,401.0,397.0,4.0,577,30667,12253714.8
2024-01-14,441.1,400.0,441.1,401.0,40.10000000000002,861,61268,26142736.8
2024-01-16,459.0,431.4,437.0,441.1,-4.100000000000023,550,19810,8829905.0
2024-01-17,453.0,408.5,408.5,437.0,-28.5,959,30483,12967014.0
2024-01-18,432.0,400.4,427.3,408.5,18.80000000000001,1398,37921,15910945.3
2024-01-21,427.0,408.0,411.0,427.3,-16.30000000000001,730,19183,8015984.0
2024-01-22,425.0,395.0,410.9,411.0,-0.1000000000000227,762,17159,6954453.5
2024-01-23,421.0,403.0,413.0,410.9,2.1000000000000227,673,26890,11111642.0
2024-01-24,415.0,398.0,402.0,413.0,-11.0,380,6915,2798361.0
2024-01-25,417.0,390.2,401.0,402.0,-1.0,442,8605,3438454.0
2024-01-28,441.1,409.0,441.1,401.0,40.10000000000002,1454,81541,35178892.0
2024-01-29,449.9,433.0,436.0,441.1,-5.100000000000023,591,22351,9851141.2
2024-01-30,450.0,428.1,440.0,436.0,4.0,647,20153,8871110.0
