date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-03-28,793.3,747.7,793.3,,45.6,21,110,83963.0
2022-03-29,872.6,793.3,872.6,793.3,79.3,21,104,86540.1
2022-03-30,959.8,872.6,959.8,872.6,87.2,16,112,103808.9
2022-03-31,1055.7,959.8,1055.7,959.8,95.9,15,96,97194.7
2022-04-03,1161.2,1047.7,1161.2,1055.7,105.5,28,148,164928.9
2022-04-04,1277.3,1160.7,1277.3,1161.2,116.1,24,146,180802.5
2022-04-05,1405.0,1277.3,1405.0,1277.3,127.7,27,145,195958.5
2022-04-06,1545.5,1400.7,1545.5,1405.0,140.5,24,204,309356.4
2022-04-07,1700.0,1545.5,,1545.5,154.5,43,353,590484.5
2022-04-11,1870.0,1734.0,1870.0,1700.0,170.0,53,471,876070.1
2022-04-12,2057.0,1849.7,2057.0,1870.0,187.0,82,724,1478069.1
2022-04-13,2262.7,2023.7,2262.7,2057.0,205.7,79,765,1722443.8
2022-04-17,2488.9,2307.9,2488.9,2262.7,226.2,97,1300,3230351.1
2022-04-18,2737.7,2538.6,2737.7,2488.9,248.8,138,1428,3902563.6
2022-04-19,3011.4,2792.4,3011.4,2737.7,273.7,353,3871,11651762.4
2022-04-20,3312.5,2710.3,2710.3,3011.4,-301.1,4675,50565,141900479.3
2022-04-21,2850.0,2452.0,2800.0,2710.3,89.7,4102,41189,103627029.8
2022-04-24,2814.0,2695.0,2720.1,2800.0,-79.9,1382,18523,50519167.6
2022-04-25,2740.0,2642.0,2651.0,2720.1,-69.1,979,18085,48678442.6
2022-04-26,2719.0,2610.1,2670.1,2651.0,19.1,725,11409,30555609.5
2022-04-27,2700.0,2648.0,2667.1,2670.1,-3.0,370,5666,15105065.6
2022-04-28,2710.0,2650.0,2655.0,2667.1,-12.1,510,10171,27238320.3
2022-05-02,2650.0,2550.0,2561.1,2655.0,-93.9,584,8862,22949472.6
2022-05-04,2572.6,2512.0,2517.0,2561.1,-44.1,442,7040,17832565.8
2022-05-05,2516.0,2480.0,2482.1,2517.0,-34.9,462,8502,21236983.4
2022-05-08,2528.0,2450.0,2528.0,2482.1,45.9,410,7185,17944876.0
2022-05-09,2600.0,2525.0,2530.0,2528.0,2.0,283,7140,18303239.5
2022-05-10,2649.0,2530.1,2638.0,2530.0,108.0,308,6983,18052409.0
2022-05-11,2689.9,2587.0,2611.0,2638.0,-27.0,265,5825,15213855.0
2022-05-12,2611.0,2560.0,2575.0,2611.0,-36.0,305,8371,21649428.4
2022-05-17,2599.0,2499.0,2500.0,2575.0,-75.0,314,5327,13412265.0
2022-05-18,2601.0,2431.0,2456.0,2500.0,-44.0,327,7601,18709561.0
2022-05-19,2498.0,2425.0,2425.0,2456.0,-31.0,236,4008,9763185.2
2022-05-20,2448.0,2400.0,2406.0,2425.0,-19.0,168,3249,7833879.0
2022-05-23,2383.0,2325.0,2335.0,2406.0,-71.0,343,8576,20120895.0
2022-05-24,2370.0,2301.0,2305.0,2335.0,-30.0,244,4027,9353545.0
2022-05-25,2367.0,2305.0,2333.0,2305.0,28.0,189,3154,7361920.0
2022-05-26,2379.0,2301.2,2360.0,2333.0,27.0,139,2585,6059533.0
2022-05-27,2370.0,2327.0,2340.0,2360.0,-20.0,123,2306,5404324.5
