date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-12-21,229.6,208.8,229.6,0.0,229.6,117,995,226869.3
2023-12-24,252.5,234.1,252.5,229.6,22.90000000000001,174,1461,367533.3
2023-12-27,277.7,252.0,277.7,252.5,25.19999999999999,150,1382,382642.2
2023-12-28,305.4,277.7,305.4,277.7,27.69999999999999,200,1963,598844.2
2024-01-01,335.9,311.5,335.9,305.4,30.5,247,2381,798723.3
2024-01-02,369.4,342.6,369.4,335.9,33.5,210,2040,752666.0
2024-01-03,406.3,376.7,406.3,369.4,36.900000000000034,260,2558,1038427.5
2024-01-04,446.9,414.4,446.9,406.3,40.599999999999966,240,2380,1062470.0
2024-01-07,491.5,455.8,491.5,446.9,44.60000000000002,234,2290,1123626.5
2024-01-08,540.6,481.8,540.6,491.5,49.10000000000002,315,3122,1685689.3
2024-01-09,594.6,551.2,594.6,540.6,54.0,235,2170,1288878.9
2024-01-10,654.0,594.0,654.0,594.6,59.39999999999998,208,2040,1332188.6
2024-01-11,719.4,655.4,719.4,654.0,65.39999999999998,221,2180,1566260.0
2024-01-14,791.3,733.7,791.3,719.4,71.89999999999998,260,2520,1990792.6
2024-01-16,870.4,791.0,870.4,791.3,79.10000000000002,214,2120,1842572.4
2024-01-17,957.4,887.8,957.4,870.4,87.0,760,7631,7303523.4
2024-01-18,996.0,861.7,902.0,957.4,-55.39999999999998,15494,170936,152836608.7
2024-01-21,915.0,885.0,892.6,902.0,-9.399999999999975,4646,47406,42479454.6
2024-01-22,889.6,836.6,855.0,892.6,-37.60000000000002,3015,57058,49415401.5
2024-01-23,876.0,838.0,875.0,855.0,20.0,2257,32691,28194529.6
2024-01-24,900.0,860.0,877.5,875.0,2.5,1345,25662,22679466.8
2024-01-25,891.0,858.0,865.0,877.5,-12.5,1149,27013,23529756.7
2024-01-28,871.0,849.0,860.0,865.0,-5.0,1304,21274,18249614.9
2024-01-29,892.0,850.0,857.0,860.0,-3.0,948,15019,12908121.5
2024-01-30,871.5,847.3,856.0,857.0,-1.0,920,19619,16921923.8
2024-01-31,850.0,798.0,836.0,856.0,-20.0,2168,56229,46741084.0
2024-02-01,837.0,815.0,820.0,836.0,-16.0,895,19467,15971286.5
2024-02-04,811.1,780.0,789.0,820.0,-31.0,869,18624,14789133.8
2024-02-05,804.0,767.0,767.0,789.0,-22.0,658,15739,12238316.9
2024-02-06,785.5,755.5,780.0,767.0,13.0,586,13235,10245541.5
2024-02-07,787.0,761.5,772.8,780.0,-7.2000000000000455,405,9480,7312224.5
2024-02-08,780.0,760.0,777.0,772.8,4.2000000000000455,399,6730,5205662.0
2024-02-11,785.4,761.5,765.0,777.0,-12.0,461,11267,8708271.8
2024-02-12,777.0,760.0,775.0,765.0,10.0,485,8881,6835694.0
2024-02-13,767.0,743.6,750.0,775.0,-25.0,429,14806,11177053.4
2024-02-14,751.0,733.0,734.0,750.0,-16.0,340,7944,5855828.5
2024-02-15,768.0,722.4,723.4,734.0,-10.600000000000025,499,12099,8922215.6
2024-02-18,717.0,695.8,699.0,723.4,-24.399999999999977,862,19487,13721797.1
2024-02-20,752.9,687.0,710.0,699.0,11.0,722,14096,9949040.2
2024-02-21,748.7,695.8,748.7,710.0,38.700000000000045,855,23600,17274834.4
2024-02-22,790.0,734.3,765.0,748.7,16.299999999999955,969,33368,25751714.3
2024-02-25,765.2,739.0,745.0,765.0,-20.0,590,26116,19678367.4
2024-02-26,815.0,739.2,802.0,745.0,57.0,903,31862,24654489.8
2024-02-27,815.0,780.0,800.0,802.0,-2.0,581,29229,23313669.6
2024-02-28,803.9,775.0,775.0,800.0,-25.0,255,13853,10852467.2
2024-02-29,775.0,731.0,739.9,775.0,-35.10000000000002,267,16256,12165718.7
2024-03-03,750.0,730.0,730.1,739.9,-9.799999999999956,229,10273,7566839.1
2024-03-04,803.1,744.7,800.0,730.1,69.89999999999998,13,640,501050.0
2024-03-05,808.0,746.5,755.0,800.0,-45.0,386,26085,20115000.8
2024-03-06,775.2,735.6,764.0,755.0,9.0,274,19053,14313323.5
2024-03-07,779.2,751.5,769.0,764.0,5.0,213,7574,5801665.7
2024-03-10,780.0,755.0,774.0,769.0,5.0,263,11430,8828153.3
2024-03-12,786.4,765.2,784.5,774.0,10.5,373,17561,13673379.4
2024-03-13,800.0,770.1,773.0,784.5,-11.5,267,16308,12717672.7
2024-03-14,788.0,761.1,770.0,773.0,-3.0,268,12839,9931938.1
2024-03-17,779.0,761.0,773.9,770.0,3.899999999999977,268,8849,6809418.8
2024-03-18,780.0,763.0,766.5,773.9,-7.399999999999977,217,5544,4278270.0
2024-03-19,780.0,760.0,765.0,766.5,-1.5,239,8639,6632162.8
2024-03-20,777.9,735.0,761.0,765.0,-4.0,287,16977,12803109.7
