date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-12-14,300.0,270.0,270.0,0.0,270.0,1084,13121,3559832.1
2022-12-15,264.6,243.0,243.0,270.0,-27.0,134,6205,1511562.0
2022-12-18,238.2,218.7,218.7,243.0,-24.30000000000001,210,6609,1446098.3
2022-12-19,214.4,196.9,205.5,218.7,-13.199999999999989,11200,163559,32818434.2
2022-12-20,209.2,198.5,205.8,205.5,0.3000000000000113,3621,55571,11332632.4
2022-12-21,205.5,200.5,204.9,205.8,-0.9000000000000057,1989,29210,5952650.0
2022-12-22,204.0,197.1,199.0,204.9,-5.900000000000006,1560,38684,7725879.8
2022-12-26,210.1,197.0,205.0,199.0,6.0,1938,48390,9820817.0
2022-12-27,215.0,202.0,210.0,205.0,5.0,1912,70046,14760081.2
2022-12-28,213.9,203.5,208.0,210.0,-2.0,1480,37641,7880651.9
2022-12-29,219.0,205.1,214.1,208.0,6.099999999999994,1548,33748,7209104.3
2023-01-01,225.4,213.9,218.0,214.1,3.9000000000000057,1673,89702,19795547.4
2023-01-02,229.9,213.7,228.0,218.0,10.0,1829,74947,16736897.2
2023-01-03,239.3,225.0,234.0,228.0,6.0,1628,43536,10053290.1
2023-01-04,252.9,229.4,250.0,234.0,16.0,2043,69470,16583247.4
2023-01-05,258.0,238.1,249.0,250.0,-1.0,1734,68130,16825083.2
2023-01-08,268.0,240.3,253.8,249.0,4.800000000000011,1884,90591,22956423.8
2023-01-09,279.1,249.0,279.1,253.8,25.30000000000001,2267,94077,25401267.2
2023-01-10,300.0,267.0,275.0,279.1,-4.100000000000023,2108,83862,24059548.4
2023-01-12,288.0,270.0,270.0,275.0,-5.0,2349,78962,21940980.5
2023-01-17,297.0,270.0,297.0,270.0,27.0,2175,83296,24277578.5
2023-01-18,326.7,302.0,326.7,297.0,29.69999999999999,1840,53835,17585093.5
2023-01-19,359.3,316.0,345.0,326.7,18.30000000000001,6933,301371,104058502.2
2023-01-23,379.5,339.0,374.5,345.0,29.5,4299,127279,46908726.6
2023-01-24,402.0,353.0,390.0,374.5,15.5,4017,76695,28293009.4
2023-01-25,405.0,372.5,377.0,390.0,-13.0,2822,157234,59439642.5
2023-01-26,384.4,365.0,370.0,377.0,-7.0,2483,94783,35219250.7
2023-01-29,374.0,355.4,361.8,370.0,-8.199999999999989,2246,57465,21041302.2
2023-01-30,394.0,357.2,380.0,361.8,18.19999999999999,3891,252453,95629697.2
2023-01-31,416.1,376.1,397.6,380.0,17.600000000000023,3635,116340,46025010.3
2023-02-01,405.0,385.0,399.0,397.6,1.3999999999999773,2423,98335,39184414.0
2023-02-02,403.9,377.3,383.0,399.0,-16.0,1716,82932,32208679.9
2023-02-05,400.0,370.2,377.0,383.0,-6.0,1721,58573,22233297.2
2023-02-06,384.5,371.2,379.9,377.0,2.8999999999999773,1297,47053,17775160.2
2023-02-07,398.4,375.0,390.5,379.9,10.600000000000025,2012,94538,36937417.5
2023-02-08,399.0,383.0,384.9,390.5,-5.600000000000023,1145,52431,20417180.7
2023-02-09,397.5,380.0,394.8,384.9,9.900000000000034,1083,53795,20888937.6
2023-02-12,387.0,371.8,375.0,394.8,-19.80000000000001,1065,94119,35617999.8
2023-02-14,375.0,362.0,375.0,375.0,0.0,927,30264,11202819.5
2023-02-15,377.0,362.0,370.0,375.0,-5.0,880,36445,13411945.0
2023-02-16,373.0,359.0,364.0,370.0,-6.0,810,22780,8289075.2
2023-02-20,363.0,353.0,356.0,364.0,-8.0,869,35845,12814195.4
2023-02-22,376.9,355.0,367.1,356.0,11.100000000000025,1147,34212,12591715.0
2023-02-23,367.0,354.1,362.0,367.1,-5.100000000000023,735,29931,10740106.0
