date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-12-19,598.0,542.0,589.0,587.0,2.0,958,81779,46328067.8
2023-12-20,647.8,580.0,613.9,589.0,24.899999999999977,875,58536,35432619.5
2023-12-21,617.0,585.0,601.8,613.9,-12.100000000000025,504,23695,14135698.2
2023-12-24,620.0,573.0,590.0,601.8,-11.799999999999956,913,66610,39962240.5
2023-12-27,617.0,588.3,601.0,590.0,11.0,818,48433,29242889.1
2023-12-28,623.7,590.0,623.7,601.0,22.700000000000045,764,47088,28614414.5
2024-01-01,624.0,596.1,598.0,623.7,-25.700000000000045,549,38801,23476972.8
2024-01-02,598.0,575.0,575.9,598.0,-22.100000000000023,347,11352,6605156.1
2024-01-03,587.0,557.3,577.0,575.9,1.1000000000000227,395,14011,7953395.7
2024-01-04,597.0,565.0,579.0,577.0,2.0,416,18865,10824921.4
2024-01-07,579.0,556.7,557.0,579.0,-22.0,348,13668,7709400.6
2024-01-08,588.8,556.0,578.3,557.0,21.299999999999955,509,13638,7789478.0
2024-01-09,596.0,565.0,569.0,578.3,-9.299999999999956,346,16183,9319918.2
2024-01-10,600.0,558.0,565.0,569.0,-4.0,271,8167,4649795.3
2024-01-11,577.4,553.7,568.0,565.0,3.0,335,17710,9999809.7
2024-01-14,575.0,560.0,564.0,568.0,-4.0,291,10130,5741639.7
2024-01-16,575.2,565.0,571.0,564.0,7.0,413,20930,11913878.3
2024-01-17,580.0,561.2,569.0,571.0,-2.0,505,20555,11720546.7
2024-01-18,580.3,558.0,568.0,569.0,-1.0,478,22940,13000376.1
2024-01-21,571.0,557.6,557.6,568.0,-10.399999999999975,493,22047,12464603.8
2024-01-22,568.7,547.0,547.5,557.6,-10.100000000000025,437,11332,6275144.9
2024-01-23,558.4,535.0,540.0,547.5,-7.5,369,11015,5961191.6
2024-01-24,561.0,529.0,529.0,540.0,-11.0,343,13505,7258711.4
2024-01-25,539.5,525.0,530.0,529.0,1.0,346,12910,6821789.2
2024-01-28,539.5,526.0,534.0,530.0,4.0,283,5933,3151789.3
2024-01-29,545.0,526.2,544.0,534.0,10.0,414,10469,5614887.0
2024-01-30,561.8,541.0,554.0,544.0,10.0,454,15896,8793620.0
2024-01-31,554.0,531.0,538.0,554.0,-16.0,271,11111,6029756.0
2024-02-01,535.0,525.0,525.0,538.0,-13.0,287,14113,7463508.0
2024-02-04,525.0,516.1,516.1,525.0,-8.899999999999977,289,10730,5570828.2
2024-02-05,535.0,510.0,524.0,516.1,7.899999999999977,259,8817,4594534.3
2024-02-06,534.4,515.0,525.0,524.0,1.0,264,9077,4767455.0
2024-02-07,535.4,525.0,529.9,525.0,4.899999999999977,296,11985,6336830.5
2024-02-08,535.0,521.3,526.0,529.9,-3.899999999999977,257,9429,4976215.2
2024-02-11,534.0,518.0,526.0,526.0,0.0,302,9878,5192605.7
2024-02-12,530.0,523.0,528.1,526.0,2.1000000000000227,259,8757,4612472.4
2024-02-13,529.0,518.0,525.0,528.1,-3.1000000000000227,223,11201,5840294.8
2024-02-14,528.0,514.5,523.0,525.0,-2.0,181,5802,3027037.1
2024-02-15,523.0,511.0,518.0,523.0,-5.0,261,6932,3588826.9
2024-02-18,530.0,508.9,514.0,518.0,-4.0,356,9705,4967724.3
2024-02-20,515.0,510.0,514.0,514.0,0.0,309,6900,3535517.6
2024-02-21,524.0,508.0,514.0,514.0,0.0,262,8831,4544948.0
2024-02-22,520.0,505.0,510.0,514.0,-4.0,355,6806,3467436.4
2024-02-25,519.8,499.0,501.5,510.0,-8.5,310,12596,6331039.1
2024-02-26,511.5,493.0,500.0,501.5,-1.5,197,5715,2863761.7
2024-02-27,510.0,490.2,492.0,500.0,-8.0,144,5407,2681505.7
2024-02-28,503.0,493.2,495.0,492.0,3.0,144,4967,2458835.1
2024-02-29,497.2,489.0,493.0,495.0,-2.0,138,6715,3305553.6
2024-03-03,496.0,480.5,491.5,493.0,-1.5,207,5753,2806814.4
2024-03-04,530.6,500.0,530.6,491.5,39.10000000000002,8,240,124458.0
2024-03-05,540.2,498.0,507.0,530.6,-23.600000000000023,254,11605,5900130.4
2024-03-06,517.1,490.0,499.0,507.0,-8.0,219,13104,6557831.0
2024-03-07,510.0,494.0,506.0,499.0,7.0,167,5241,2638026.0
2024-03-10,515.0,503.0,513.0,506.0,7.0,283,10951,5584953.2
2024-03-12,555.0,520.0,550.0,513.0,37.0,627,37203,20071094.1
2024-03-13,566.0,545.0,550.0,550.0,0.0,332,21282,11754794.4
2024-03-14,553.0,529.1,531.0,550.0,-19.0,333,21099,11331253.6
2024-03-17,535.0,520.5,529.0,531.0,-2.0,296,14765,7794855.8
2024-03-18,530.0,520.0,526.1,529.0,-2.8999999999999773,224,6473,3392099.5
2024-03-19,550.0,520.6,544.0,526.1,17.899999999999977,457,36876,19882082.4
2024-03-20,550.0,533.0,533.0,544.0,-11.0,197,7493,4031593.7
2024-03-21,538.9,524.1,532.0,533.0,-1.0,168,5452,2880307.5
2024-03-25,529.0,521.1,526.0,532.0,-6.0,195,7041,3690738.7
2024-03-26,536.0,518.0,523.0,526.0,-3.0,203,8240,4308441.3
2024-03-27,523.0,512.9,517.9,523.0,-5.100000000000023,207,9426,4873761.6
2024-03-28,528.0,510.0,517.9,517.9,0.0,230,6909,3538862.2
2024-03-31,518.0,508.0,509.0,517.9,-8.899999999999977,251,8992,4604259.9
2024-04-01,517.0,504.0,514.0,509.0,5.0,209,6350,3227533.6
2024-04-02,515.9,500.1,512.0,514.0,-2.0,219,8781,4446027.6
2024-04-03,519.0,510.0,515.0,512.0,3.0,220,5702,2933468.0
2024-04-04,515.0,508.1,511.0,515.0,-4.0,200,7877,4019795.2
2024-04-07,538.0,504.0,525.0,511.0,14.0,343,13476,7005857.2
2024-04-09,533.0,516.0,516.0,525.0,-9.0,323,22833,11931976.9
2024-04-10,521.0,512.0,512.4,516.0,-3.6000000000000227,206,11433,5882754.3
2024-04-14,513.0,505.0,508.0,512.4,-4.399999999999977,227,7178,3653364.9
2024-04-15,510.0,500.2,508.0,508.0,0.0,191,5349,2712564.1
2024-04-16,508.0,500.0,505.5,508.0,-2.5,155,5211,2631286.8
2024-04-18,505.5,489.1,499.3,505.5,-6.199999999999989,180,8680,4341237.4
2024-04-21,509.0,490.0,509.0,499.3,9.699999999999989,171,5184,2579049.6
2024-04-22,518.9,495.0,501.0,509.0,-8.0,164,7244,3626358.3
2024-04-24,502.0,491.0,497.0,501.0,-4.0,132,3807,1891294.8
2024-04-25,497.0,491.0,495.0,497.0,-2.0,145,4899,2424485.1
2024-04-28,513.0,495.0,501.8,495.0,6.800000000000011,194,7952,3976441.5
2024-04-29,511.0,495.1,499.0,501.8,-2.800000000000012,136,4086,2039620.4
2024-04-30,510.0,489.1,510.0,499.0,11.0,251,9593,4818316.8
2024-05-02,520.0,505.0,509.0,510.0,-1.0,227,11478,5873378.0
2024-05-05,515.0,500.0,500.0,509.0,-9.0,170,9354,4701591.1
