date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-06-16,290.2,263.9,290.2,,26.3,2753,60760,17605819.4
2022-06-17,301.9,270.0,273.0,290.2,-17.2,3311,52534,14617918.7
2022-06-19,267.6,245.8,246.9,273.0,-26.1,1840,19420,4886187.0
2022-06-20,250.0,222.3,224.1,246.9,-22.8,1091,31226,6985049.7
2022-06-21,246.5,211.3,244.0,224.1,19.9,718,20128,4674223.2
2022-06-22,253.7,227.0,233.5,244.0,-10.5,426,6830,1585135.0
2022-06-23,238.1,212.0,216.0,233.5,-17.5,410,11649,2524901.6
2022-06-24,228.0,200.0,213.0,216.0,-3.0,278,9612,2020577.5
2022-06-26,227.0,212.0,227.0,213.0,14.0,433,14916,3294027.7
2022-06-27,231.5,216.6,224.7,227.0,-2.3,462,13680,3055452.2
2022-06-28,224.0,212.0,216.9,224.7,-7.8,330,9230,2000857.0
2022-06-30,235.0,214.1,229.0,225.0,4.0,449,24919,5721025.6
2022-07-01,233.0,222.5,226.0,229.0,-3.0,243,8939,2020276.0
2022-07-03,244.0,218.2,242.0,226.0,16.0,502,18191,4281348.4
2022-07-04,260.0,225.4,231.0,242.0,-11.0,643,33149,8009262.9
2022-07-05,240.0,221.0,223.0,231.0,-8.0,373,12329,2804460.1
2022-07-06,234.0,218.7,225.0,223.0,2.0,470,9290,2066905.0
2022-07-07,234.6,218.2,224.0,225.0,-1.0,398,13889,3120943.0
2022-07-08,220.0,214.0,215.0,224.0,-9.0,203,7726,1669379.4
2022-07-11,214.0,201.0,203.1,215.0,-11.9,352,14254,2926275.2
2022-07-12,211.0,200.0,203.8,203.1,0.7,223,8467,1735784.1
2022-07-13,220.3,205.0,219.0,203.8,15.2,393,9792,2099507.5
2022-07-14,233.3,213.0,233.0,219.0,14.0,526,17479,3843840.8
2022-07-15,237.6,220.0,222.0,233.0,-11.0,317,9792,2191828.7
2022-07-17,225.4,215.0,222.0,222.0,,374,8151,1794447.3
2022-07-18,226.4,213.3,226.4,222.0,4.4,364,11432,2528642.2
2022-07-19,231.0,218.1,223.0,226.4,-3.4,407,12170,2751676.7
2022-07-20,225.8,219.5,221.0,223.0,-2.0,300,7531,1669670.5
