date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-08-31,350.9,319.0,322.1,,3.1,5357,97653,32789341.3
2022-09-01,322.0,298.1,308.0,322.1,-14.1,2562,31303,9534637.6
2022-09-02,313.0,298.4,308.9,308.0,0.9,853,8910,2709357.0
2022-09-04,322.0,302.7,310.0,308.9,1.1,1278,15867,4885445.3
2022-09-05,312.0,304.0,307.0,310.0,-3.0,986,13743,4227495.1
2022-09-06,307.0,299.0,299.0,307.0,-8.0,635,12826,3870205.1
2022-09-07,296.0,287.3,296.0,299.0,-3.0,536,9955,2901040.8
2022-09-08,310.0,287.0,303.0,296.0,7.0,576,13203,3946593.5
2022-09-11,309.0,293.0,298.0,303.0,-5.0,550,8300,2469996.0
2022-09-12,297.0,284.2,291.0,298.0,-7.0,414,11426,3330455.0
2022-09-13,299.8,285.0,295.1,291.0,4.1,380,6500,1902710.0
2022-09-14,304.0,289.2,300.0,295.1,4.9,479,14405,4309966.0
2022-09-15,302.1,279.0,284.0,300.0,-16.0,395,16379,4690389.2
2022-09-16,278.4,263.7,274.0,284.0,-10.0,203,10641,2860098.1
2022-09-18,278.0,249.9,254.0,274.0,-20.0,455,22806,5872715.5
2022-09-20,249.0,235.0,239.9,254.0,-14.1,327,8516,2033806.2
2022-09-21,244.6,232.4,232.4,239.9,-7.5,199,5731,1359473.9
2022-09-22,232.5,225.2,230.0,232.4,-2.4,266,8612,1960000.7
2022-09-25,225.4,217.0,224.0,230.0,-6.0,238,6236,1366947.6
2022-09-27,242.0,216.7,231.0,224.0,7.0,197,4490,1016435.0
2022-09-28,240.3,209.0,217.0,231.0,-14.0,163,5269,1162605.0
2022-09-29,225.7,215.1,220.9,217.0,3.9,77,1820,401408.0
2022-10-09,229.0,216.0,226.0,220.9,5.1,112,3347,749813.2
2022-10-10,225.0,216.0,216.1,226.0,-9.9,116,5525,1211820.5
2022-10-11,224.0,212.1,224.0,216.1,7.9,103,2855,609047.5
2022-10-12,224.0,209.0,220.5,224.0,-3.5,110,3706,804073.1
2022-10-13,224.0,212.8,215.2,220.5,-5.3,143,4501,974384.1
2022-10-16,222.0,212.0,222.0,215.2,6.8,163,5782,1247468.6
2022-10-17,222.3,214.0,218.0,222.0,-4.0,183,3480,754879.0
2022-10-19,216.0,210.0,210.4,218.0,-7.6,215,5745,1219205.3
2022-10-20,214.0,203.1,210.0,210.4,-0.4,210,4795,992030.0
2022-10-23,211.1,204.0,210.0,210.0,,105,2980,619044.0
2022-10-31,211.1,206.0,207.0,210.0,-3.0,166,3090,640014.0
2022-11-01,219.9,203.3,217.1,207.0,10.1,219,7940,1682310.0
2022-11-02,221.4,211.5,220.0,217.1,2.9,157,4035,877813.0
2022-11-03,227.6,215.0,219.0,220.0,-1.0,197,9907,2186959.4
