date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-08-17,295.9,269.0,295.9,,26.9,80,562,162675.9
2022-08-18,325.4,301.8,325.4,295.9,29.5,535,5350,1740310.0
2022-08-22,349.0,320.1,323.0,337.0,-14.0,2963,53198,17262964.8
2022-08-23,323.5,315.0,320.0,323.0,-3.0,1714,28437,9082151.2
2022-08-24,344.5,318.0,332.0,320.0,12.0,1712,30418,9879602.9
2022-08-25,334.0,322.6,323.0,332.0,-9.0,910,13083,4287002.6
2022-08-26,320.0,313.1,319.0,323.0,-4.0,537,11130,3508977.5
2022-08-28,315.0,300.0,301.0,319.0,-18.0,987,20529,6275687.2
2022-08-29,307.0,295.0,305.0,301.0,4.0,562,9421,2822373.0
2022-08-30,311.1,298.0,299.9,305.0,-5.1,404,6385,1918764.6
2022-08-31,303.0,283.6,286.0,299.9,-13.9,445,11413,3301243.8
2022-09-01,291.7,276.2,284.0,286.0,-2.0,509,16566,4656190.1
2022-09-02,297.0,279.0,279.1,284.0,-4.9,169,4222,1200953.5
2022-09-04,297.0,274.0,295.0,279.1,15.9,645,18356,5345549.0
2022-09-05,300.0,290.1,290.1,295.0,-4.9,311,7987,2347770.4
2022-09-06,290.0,283.0,284.1,290.1,-6.0,259,9180,2623327.0
2022-09-07,293.0,278.8,283.2,284.1,-0.9,352,8490,2433713.0
2022-09-08,296.0,277.8,287.0,283.2,3.8,313,9217,2665548.0
2022-09-11,292.7,282.0,284.0,287.0,-3.0,337,7985,2293237.0
2022-09-12,285.0,279.2,281.0,284.0,-3.0,250,4077,1144579.5
2022-09-13,291.7,276.0,284.0,281.0,3.0,264,7565,2150173.5
2022-09-14,293.9,281.0,288.3,284.0,4.3,364,13757,3980817.5
2022-09-15,290.0,267.7,268.0,288.3,-20.3,272,14365,4002798.0
2022-09-16,264.0,255.1,260.1,268.0,-7.9,114,4250,1099898.5
2022-09-18,258.0,247.5,248.1,260.1,-12.0,245,9285,2338990.5
2022-09-20,243.2,227.1,240.0,248.1,-8.1,307,9268,2166757.3
2022-09-21,244.8,235.2,242.0,240.0,2.0,161,2930,700186.0
2022-09-22,237.5,227.2,230.0,242.0,-12.0,179,9938,2288484.2
2022-09-25,226.0,219.2,223.0,230.0,-7.0,160,3253,721777.0
2022-09-27,228.5,217.2,224.0,223.0,1.0,123,2722,607763.0
2022-09-28,230.0,220.0,224.0,224.0,,46,1154,256170.4
2022-09-29,225.0,219.8,224.0,224.0,,71,1314,292165.4
2022-10-09,230.9,220.1,230.9,224.0,6.9,78,1409,317490.1
2022-10-10,235.0,217.4,223.0,230.9,-7.9,135,6291,1404382.2
2022-10-11,232.0,215.0,232.0,223.0,9.0,101,3733,814127.3
2022-10-12,232.5,216.1,230.5,232.0,-1.5,134,5657,1279411.9
2022-10-13,233.0,221.4,225.0,230.5,-5.5,116,3305,744858.0
2022-10-16,225.0,215.1,219.0,225.0,-6.0,112,2550,556442.0
2022-10-17,223.3,213.1,219.0,219.0,,146,4480,975558.1
2022-10-19,216.0,209.0,210.0,219.0,-9.0,136,2680,567950.5
2022-10-20,214.0,202.1,207.7,210.0,-2.3,145,2070,432252.0
2022-10-23,220.3,207.0,208.1,207.7,0.4,75,1763,374327.0
2022-10-31,216.2,206.0,209.1,208.1,1.0,84,1200,253368.0
2022-11-01,221.0,206.0,218.0,209.1,8.9,196,10036,2164991.0
2022-11-02,227.4,215.0,223.0,218.0,5.0,149,4784,1070473.5
2022-11-03,221.0,214.4,216.4,223.0,-6.599999999999994,112,3892,848441.8
2022-11-06,238.0,212.1,237.0,216.4,20.599999999999994,232,7544,1693130.6
2022-11-07,251.0,228.5,230.0,237.0,-7.0,285,19667,4698507.5
2022-11-08,238.6,221.6,238.0,230.0,8.0,185,8702,1979690.1
2022-11-09,235.0,221.5,225.0,238.0,-13.0,174,16241,3721605.5
2022-11-10,229.0,216.6,216.7,225.0,-8.300000000000011,144,6541,1434649.2
2022-11-13,219.8,212.7,214.0,216.7,-2.6999999999999886,125,3710,798887.0
2022-11-14,225.4,210.0,221.0,214.0,7.0,121,3292,726253.5
2022-11-15,224.0,209.8,220.0,221.0,-1.0,166,6590,1410089.5
2022-11-16,224.0,211.3,223.0,220.0,3.0,129,3970,871130.5
2022-11-22,232.5,223.6,227.0,231.9,-4.900000000000006,162,3598,813226.3
2022-11-23,227.4,220.9,222.1,227.0,-4.900000000000006,136,3525,785658.0
2022-11-24,226.4,214.9,220.0,222.1,-2.0999999999999943,141,4508,996437.9
2022-11-27,235.0,216.0,233.0,220.0,13.0,323,20338,4727398.6
2022-11-28,234.9,224.8,231.4,233.0,-1.5999999999999943,168,7947,1828406.4
2022-11-29,240.0,225.0,235.6,231.4,4.199999999999989,160,2855,655698.0
2022-11-30,244.8,231.0,242.0,235.6,6.400000000000006,268,10640,2566586.4
2022-12-01,264.3,237.2,264.3,242.0,22.30000000000001,400,28386,7155869.9
2022-12-04,265.2,251.0,259.0,264.3,-5.300000000000011,351,9225,2386871.0
2022-12-05,258.1,248.3,250.4,259.0,-8.599999999999994,213,15223,3841252.1
2022-12-06,255.0,241.0,252.9,250.4,2.5,199,7484,1869156.3
2022-12-07,256.0,246.0,251.7,252.9,-1.200000000000017,169,8007,2002578.6
2022-12-11,251.0,240.1,240.1,251.7,-11.599999999999994,178,5012,1218402.0
