date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-12-20,996.6,906.0,996.6,0.0,996.6,23,170,163662.8
2022-12-21,1096.2,978.3,1096.2,996.6,99.60000000000002,14,130,137509.9
2022-12-22,1205.8,1075.0,1205.8,1096.2,109.59999999999992,23,220,260500.5
2022-12-26,1326.3,1205.8,1326.3,1205.8,120.5,14,130,168153.5
2022-12-27,1458.9,1352.8,1458.9,1326.3,132.60000000000014,15,150,216232.0
2022-12-28,1604.7,1488.0,1604.7,1458.9,145.79999999999995,17,170,269937.0
2022-12-29,1765.1,1604.6,1765.1,1604.7,160.39999999999986,25,250,436517.0
2023-01-01,1941.6,1800.0,1941.6,1765.1,176.5,35,350,676084.0
2023-01-02,2135.7,1980.4,2135.7,1941.6,194.0999999999999,325,3500,7471146.0
2023-01-03,2349.2,2075.0,2203.0,2135.7,67.30000000000018,1609,19859,43365012.6
2023-01-04,2215.0,2150.0,2215.0,2203.0,12.0,1101,12332,26763013.0
2023-01-05,2436.5,2215.0,2436.5,2215.0,221.5,421,5240,12260149.0
2023-01-08,2485.2,2332.0,2336.5,2436.5,-100.0,530,11098,26441196.0
2023-01-09,2355.0,2292.2,2312.0,2336.5,-24.5,583,11957,27792911.0
2023-01-10,2356.0,2210.0,2244.0,2312.0,-68.0,490,7907,18017095.0
2023-01-12,2302.0,2231.0,2289.0,2244.0,45.0,435,7738,17532512.2
2023-01-17,2329.9,2257.0,2265.0,2289.0,-24.0,388,6847,15613871.2
2023-01-18,2345.0,2252.0,2298.0,2265.0,33.0,287,5249,12140742.5
2023-01-19,2299.0,2255.0,2270.0,2298.0,-28.0,273,4575,10376397.0
2023-01-23,2366.0,2250.0,2320.1,2270.0,50.09999999999991,425,7755,18091506.0
2023-01-24,2350.0,2281.0,2340.0,2320.1,19.90000000000009,222,2975,6886153.0
2023-01-25,2420.0,2321.2,2405.0,2340.0,65.0,334,5299,12679239.0
2023-01-26,2414.0,2365.0,2365.0,2405.0,-40.0,157,2446,5852304.5
2023-01-29,2404.0,2353.5,2359.0,2365.0,-6.0,237,3435,8166067.5
2023-01-30,2400.0,2278.1,2310.0,2359.0,-49.0,225,5100,11782066.0
2023-01-31,2309.0,2263.0,2300.0,2310.0,-10.0,174,2520,5731641.5
2023-02-01,2300.0,2260.0,2267.0,2300.0,-33.0,109,1475,3350527.5
2023-02-02,2289.9,2220.0,2222.0,2267.0,-45.0,166,3473,7805912.5
2023-02-05,2266.0,2220.0,2221.0,2222.0,-1.0,143,2850,6374105.6
2023-02-06,2240.0,2200.5,2240.0,2221.0,19.0,143,1711,3794406.0
2023-02-07,2310.0,2225.2,2299.9,2240.0,59.90000000000009,145,1858,4231172.0
2023-02-08,2330.0,2254.0,2269.0,2299.9,-30.90000000000009,112,1804,4112763.0
2023-02-09,2280.0,2235.1,2265.0,2269.0,-4.0,95,1285,2890962.7
2023-02-12,2244.0,2141.0,2200.0,2265.0,-65.0,142,2640,5824218.0
2023-02-14,2190.0,2157.3,2172.0,2200.0,-28.0,101,1595,3468158.0
2023-02-15,2190.0,2130.0,2130.0,2172.0,-42.0,126,2028,4365471.5
2023-02-16,2110.0,2055.0,2090.0,2130.0,-40.0,157,2479,5146728.0
2023-02-20,2072.0,2015.5,2040.0,2090.0,-50.0,97,1336,2717505.0
2023-02-22,2020.0,1917.0,1920.0,2040.0,-120.0,182,3258,6403828.6
2023-02-23,1882.0,1728.0,1728.0,1920.0,-192.0,355,6906,12002636.0
2023-02-26,1769.0,1555.2,1701.0,1728.0,-27.0,285,4663,7572111.0
2023-02-27,1735.0,1620.1,1679.0,1701.0,-22.0,87,1544,2572284.0
2023-02-28,1708.0,1650.0,1675.0,1679.0,-4.0,53,1442,2414455.1
2023-03-01,1705.5,1601.0,1608.1,1675.0,-66.90000000000009,101,2862,4659563.1
2023-03-02,1600.0,1560.1,1569.0,1608.1,-39.09999999999991,83,1924,3033282.0
2023-03-05,1610.0,1508.0,1510.0,1569.0,-59.0,66,1097,1674702.6
2023-03-07,1538.0,1452.4,1474.9,1510.0,-35.09999999999991,81,1315,1956137.0
2023-03-09,1533.0,1474.9,1515.0,1474.9,40.09999999999991,60,900,1357810.0
2023-03-12,1540.0,1485.0,1525.0,1515.0,10.0,60,1130,1702694.0
2023-03-13,1524.0,1465.0,1519.0,1525.0,-6.0,41,663,991290.3
2023-03-14,1515.0,1490.0,1495.0,1519.0,-24.0,23,490,733230.0
2023-03-15,1477.0,1470.0,1471.0,1495.0,-24.0,23,483,710657.0
2023-03-16,1500.0,1420.0,1500.0,1471.0,29.0,62,1154,1679835.0
2023-03-19,1470.0,1350.0,1390.0,1500.0,-110.0,284,8230,11148561.0
2023-03-20,1409.0,1375.5,1380.0,1390.0,-10.0,36,548,762357.0
2023-03-22,1405.0,1315.1,1376.0,1380.0,-4.0,62,1797,2433032.5
2023-03-23,1375.0,1250.0,1282.0,1376.0,-94.0,68,2006,2612993.5
2023-03-26,1256.4,1190.0,1190.0,1282.0,-92.0,118,2878,3477962.7
2023-03-27,1194.0,1102.0,1194.0,1190.0,4.0,98,2014,2263591.9
2023-03-28,1313.3,1126.2,1313.3,1194.0,119.29999999999995,87,1856,2301544.6
2023-03-29,1290.0,1241.0,1270.0,1313.3,-43.29999999999996,38,757,953097.6
2023-03-30,1265.0,1221.1,1230.0,1270.0,-40.0,42,1091,1343826.0
2023-04-02,1275.0,1207.0,1228.0,1230.0,-2.0,26,780,971869.0
2023-04-03,1232.0,1186.0,1232.0,1228.0,4.0,32,470,565536.0
2023-04-04,1249.0,1186.1,1220.0,1232.0,-12.0,21,221,269069.0
2023-04-05,1239.0,1195.0,1225.0,1220.0,5.0,29,425,515086.0
2023-04-06,1227.0,1185.0,1206.0,1225.0,-19.0,28,472,564381.0
2023-04-09,1200.0,1176.1,1190.5,1206.0,-15.5,21,210,248721.0
2023-04-10,1198.0,1159.0,1198.0,1190.5,7.5,21,390,455868.0
2023-04-11,1290.0,1182.0,1290.0,1198.0,92.0,34,865,1051504.0
2023-04-12,1342.0,1260.0,1335.0,1290.0,45.0,58,1656,2162924.0
2023-04-13,1335.0,1241.1,1275.0,1335.0,-60.0,34,800,1040353.0
2023-04-16,1271.0,1232.0,1233.0,1275.0,-42.0,26,435,541277.8
2023-04-17,1257.0,1211.3,1234.0,1233.0,1.0,23,390,476448.0
2023-04-18,1235.0,1202.0,1229.0,1234.0,-5.0,29,485,589307.0
2023-04-19,1250.0,1195.0,1215.0,1229.0,-14.0,26,410,499776.0
2023-04-20,1218.9,1195.0,1214.0,1215.0,-1.0,15,214,258086.4
2023-04-23,1207.0,1174.0,1175.0,1214.0,-39.0,34,580,684337.0
2023-04-24,1195.0,1168.0,1191.0,1175.0,16.0,36,830,984807.0
2023-04-25,1230.0,1192.0,1230.0,1191.0,39.0,37,973,1185800.5
2023-04-26,1211.0,1207.0,1207.0,1230.0,-23.0,16,230,278231.0
2023-04-27,1209.0,1183.0,1190.2,1207.0,-16.799999999999955,32,733,878802.0
2023-04-30,1309.2,1180.2,1200.0,1190.2,9.799999999999956,48,624,759849.0
2023-05-02,1200.0,1168.0,1170.0,1200.0,-30.0,33,465,547672.0
2023-05-03,1180.0,1150.0,1180.0,1170.0,10.0,15,242,283397.0
2023-05-04,1174.0,1162.0,1165.0,1180.0,-15.0,16,230,268162.0
2023-05-07,1188.0,1143.0,1146.0,1165.0,-19.0,24,280,321920.0
2023-05-08,1145.0,1107.6,1107.6,1146.0,-38.40000000000009,29,407,459424.0
2023-05-09,1122.0,1099.0,1110.0,1107.6,2.400000000000091,25,355,392209.5
2023-05-10,1132.0,1095.0,1095.0,1110.0,-15.0,12,180,200562.0
2023-05-11,1103.8,1077.0,1103.7,1095.0,8.700000000000045,22,340,372061.0
2023-05-14,1106.6,1083.2,1083.2,1103.7,-20.5,18,200,218508.0
2023-05-15,1100.0,1066.5,1095.0,1083.2,11.799999999999956,13,171,186232.0
2023-05-16,1111.0,1076.0,1095.0,1095.0,0.0,23,365,400749.0
2023-05-17,1116.9,1079.0,1086.3,1095.0,-8.700000000000045,21,221,242929.3
2023-05-18,1120.0,1095.5,1100.0,1086.3,13.700000000000044,17,280,309027.1
2023-05-21,1181.0,1100.0,1149.5,1100.0,49.5,42,673,766586.0
2023-05-22,1155.0,1127.1,1131.0,1149.5,-18.5,26,693,785477.0
2023-05-23,1244.0,1111.0,1204.0,1131.0,73.0,56,878,1041352.6
2023-05-24,1228.0,1207.0,1225.0,1204.0,21.0,24,675,818002.0
2023-05-28,1274.0,1162.1,1177.0,1225.0,-48.0,50,828,1006049.8
2023-05-30,1160.0,1123.0,1123.0,1177.0,-54.0,33,675,770223.0
2023-05-31,1142.4,1103.1,1120.0,1123.0,-3.0,19,402,449157.0
2023-06-01,1156.8,1078.0,1120.0,1120.0,0.0,29,586,647590.8
2023-06-04,1145.0,1121.1,1135.0,1120.0,15.0,24,410,466252.7
2023-06-05,1130.0,1098.0,1125.0,1135.0,-10.0,47,1158,1291011.5
2023-06-06,1140.0,1107.0,1140.0,1125.0,15.0,29,440,492726.0
2023-06-07,1162.8,1132.3,1132.3,1140.0,-7.700000000000045,41,822,939192.0
2023-06-08,1130.0,1068.0,1107.1,1132.3,-25.200000000000045,97,2295,2501097.0
2023-06-11,1139.0,1085.0,1135.0,1107.1,27.90000000000009,58,1205,1345048.0
2023-06-12,1134.0,1097.0,1116.0,1135.0,-19.0,21,305,339870.5
2023-06-13,1160.7,1093.7,1140.4,1116.0,24.40000000000009,72,2424,2688271.4
2023-06-14,1200.0,1130.0,1169.0,1140.4,28.59999999999991,72,2288,2663479.2
2023-06-15,1175.0,1137.1,1138.0,1169.0,-31.0,25,1042,1206191.0
2023-06-18,1177.0,1115.4,1160.0,1138.0,22.0,50,1351,1564083.0
2023-06-19,1180.0,1124.0,1155.0,1160.0,-5.0,36,850,971477.0
2023-06-20,1156.0,1132.0,1141.0,1155.0,-14.0,35,1043,1196891.8
2023-06-21,1127.0,1100.1,1122.0,1141.0,-19.0,46,1100,1215235.1
2023-06-22,1164.7,1102.0,1110.0,1122.0,-12.0,63,2600,2919903.5
2023-06-25,1119.8,1092.0,1096.0,1110.0,-14.0,49,1753,1938689.2
2023-06-26,1169.0,1055.0,1169.0,1096.0,73.0,99,2140,2394364.5
2023-06-27,1285.9,1175.0,1285.0,1169.0,116.0,171,6077,7586478.8
2023-06-28,1286.0,1220.0,1245.0,1285.0,-40.0,65,1959,2433960.5
2023-07-02,1221.0,1128.8,1129.0,1245.0,-116.0,107,5138,5947532.8
2023-07-03,1142.0,1112.5,1121.0,1129.0,-8.0,48,728,821500.0
2023-07-04,1142.0,1120.0,1140.0,1121.0,19.0,44,633,715359.0
2023-07-05,1137.0,1115.5,1117.0,1140.0,-23.0,36,668,750501.6
2023-07-06,1130.0,1099.0,1115.0,1117.0,-2.0,42,1150,1276787.0
2023-07-09,1160.0,1102.0,1135.0,1115.0,20.0,22,246,279433.0
2023-07-10,1158.0,1114.5,1145.0,1135.0,10.0,41,953,1081197.6
2023-07-11,1152.0,1125.0,1130.0,1145.0,-15.0,40,1330,1507907.0
2023-07-12,1152.0,1108.0,1120.0,1130.0,-10.0,46,1696,1908843.0
2023-07-13,1165.2,1130.1,1130.1,1120.0,10.099999999999907,50,2194,2517929.0
2023-07-16,1230.0,1122.0,1187.0,1130.1,56.90000000000009,50,2299,2631814.1
2023-07-17,1305.7,1163.3,1279.6,1187.0,92.59999999999992,100,2562,3060873.0
2023-07-18,1320.0,1233.3,1269.0,1279.6,-10.599999999999907,198,5260,6717068.4
2023-07-19,1270.0,1198.0,1220.0,1269.0,-49.0,72,2084,2573367.0
2023-07-20,1220.0,1197.0,1214.0,1220.0,-6.0,52,1433,1719848.0
2023-07-23,1279.0,1196.0,1225.0,1214.0,11.0,55,1240,1510701.0
2023-07-24,1225.0,1195.0,1217.0,1225.0,-8.0,67,3018,3635883.9
2023-07-25,1241.0,1183.0,1205.0,1217.0,-12.0,39,540,645653.0
2023-07-26,1228.0,1136.9,1141.0,1205.0,-64.0,97,3377,3955221.6
2023-07-27,1170.0,1135.0,1135.1,1141.0,-5.900000000000091,47,1127,1290396.6
2023-07-30,1129.0,1122.1,1125.0,1135.1,-10.099999999999907,39,670,754553.0
