date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-04-04,638.0,573.9,573.9,624.0,-50.10000000000002,282,49679,28692878.1
2023-04-05,573.9,551.0,559.0,573.9,-14.899999999999975,228,23219,12904339.1
2023-04-06,568.9,550.9,566.0,559.0,7.0,109,14847,8287706.2
2023-04-09,555.0,546.0,550.0,566.0,-16.0,142,46237,25349241.2
2023-04-10,561.0,542.0,542.0,550.0,-8.0,102,7321,4007605.0
2023-04-11,549.9,534.0,548.0,542.0,6.0,124,20424,11039179.4
2023-04-12,575.0,555.0,575.0,548.0,27.0,188,43629,24616557.0
2023-04-13,587.0,560.0,569.0,575.0,-6.0,126,12096,6938361.6
2023-04-16,577.5,550.1,557.0,569.0,-12.0,117,19345,10864569.7
2023-04-17,558.0,552.1,553.0,557.0,-4.0,78,9853,5461587.8
2023-04-18,561.9,550.1,558.8,553.0,5.7999999999999545,81,15736,8715550.9
2023-04-19,571.0,555.0,571.0,558.8,12.200000000000044,114,14649,8264714.5
2023-04-20,585.0,571.0,579.0,571.0,8.0,193,28677,16622133.4
2023-04-23,579.0,570.0,572.1,579.0,-6.899999999999977,81,5153,2952696.1
2023-04-24,577.0,563.0,576.0,572.1,3.899999999999977,71,4437,2536954.5
2023-04-25,606.0,566.8,602.0,576.0,26.0,174,35842,20744455.5
2023-04-26,612.9,590.0,590.0,602.0,-12.0,172,20075,11964524.3
2023-04-27,613.8,578.5,594.0,590.0,4.0,118,11143,6528905.6
2023-04-30,594.0,575.0,594.0,594.0,0.0,134,12512,7274570.5
2023-05-02,585.0,575.1,580.0,594.0,-14.0,46,2154,1248798.5
2023-05-03,580.0,568.5,570.0,580.0,-10.0,73,10962,6244039.4
2023-05-04,579.0,565.0,573.0,570.0,3.0,67,5359,3070595.5
2023-05-07,571.0,565.1,568.5,573.0,-4.5,32,4228,2405555.1
2023-05-08,570.0,562.2,569.0,568.5,0.5,66,13706,7751230.1
2023-05-09,580.3,558.1,569.0,569.0,0.0,45,3353,1898378.3
2023-05-10,579.9,564.0,577.8,569.0,8.799999999999955,76,13874,7925370.6
2023-05-11,589.0,568.0,575.0,577.8,-2.7999999999999545,65,14119,8116471.6
2023-05-14,586.0,564.0,567.6,575.0,-7.399999999999977,52,5990,3419723.6
2023-05-15,570.0,561.0,563.0,567.6,-4.600000000000023,96,13421,7573062.7
2023-05-16,570.0,552.1,569.0,563.0,6.0,75,7381,4157414.4
2023-05-17,604.0,565.0,603.9,569.0,34.89999999999998,118,14951,8662478.2
2023-05-18,615.0,587.0,603.1,603.9,-0.7999999999999545,159,13730,8275036.5
2023-05-21,614.9,597.0,614.0,603.1,10.899999999999975,161,26530,16054464.3
2023-05-22,630.0,598.0,622.0,614.0,8.0,147,17368,10631609.3
2023-05-23,644.0,621.5,644.0,622.0,22.0,187,21920,13893611.0
2023-05-24,669.0,637.0,668.0,644.0,24.0,211,37717,24766300.6
2023-05-28,672.0,641.0,653.0,668.0,-15.0,176,23891,15647931.8
2023-05-30,643.0,621.0,622.9,653.0,-30.100000000000023,161,33440,20929434.8
2023-05-31,634.0,598.3,606.0,622.9,-16.899999999999977,162,22279,13560400.2
2023-06-01,620.0,597.2,614.9,606.0,8.899999999999977,141,24326,14778108.7
2023-06-04,649.9,625.0,647.0,614.9,32.10000000000002,141,17941,11390427.7
2023-06-05,649.0,635.3,637.0,647.0,-10.0,130,42859,27447702.1
2023-06-06,688.0,635.1,687.0,637.0,50.0,408,61375,40853219.3
2023-06-07,705.0,673.2,680.4,687.0,-6.600000000000023,280,38855,26737648.4
2023-06-08,730.0,678.0,715.0,680.4,34.60000000000002,361,135410,96313509.7
2023-06-11,728.0,708.0,723.0,715.0,8.0,252,47664,34131158.7
2023-06-12,758.3,703.0,758.0,723.0,35.0,327,70557,50483048.8
2023-06-13,805.0,729.0,760.0,758.0,2.0,451,73729,55767926.7
2023-06-14,769.9,742.9,767.0,760.0,7.0,433,79981,60661816.9
2023-06-15,775.0,751.7,773.5,767.0,6.5,266,45913,34977322.0
2023-06-18,805.0,768.0,804.5,773.5,31.0,427,74556,58879794.5
2023-06-19,801.0,766.0,766.0,804.5,-38.5,333,38691,30233299.5
2023-06-20,781.3,744.0,744.0,766.0,-22.0,217,33666,25598782.4
2023-06-21,780.0,720.0,745.1,744.0,1.1000000000000227,200,35473,26780247.0
2023-06-22,774.8,733.0,765.0,745.1,19.899999999999977,274,39408,30155090.7
2023-06-25,809.9,775.0,799.8,765.0,34.799999999999955,561,94310,75150333.9
2023-06-26,817.0,784.0,787.5,799.8,-12.299999999999956,276,59647,47421620.6
2023-06-27,795.0,773.0,789.0,787.5,1.5,259,34963,27451244.3
2023-06-28,797.0,774.0,781.2,789.0,-7.799999999999954,357,51984,40827519.9
2023-07-02,804.0,776.0,780.0,781.2,-1.2000000000000457,367,70924,56150359.7
2023-07-03,787.9,769.0,780.0,780.0,0.0,200,29941,23279408.6
2023-07-04,795.0,765.0,769.8,780.0,-10.200000000000044,280,35638,27565102.7
2023-07-05,775.0,745.0,745.0,769.8,-24.799999999999955,226,28027,21225180.1
2023-07-06,757.8,735.0,743.5,745.0,-1.5,209,23253,17272517.0
2023-07-09,772.1,729.1,765.0,743.5,21.5,257,26810,20333480.5
2023-07-10,779.9,754.0,760.0,765.0,-5.0,217,44712,34030988.6
2023-07-11,766.0,750.0,756.0,760.0,-4.0,162,30911,23346631.4
2023-07-12,780.0,750.0,775.0,756.0,19.0,326,74539,57011732.0
2023-07-13,795.0,775.0,777.0,775.0,2.0,260,67669,52823156.7
2023-07-16,786.0,769.0,778.5,777.0,1.5,159,26888,20832678.2
2023-07-17,795.0,774.0,795.0,778.5,16.5,204,44388,34940459.2
2023-07-18,830.0,797.0,824.0,795.0,29.0,829,142223,116611000.9
2023-07-19,837.0,808.0,814.9,824.0,-9.100000000000025,385,73568,59983868.8
2023-07-20,826.0,800.5,808.0,814.9,-6.899999999999977,244,33516,27119387.6
2023-07-23,831.0,792.0,817.1,808.0,9.100000000000025,299,61784,50485351.9
2023-07-24,829.0,801.0,819.8,817.1,2.699999999999932,245,48083,39146584.0
2023-07-25,823.0,805.0,806.0,819.8,-13.799999999999956,228,29586,24028752.0
2023-07-26,821.0,791.0,798.0,806.0,-8.0,191,36345,29171567.5
2023-07-27,816.0,780.0,783.0,798.0,-15.0,225,25154,19916378.5
2023-07-30,783.0,756.0,767.0,783.0,-16.0,242,28784,22046442.7
2023-07-31,779.0,754.0,758.1,767.0,-8.899999999999977,192,29771,22732589.3
2023-08-01,772.9,733.1,740.0,758.1,-18.100000000000023,268,37692,28435055.4
2023-08-02,759.8,728.0,749.0,740.0,9.0,177,16695,12391906.2
2023-08-03,760.5,741.1,749.8,749.0,0.7999999999999545,125,7701,5783396.7
2023-08-06,744.0,725.2,731.1,749.8,-18.69999999999993,146,20399,14932769.9
2023-08-07,760.0,717.0,745.0,731.1,13.899999999999975,126,11886,8791762.9
2023-08-08,759.0,716.0,728.0,745.0,-17.0,123,9275,6773034.1
2023-08-09,757.0,711.1,749.0,728.0,21.0,164,13590,9959416.9
2023-08-10,769.9,742.0,756.0,749.0,7.0,156,19125,14499724.3
2023-08-13,821.0,750.0,821.0,756.0,65.0,211,26962,20725595.4
2023-08-14,804.6,767.0,768.0,821.0,-53.0,192,24228,18946992.8
2023-08-15,780.0,753.5,769.0,768.0,1.0,162,29201,22210390.1
2023-08-16,767.0,742.0,754.0,769.0,-15.0,145,30824,23198578.9
2023-08-17,768.0,748.1,754.9,754.0,0.8999999999999773,106,12550,9484102.8
2023-08-20,768.9,730.2,737.0,754.9,-17.899999999999977,106,13432,9941970.0
2023-08-21,750.0,725.2,750.0,737.0,13.0,100,13554,9947563.5
2023-08-22,746.5,730.0,735.1,750.0,-14.899999999999975,110,15112,11117348.1
2023-08-23,767.0,737.0,755.0,735.1,19.899999999999977,162,28793,21781637.3
2023-08-24,777.0,747.0,747.0,755.0,-8.0,191,22472,17052251.3
2023-08-27,742.0,730.1,741.9,747.0,-5.100000000000023,77,5040,3701425.3
2023-08-28,755.0,732.1,739.0,741.9,-2.8999999999999773,82,12943,9566260.5
2023-08-29,745.0,735.4,738.0,739.0,-1.0,140,15623,11538098.2
2023-08-30,748.0,730.2,734.5,738.0,-3.5,180,20141,14854979.7
2023-09-03,735.0,720.0,722.0,734.5,-12.5,115,13776,9968903.8
2023-09-04,737.0,719.0,728.9,722.0,6.899999999999977,105,20045,14570013.1
2023-09-05,742.0,725.0,730.0,728.9,1.1000000000000227,57,4820,3507043.5
2023-09-07,744.6,716.0,719.0,730.0,-11.0,79,9374,6784887.8
2023-09-10,736.0,711.0,720.1,719.0,1.1000000000000227,73,5940,4301351.5
2023-09-11,792.1,717.0,791.0,720.1,70.89999999999998,155,16735,12426833.6
2023-09-12,775.2,736.0,745.0,791.0,-46.0,115,18248,13600456.2
2023-09-13,766.9,736.0,759.0,745.0,14.0,113,14397,10886579.4
2023-09-17,773.0,732.2,735.0,759.0,-24.0,109,12421,9220027.9
2023-09-18,778.0,725.5,735.4,735.0,0.3999999999999772,36,4790,3523973.5
2023-09-19,769.7,702.0,738.3,735.4,2.8999999999999773,87,15622,11490970.0
2023-09-21,760.0,745.0,752.0,738.3,13.700000000000044,144,17881,13479806.5
2023-09-24,766.0,737.0,740.0,752.0,-12.0,134,9239,6897476.1
2023-09-25,758.0,725.2,744.0,740.0,4.0,83,9512,7062549.0
2023-09-26,773.9,731.5,738.0,744.0,-6.0,164,43788,32271268.9
2023-09-27,740.0,729.0,731.0,738.0,-7.0,122,11779,8616667.3
2023-10-01,738.0,722.0,728.0,731.0,-3.0,71,5075,3685692.8
2023-10-02,739.0,720.0,726.6,728.0,-1.3999999999999773,74,5625,4096580.1
2023-10-03,734.4,720.0,723.0,726.6,-3.6000000000000227,98,13353,9654765.0
2023-10-04,733.0,722.0,724.0,723.0,1.0,72,8929,6475304.7
2023-10-05,730.0,716.0,725.0,724.0,1.0,96,9615,6925069.2
2023-10-08,715.0,700.0,705.0,725.0,-20.0,95,14851,10484313.0
2023-10-09,710.0,695.0,698.0,705.0,-7.0,85,9188,6412905.7
2023-10-10,700.0,678.1,678.1,698.0,-19.899999999999977,93,12182,8344041.5
2023-10-11,693.6,671.0,687.0,678.1,8.899999999999977,80,7126,4862564.3
2023-10-12,686.2,674.1,686.0,687.0,-1.0,106,17356,11790912.8
2023-10-16,754.6,673.0,740.0,686.0,54.0,95,8999,6169660.0
2023-10-17,725.2,690.0,710.0,740.0,-30.0,137,15425,10834158.1
2023-10-18,724.0,690.0,717.0,710.0,7.0,81,10515,7464885.6
2023-10-19,716.0,695.0,714.0,717.0,-3.0,57,6722,4744141.6
2023-10-29,702.0,692.0,702.0,714.0,-12.0,51,4737,3289868.3
2023-10-30,710.0,688.0,708.9,702.0,6.899999999999977,67,6706,4690596.9
2023-10-31,712.0,692.0,699.0,708.9,-9.899999999999975,27,1701,1184351.9
2023-11-01,700.0,685.0,698.6,699.0,-0.3999999999999772,61,6802,4715379.6
2023-11-02,699.0,685.1,685.1,698.6,-13.5,51,9116,6275260.0
2023-11-05,685.0,673.2,685.0,685.1,-0.1000000000000227,46,6253,4226996.8
2023-11-06,753.0,672.1,753.0,685.0,68.0,90,7218,4916416.1
2023-11-07,738.0,687.0,707.9,753.0,-45.10000000000002,85,4506,3153250.0
2023-11-08,714.9,693.9,695.0,707.9,-12.899999999999975,33,2116,1478079.2
2023-11-09,723.0,690.0,701.0,695.0,6.0,56,4783,3310686.2
2023-11-20,715.1,700.0,714.0,701.0,13.0,75,9983,7060792.4
2023-11-21,701.0,689.0,700.0,714.0,-14.0,45,2704,1869319.4
2023-11-22,711.0,686.0,710.0,700.0,10.0,45,4184,2907250.0
2023-11-23,715.0,688.0,708.0,710.0,-2.0,45,4565,3222233.8
2023-11-26,722.0,706.0,721.0,708.0,13.0,116,14313,10248799.6
2023-11-27,735.0,716.1,722.0,721.0,1.0,107,9507,6888005.7
2023-11-28,728.0,716.0,725.0,722.0,3.0,67,8150,5903099.1
2023-11-29,738.0,710.6,720.0,725.0,-5.0,40,2773,1989498.4
2023-11-30,728.0,701.0,710.0,720.0,-10.0,70,6151,4359378.4
2023-12-03,723.0,696.0,699.0,710.0,-11.0,49,3659,2556216.4
2023-12-04,710.0,697.0,697.1,699.0,-1.8999999999999773,39,2519,1767099.4
2023-12-05,700.0,680.0,688.0,697.1,-9.100000000000025,97,8023,5516014.0
2023-12-06,701.0,681.5,683.5,688.0,-4.5,51,2945,2023890.3
2023-12-07,715.0,675.0,691.3,683.5,7.799999999999954,116,19333,13583476.3
2023-12-10,747.0,705.1,747.0,691.3,55.700000000000045,10,1270,931456.8
2023-12-11,759.0,724.0,750.0,747.0,3.0,224,34220,25432170.7
2023-12-12,785.0,751.1,778.9,750.0,28.899999999999977,254,28993,22227138.7
2023-12-13,779.0,760.0,764.0,778.9,-14.899999999999975,127,23666,18143538.2
2023-12-14,777.0,744.8,744.8,764.0,-19.200000000000045,62,5775,4361150.4
2023-12-17,759.0,727.0,751.0,744.8,6.2000000000000455,181,28206,21103096.0
2023-12-18,765.0,748.1,755.0,751.0,4.0,191,42960,32474241.3
2023-12-19,776.0,756.0,774.0,755.0,19.0,176,14367,11036472.6
2023-12-20,800.0,768.0,772.0,774.0,-2.0,181,36923,28693652.8
2023-12-21,785.0,745.0,768.0,772.0,-4.0,187,20359,15506655.3
2023-12-24,779.9,753.0,760.0,768.0,-8.0,154,26797,20496818.8
2023-12-27,772.0,755.0,765.0,760.0,5.0,175,24004,18291157.3
2023-12-28,776.0,753.0,760.0,765.0,-5.0,234,41226,31548256.1
2024-01-01,780.0,758.0,767.0,760.0,7.0,164,21054,16187586.6
2024-01-02,764.0,744.0,751.0,767.0,-16.0,117,9341,7034117.8
2024-01-03,823.0,736.0,823.0,751.0,72.0,242,56965,43265941.1
2024-01-04,823.0,763.0,769.0,823.0,-54.0,308,78543,60738876.8
2024-01-07,784.0,745.0,745.0,769.0,-24.0,159,15096,11424945.9
2024-01-08,759.9,745.0,752.3,745.0,7.299999999999954,145,12885,9669744.0
2024-01-09,771.0,753.0,753.0,752.3,0.7000000000000455,158,27510,20990166.7
2024-01-10,795.9,751.1,756.2,753.0,3.200000000000045,111,14389,10945458.9
2024-01-11,759.9,751.1,759.9,756.2,3.699999999999932,92,13780,10390917.1
2024-01-14,773.0,748.0,754.0,759.9,-5.899999999999977,134,12647,9553413.1
2024-01-16,770.0,749.7,760.0,754.0,6.0,182,23619,17945909.8
2024-01-17,777.2,756.0,763.0,760.0,3.0,235,39130,29989485.9
2024-01-18,760.9,750.0,751.0,763.0,-12.0,136,17395,13119751.5
