date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-03-07,291.5,265.0,291.5,0.0,291.5,23,200,57166.7
2023-03-09,320.6,297.3,320.6,291.5,29.100000000000023,48,480,153314.0
2023-03-12,352.6,327.0,352.6,320.6,32.0,71,700,246123.0
2023-03-13,387.8,359.6,387.8,352.6,35.19999999999999,227,5031,1950322.8
2023-03-14,426.5,395.0,426.5,387.8,38.69999999999999,316,3160,1346959.0
2023-03-15,469.1,435.0,469.1,426.5,42.60000000000002,437,7236,3393570.6
2023-03-16,516.0,478.4,516.0,469.1,46.89999999999998,1418,19555,10046282.0
2023-03-19,567.6,510.0,567.6,516.0,51.60000000000002,3155,50123,27078955.8
2023-03-20,610.9,534.4,590.0,567.6,22.399999999999977,1275,20723,12220973.8
2023-03-22,590.0,564.0,569.7,590.0,-20.299999999999955,1213,13780,7875859.3
2023-03-23,560.0,526.6,537.0,569.7,-32.700000000000045,933,24690,13308010.3
2023-03-26,537.0,515.0,530.0,537.0,-7.0,586,8215,4351208.0
2023-03-27,537.1,515.0,535.0,530.0,5.0,387,10120,5308599.0
2023-03-28,557.9,525.0,544.0,535.0,9.0,267,8314,4522801.0
2023-03-29,566.0,531.1,550.0,544.0,6.0,367,10120,5549275.8
2023-03-30,560.0,539.0,544.5,550.0,-5.5,168,5787,3158064.0
2023-04-02,544.0,520.0,520.0,544.5,-24.5,226,6780,3577681.4
2023-04-03,526.0,511.3,521.0,520.0,1.0,238,9223,4768508.8
2023-04-04,542.1,510.6,526.0,521.0,5.0,165,2125,1103547.0
2023-04-05,535.6,516.1,535.6,526.0,9.600000000000025,157,2730,1435779.0
2023-04-06,546.0,526.0,534.1,535.6,-1.5,163,8778,4706358.0
2023-04-09,535.6,515.0,515.0,534.1,-19.100000000000023,190,7856,4155658.2
2023-04-10,544.0,516.1,537.0,515.0,22.0,211,5200,2769207.0
2023-04-11,541.0,530.0,540.0,537.0,3.0,169,3295,1772198.0
2023-04-12,560.0,541.0,559.9,540.0,19.899999999999977,269,13709,7571108.6
2023-04-13,565.0,545.2,558.4,559.9,-1.5,127,3715,2048425.5
2023-04-16,559.0,541.0,557.0,558.4,-1.3999999999999773,159,7580,4175363.0
2023-04-17,565.0,535.0,550.0,557.0,-7.0,116,4250,2308064.0
2023-04-18,552.0,529.0,550.0,550.0,0.0,103,2120,1150444.0
2023-04-19,560.0,536.1,554.0,550.0,4.0,97,3770,2079515.0
2023-04-20,565.0,538.1,549.8,554.0,-4.2000000000000455,87,2641,1456125.5
2023-04-23,550.9,533.0,550.0,549.8,0.2000000000000454,140,4803,2605771.8
2023-04-24,543.0,531.0,536.0,550.0,-14.0,84,900,483371.0
2023-04-25,546.7,527.2,540.0,536.0,4.0,119,1440,776926.0
2023-04-26,547.0,530.0,530.0,540.0,-10.0,92,1725,922967.5
2023-04-27,560.0,520.1,530.1,530.0,0.1000000000000227,117,8902,4832978.0
2023-04-30,532.0,520.8,527.9,530.1,-2.200000000000045,70,1190,628191.0
