date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-05-21,414.0,399.7,404.8,391.88,12.920000000000016,615,43573,17758873.5
2023-05-22,412.5,396.9,412.0,404.8,7.199999999999989,500,20116,8149873.2
2023-05-23,431.9,404.0,430.0,412.0,18.0,596,24766,10516708.2
2023-05-24,438.6,422.0,432.0,430.0,2.0,484,26171,11251072.0
2023-05-28,440.0,415.0,415.0,432.0,-17.0,651,30792,13100101.6
2023-05-30,415.9,402.0,402.1,415.0,-12.899999999999975,527,26241,10673452.2
2023-05-31,410.0,389.0,390.1,402.1,-12.0,340,15572,6208803.9
2023-06-01,404.9,390.0,397.7,390.1,7.599999999999966,330,17526,6962964.9
2023-06-04,421.9,395.0,414.0,397.7,16.30000000000001,452,20073,8316558.1
2023-06-05,423.4,407.8,423.4,414.0,9.399999999999975,585,34941,14457402.4
2023-06-06,438.0,410.1,433.0,423.4,9.600000000000025,588,37275,15936414.2
2023-06-07,445.0,427.0,435.0,433.0,2.0,648,40748,17845098.1
2023-06-08,472.0,430.0,451.0,435.0,16.0,848,82220,37174569.4
2023-06-11,496.0,453.0,483.0,451.0,32.0,1166,99353,47230785.8
2023-06-12,492.0,476.5,485.0,483.0,2.0,756,46221,22283832.1
2023-06-13,511.8,475.1,495.0,485.0,10.0,934,88821,44062062.0
2023-06-14,512.0,488.0,500.0,495.0,5.0,1068,105570,52930954.6
2023-06-15,532.6,490.0,529.0,500.0,29.0,1130,81479,41778901.0
2023-06-18,560.6,527.0,560.0,529.0,31.0,1307,111573,61371848.4
2023-06-19,571.2,534.3,551.0,560.0,-9.0,1091,120933,66143138.2
2023-06-20,560.0,530.0,531.0,551.0,-20.0,618,58249,31557547.5
2023-06-21,549.0,520.5,535.0,531.0,4.0,853,61832,33276175.8
2023-06-22,555.0,530.0,550.0,535.0,15.0,969,97740,53314221.3
2023-06-25,598.2,555.0,598.2,550.0,48.200000000000045,1986,169906,100027792.1
2023-06-26,619.9,581.0,581.1,598.2,-17.100000000000023,1274,97279,58069152.0
2023-06-27,603.0,570.0,575.0,581.1,-6.100000000000023,1041,73392,42408989.9
2023-06-28,602.0,566.0,588.0,575.0,13.0,1268,106697,62075721.0
2023-07-02,608.0,577.1,590.0,588.0,2.0,1599,129138,77055214.7
2023-07-03,598.0,574.0,579.0,590.0,-11.0,918,63654,37228443.7
2023-07-04,585.0,563.0,575.9,579.0,-3.1000000000000227,761,47284,27023641.5
2023-07-05,580.0,548.0,554.0,575.9,-21.899999999999977,737,63390,35416677.7
2023-07-06,560.0,538.0,547.9,554.0,-6.100000000000023,946,47513,26024080.6
2023-07-09,568.0,540.0,568.0,547.9,20.100000000000023,882,50579,28344593.6
2023-07-10,584.0,560.0,570.0,568.0,2.0,757,47162,26942050.8
2023-07-11,570.5,558.0,570.0,570.0,0.0,582,28262,15926283.9
2023-07-12,570.0,560.1,567.9,570.0,-2.1000000000000227,577,40013,22618074.5
2023-07-13,578.0,552.3,552.5,567.9,-15.399999999999975,612,39668,22310289.2
2023-07-16,563.0,548.0,556.0,552.5,3.5,434,21147,11697834.8
2023-07-17,575.0,548.0,570.2,556.0,14.200000000000044,595,35502,20135864.8
2023-07-18,593.0,570.0,577.0,570.2,6.7999999999999545,759,62290,36151612.7
2023-07-19,582.0,565.0,565.0,577.0,-12.0,547,50842,29165608.5
2023-07-20,571.2,560.0,562.0,565.0,-3.0,546,25126,14223692.3
2023-07-23,575.0,553.0,565.0,562.0,3.0,741,44357,25167171.5
2023-07-24,574.0,556.0,568.0,565.0,3.0,590,46718,26585817.3
2023-07-25,575.0,558.6,558.6,568.0,-9.399999999999975,466,34218,19318048.8
2023-07-26,563.0,552.2,556.0,558.6,-2.6000000000000227,401,27486,15289755.2
2023-07-27,566.0,546.0,550.0,556.0,-6.0,455,26802,14732897.1
2023-07-30,555.0,534.0,536.9,550.0,-13.100000000000025,467,44307,23928987.9
2023-07-31,546.0,531.0,537.6,536.9,0.7000000000000455,478,19685,10658121.3
2023-08-01,556.0,523.4,524.0,537.6,-13.600000000000025,412,16508,8745398.9
2023-08-02,534.0,513.7,525.0,524.0,1.0,344,10816,5618065.9
2023-08-03,544.0,525.0,531.1,525.0,6.100000000000023,551,24985,13376130.2
2023-08-06,540.0,515.1,520.0,531.1,-11.100000000000025,399,19435,10146696.5
2023-08-07,541.0,510.0,520.0,520.0,0.0,465,14717,7629830.7
