date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-05-12,1346.0,1236.1,1236.1,1373.4,-137.3,48,1339,1682504.1
2022-05-17,1212.0,1112.5,1112.5,1236.1,-123.6,34,1298,1452498.0
2022-05-18,1090.3,1001.3,1001.3,1112.5,-111.2,44,1371,1389833.3
2022-05-19,985.0,925.2,950.0,1001.3,-51.3,305,16061,15486469.2
2022-05-20,985.0,930.0,930.0,950.0,-20.0,123,4580,4338707.0
2022-05-23,911.4,885.0,895.0,930.0,-35.0,114,3626,3240491.2
2022-05-24,915.0,841.1,857.0,895.0,-38.0,206,10440,9131820.7
2022-05-25,889.0,842.8,878.0,857.0,21.0,130,6856,5902604.6
2022-05-26,884.9,860.0,870.0,878.0,-8.0,83,3286,2848771.7
2022-05-27,879.0,850.1,868.0,870.0,-2.0,82,3085,2654684.8
2022-05-30,868.0,830.0,835.0,868.0,-33.0,53,5166,4380894.5
2022-05-31,835.0,804.0,809.0,835.0,-26.0,105,3811,3108193.0
2022-06-01,841.5,794.0,794.0,809.0,-15.0,115,6105,4930016.7
2022-06-02,809.0,785.0,785.1,794.0,-8.9,73,5935,4694964.4
2022-06-03,784.0,755.0,757.0,785.1,-28.1,117,10284,7904095.7
2022-06-06,772.1,751.0,758.0,757.0,1.0,86,4105,3103803.2
2022-06-07,769.0,743.0,754.0,758.0,-4.0,79,4257,3220312.2
2022-06-08,801.0,750.0,790.0,754.0,36.0,92,4832,3764788.6
2022-06-09,820.0,760.0,778.0,790.0,-12.0,106,3424,2666699.7
2022-06-10,784.0,755.0,770.0,778.0,-8.0,32,879,675710.7
2022-06-13,770.0,750.0,750.0,770.0,-20.0,46,1772,1339170.5
2022-06-14,755.0,722.0,722.0,750.0,-28.0,84,3264,2395151.2
2022-06-15,750.0,710.0,730.0,722.0,8.0,56,2240,1639319.6
2022-06-16,755.0,720.1,738.9,730.0,8.9,43,1819,1354576.3
2022-06-17,750.0,738.9,747.4,738.9,8.5,12,565,420648.0
2022-06-19,746.0,713.0,715.1,747.4,-32.3,85,3746,2701055.7
2022-06-20,702.0,675.0,678.0,715.1,-37.1,129,5036,3443415.5
2022-06-21,711.0,686.1,700.0,678.0,22.0,68,3718,2599759.2
2022-06-22,705.0,690.0,701.0,700.0,1.0,29,2221,1548222.0
2022-06-23,699.0,666.0,698.0,701.0,-3.0,75,3285,2225833.8
2022-06-24,708.8,671.3,708.0,698.0,10.0,37,1356,942109.9
2022-06-26,754.0,709.0,750.0,708.0,42.0,71,3242,2384725.1
2022-06-27,765.0,718.4,734.0,750.0,-16.0,83,4031,2962026.6
2022-06-28,736.4,711.0,716.0,734.0,-18.0,47,1939,1405139.7
2022-06-30,823.7,751.0,823.7,748.9,74.8,238,15537,12546700.0
2022-07-01,841.0,810.0,830.0,823.7,6.3,101,4590,3796930.9
