date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-04-10,324.5,295.0,324.5,0.0,324.5,12778,206247,66568580.4
2023-04-11,342.0,304.0,313.0,324.5,-11.5,11799,158845,50318297.0
2023-04-12,334.0,306.8,331.5,313.0,18.5,5156,82281,26621195.0
2023-04-13,338.1,318.5,321.0,331.5,-10.5,3298,49161,15884273.0
2023-04-16,320.0,308.0,309.0,321.0,-12.0,3234,62246,19479190.4
2023-04-17,315.0,304.0,314.6,309.0,5.600000000000023,2430,41883,13004246.0
2023-04-18,320.0,303.0,320.0,314.6,5.399999999999977,2115,38845,12220853.0
2023-04-19,323.3,311.0,322.0,320.0,2.0,2297,51534,16469743.0
2023-04-20,323.9,313.0,313.0,322.0,-9.0,1248,38607,12249347.0
2023-04-23,315.0,306.8,309.1,313.0,-3.899999999999977,1947,51344,15984788.4
2023-04-24,310.0,304.6,310.0,309.1,0.8999999999999773,1903,43827,13448217.9
2023-04-25,316.0,303.9,314.0,310.0,4.0,1825,49440,15245344.1
2023-04-26,313.0,305.3,309.1,314.0,-4.899999999999977,1103,37495,11516238.0
2023-04-27,308.0,303.3,304.1,309.1,-5.0,1040,19920,6082346.0
2023-04-30,304.0,290.0,290.5,304.1,-13.600000000000025,1054,47675,14132162.0
2023-05-02,295.8,278.0,280.2,290.5,-10.300000000000011,915,27150,7692283.0
2023-05-03,280.0,275.1,280.0,280.2,-0.1999999999999886,697,22249,6155267.4
2023-05-04,291.0,275.0,285.0,280.0,5.0,703,18340,5153318.8
2023-05-07,290.7,275.0,275.2,285.0,-9.800000000000011,705,22604,6274861.8
2023-05-08,274.0,265.0,265.4,275.2,-9.800000000000011,694,30467,8202164.5
2023-05-09,276.0,261.4,274.0,265.4,8.600000000000023,639,30361,8179926.9
2023-05-10,275.0,266.4,270.0,274.0,-4.0,377,10705,2900358.6
2023-05-11,271.5,264.2,270.0,270.0,0.0,439,9995,2691033.0
2023-05-14,272.0,262.1,262.3,270.0,-7.699999999999989,407,11859,3143660.9
2023-05-15,267.7,256.1,259.0,262.3,-3.300000000000012,502,9090,2361841.0
2023-05-16,267.0,255.0,264.0,259.0,5.0,481,11341,2984067.6
2023-05-17,271.9,261.0,270.0,264.0,6.0,503,21643,5785873.0
2023-05-18,278.0,266.0,277.1,270.0,7.100000000000023,644,27118,7434727.1
2023-05-21,287.0,269.7,270.0,277.1,-7.100000000000023,719,26895,7416911.4
2023-05-22,277.7,265.0,268.0,270.0,-2.0,546,13041,3519457.0
2023-05-23,280.0,269.0,279.0,268.0,11.0,659,42247,11692668.6
2023-05-24,284.4,271.0,272.1,279.0,-6.899999999999977,602,25789,7104941.4
2023-05-28,286.9,270.1,272.7,272.1,0.5999999999999659,1098,60485,17004744.9
2023-05-30,278.1,264.2,267.6,272.7,-5.099999999999966,732,31611,8536710.6
2023-05-31,273.0,258.0,258.0,267.6,-9.600000000000025,595,39699,10457190.7
2023-06-01,266.0,255.0,264.9,258.0,6.899999999999977,550,24346,6364540.1
2023-06-04,279.8,264.9,275.0,264.9,10.100000000000025,661,29107,7998403.5
2023-06-05,284.0,270.1,271.3,275.0,-3.6999999999999886,668,22730,6283932.2
2023-06-06,286.6,266.1,286.6,271.3,15.300000000000011,1011,43446,12186109.1
2023-06-07,295.0,284.5,286.9,286.6,0.2999999999999545,1151,72579,21035979.9
2023-06-08,289.6,282.0,287.9,286.9,1.0,813,47264,13450982.4
