date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-06-08,78.0,78.0,78.0,78.0,,8,2200,171600.0
2010-09-12,78.0,78.0,78.0,78.0,,2,20,1560.0
2010-09-15,78.0,78.0,78.0,78.0,,1,10,780.0
2010-09-16,79.0,79.0,79.0,78.0,1.0,2,100,7900.0
2010-09-19,80.0,80.0,80.0,79.0,1.0,4,250,20000.0
2010-09-20,80.0,80.0,80.0,80.0,,1,70,5600.0
2010-09-26,80.0,80.0,80.0,80.0,,4,50,4000.0
2010-09-28,80.0,80.0,80.0,80.0,,4,90,7200.0
2010-09-30,82.0,81.0,82.0,80.0,2.0,2,20,1630.0
2010-10-31,82.0,82.0,82.0,82.0,,2,380,31160.0
2010-11-14,82.0,81.0,81.0,82.0,-1.0,2,260,21130.0
2010-11-25,82.0,82.0,82.0,81.0,1.0,1,10,820.0
2010-11-28,83.0,82.0,82.0,82.0,,4,40,3290.0
2010-12-02,82.0,82.0,82.0,82.0,,2,1375895,112823390.0
2011-01-20,83.0,83.0,83.0,82.0,1.0,4,150,12450.0
2011-02-13,84.0,84.0,84.0,83.0,1.0,1,100,8400.0
2011-03-16,83.0,83.0,83.0,84.0,-1.0,1,40,3320.0
2011-03-17,83.0,82.0,83.0,83.0,,6,540,44740.0
2011-03-21,84.0,84.0,84.0,83.0,1.0,1,80,6720.0
2011-03-28,85.0,85.0,85.0,84.0,1.0,3,30,2550.0
2011-03-29,85.0,85.0,85.0,85.0,,1,10,850.0
2011-03-30,85.0,85.0,85.0,85.0,,1,60,5100.0
2011-05-02,84.0,84.0,84.0,85.0,-1.0,1,60,5040.0
2011-05-03,84.0,84.0,84.0,84.0,,3,30,2520.0
2011-05-10,84.0,84.0,84.0,84.0,,2,300,25200.0
2011-05-25,88.0,87.0,87.0,84.0,3.0,12,350,30620.0
2011-06-07,87.0,87.0,87.0,87.0,,7,140,12180.0
2011-06-08,87.0,87.0,87.0,87.0,,1,60,5220.0
2011-06-09,87.0,87.0,87.0,87.0,,1,2540,220980.0
2011-06-14,88.0,88.0,88.0,87.0,1.0,1,100,8800.0
2011-06-19,88.0,88.0,88.0,88.0,,2,23560,2073280.0
2011-06-20,87.0,87.0,87.0,88.0,-1.0,1,20,1740.0
2011-07-11,87.0,87.0,87.0,87.0,,1,9000,783000.0
2011-07-14,87.0,87.0,87.0,87.0,,1,10,870.0
2011-08-09,89.0,88.0,89.0,87.0,2.0,2,230,20450.0
2011-08-18,92.0,90.0,92.0,89.0,3.0,11,170,15420.0
2011-08-23,93.0,93.0,93.0,92.0,1.0,1,40,3720.0
2011-08-24,95.0,92.0,95.0,93.0,2.0,5,20060,1845630.0
2011-08-25,94.0,94.0,94.0,95.0,-1.0,2,20000,1880000.0
2011-08-28,93.0,92.0,93.0,94.0,-1.0,9,15642,1444706.0
2011-08-29,94.0,92.0,94.0,93.0,1.0,3,9298,858426.0
2011-08-30,93.0,93.0,93.0,94.0,-1.0,3,30,2790.0
2011-09-04,92.0,92.0,92.0,93.0,-1.0,5,230,21160.0
2011-09-05,91.0,91.0,91.0,92.0,-1.0,1,20,1820.0
2011-09-12,91.0,90.0,91.0,91.0,,3,490,44210.0
2011-09-18,90.0,88.0,88.0,91.0,-3.0,5,170,15150.0
2011-09-25,88.0,86.0,86.0,88.0,-2.0,9,250,21960.0
2011-09-29,85.0,85.0,85.0,86.0,-1.0,1,90,7650.0
2011-11-09,86.0,85.0,86.0,85.0,1.0,3,80,6820.0
2011-11-10,86.0,86.0,86.0,86.0,,1,70,6020.0
2011-11-17,85.0,84.0,84.0,86.0,-2.0,3,180,15220.0
2011-11-20,84.0,84.0,84.0,84.0,,3,30,2520.0
2011-11-21,85.0,85.0,85.0,84.0,1.0,3,146631,12463635.0
2011-11-22,84.0,84.0,84.0,85.0,-1.0,1,70,5880.0
2011-12-12,83.0,82.0,82.0,84.0,-2.0,7,240,19840.0
2011-12-21,83.0,83.0,83.0,82.0,1.0,4,80,6640.0
2011-12-27,84.0,84.0,84.0,83.0,1.0,1,50,4200.0
2012-01-08,83.0,83.0,83.0,84.0,-1.0,1,70,5810.0
2012-01-31,82.0,81.0,82.0,83.0,-1.0,6,380,31080.0
2012-02-07,82.0,81.0,82.0,82.0,,5,1410,115610.0
2012-02-21,81.0,81.0,81.0,82.0,-1.0,6,160,12960.0
2012-02-23,80.0,79.0,79.0,81.0,-2.0,3,120,9590.0
2012-02-27,80.0,80.0,80.0,79.0,1.0,2,30,2400.0
