date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-07-17,538.4,499.2,538.4,489.49,48.90999999999997,54,2554,1363372.3
2023-07-18,592.2,545.0,592.2,538.4,53.80000000000007,61,7651,4528364.2
2023-07-19,651.4,604.0,631.0,592.2,38.79999999999996,2160,375277,235745457.3
2023-07-20,643.4,620.0,621.0,631.0,-10.0,559,95250,59458872.8
2023-07-23,642.0,616.2,640.0,621.0,19.0,555,110633,69691514.8
2023-07-24,644.0,625.1,632.3,640.0,-7.700000000000045,414,86302,54857493.4
2023-07-25,638.0,626.2,627.2,632.3,-5.099999999999909,333,53853,33977320.7
2023-07-26,632.6,620.0,620.0,627.2,-7.2000000000000455,172,27511,17249931.6
2023-07-27,628.0,612.5,613.0,620.0,-7.0,249,36151,22337221.4
2023-07-30,623.0,592.0,602.0,613.0,-11.0,313,50025,30032415.1
2023-07-31,612.5,595.0,602.0,602.0,0.0,177,28758,17379337.8
2023-08-01,608.0,581.0,585.5,602.0,-16.5,196,28219,16718499.1
2023-08-02,597.0,573.0,588.0,585.5,2.5,186,27874,16178470.7
2023-08-03,586.5,580.0,584.0,588.0,-4.0,180,17944,10450671.3
2023-08-06,583.8,560.0,565.0,584.0,-19.0,133,15012,8512607.6
2023-08-07,575.0,553.0,569.0,565.0,4.0,136,19218,10843845.4
2023-08-08,575.0,558.0,564.7,569.0,-4.2999999999999545,133,17979,10133610.8
2023-08-09,580.0,554.0,580.0,564.7,15.299999999999956,186,29177,16569241.6
2023-08-10,605.0,573.0,597.1,580.0,17.100000000000023,274,53560,31847974.5
2023-08-13,614.0,590.0,609.0,597.1,11.899999999999975,259,45370,27313839.1
2023-08-14,621.0,603.1,606.9,609.0,-2.1000000000000227,193,41357,25341888.4
2023-08-15,609.5,590.0,592.0,606.9,-14.899999999999975,213,34628,20610434.3
2023-08-16,592.0,580.0,584.8,592.0,-7.2000000000000455,186,40063,23458095.3
2023-08-17,598.0,588.0,588.2,584.8,3.400000000000091,130,22226,13198880.3
2023-08-20,593.0,576.3,576.3,588.2,-11.900000000000093,123,20987,12236266.6
2023-08-21,585.0,570.0,573.0,576.3,-3.2999999999999545,176,53639,30906132.6
2023-08-22,584.0,566.0,582.9,573.0,9.899999999999975,188,94857,54193949.0
2023-08-23,608.0,585.0,604.0,582.9,21.100000000000023,269,48976,29297830.2
2023-08-24,610.0,584.0,596.0,604.0,-8.0,225,43431,25726551.8
2023-08-27,600.0,578.0,580.0,596.0,-16.0,214,42830,24960541.3
2023-08-28,588.0,577.0,577.0,580.0,-3.0,136,25278,14705465.1
2023-08-29,599.7,573.0,580.0,577.0,3.0,107,20320,11818206.9
2023-08-30,588.9,577.5,580.0,580.0,0.0,141,33752,19588859.9
2023-09-03,580.0,566.2,569.0,580.0,-11.0,124,25698,14695439.2
2023-09-04,577.9,560.0,569.9,569.0,0.8999999999999773,108,22904,13075160.0
2023-09-05,574.0,563.0,563.1,569.9,-6.7999999999999545,91,12645,7148627.0
2023-09-07,567.0,555.1,556.1,563.1,-7.0,119,16289,9091301.1
2023-09-10,566.9,554.1,561.0,556.1,4.899999999999977,80,11593,6504785.8
2023-09-11,584.0,561.1,580.0,561.0,19.0,150,25328,14593113.6
2023-09-12,578.0,565.0,569.9,580.0,-10.100000000000025,117,21068,12069783.8
2023-09-13,590.0,566.1,587.0,569.9,17.100000000000023,147,26683,15451517.8
2023-09-17,580.0,565.0,566.0,587.0,-21.0,143,29387,16762575.0
2023-09-18,580.0,563.0,568.3,566.0,2.2999999999999545,59,6558,3739060.9
2023-09-19,580.0,565.1,577.8,568.3,9.5,64,7784,4457930.9
2023-09-21,597.0,583.0,587.3,577.8,9.5,228,38912,22940435.9
2023-09-24,594.0,575.6,584.0,587.3,-3.2999999999999545,155,27470,16018746.0
2023-09-25,594.9,568.0,576.5,584.0,-7.5,85,7949,4566396.8
2023-09-26,589.0,578.0,585.1,576.5,8.600000000000023,130,22694,13289141.6
2023-09-27,585.0,569.0,575.0,585.1,-10.100000000000025,116,15052,8618588.4
2023-10-01,569.0,560.0,564.0,575.0,-11.0,104,12577,7087034.4
2023-10-02,567.0,557.0,565.0,564.0,1.0,104,12125,6811285.9
2023-10-03,563.9,555.1,557.0,565.0,-8.0,92,10189,5697905.7
2023-10-04,567.0,555.0,563.9,557.0,6.899999999999977,71,7685,4322144.8
2023-10-05,565.0,556.1,557.0,563.9,-6.899999999999977,73,10675,5975191.2
2023-10-08,556.0,545.0,548.0,557.0,-9.0,101,12807,7010361.6
2023-10-09,548.0,539.4,540.0,548.0,-8.0,84,8089,4386905.9
2023-10-10,550.0,516.0,517.0,540.0,-23.0,127,16210,8513340.3
2023-10-11,537.0,497.0,518.1,517.0,1.1000000000000227,91,8017,4176529.2
2023-10-12,528.4,510.5,514.0,518.1,-4.100000000000023,97,12611,6545460.8
2023-10-16,524.0,505.0,512.0,514.0,-2.0,75,8375,4267187.3
2023-10-17,530.0,505.1,506.1,512.0,-5.899999999999977,77,6768,3457766.6
2023-10-18,522.0,512.0,516.0,506.1,9.899999999999975,42,3994,2057377.2
2023-10-19,524.9,509.6,513.0,516.0,-3.0,43,2856,1474048.3
2023-10-29,503.0,490.0,494.5,513.0,-18.5,108,10350,5111168.9
2023-10-30,504.0,494.5,501.0,494.5,6.5,25,4144,2072238.0
2023-10-31,505.7,493.1,493.1,501.0,-7.899999999999977,32,1853,916753.9
2023-11-01,498.0,489.0,489.3,493.1,-3.8000000000000114,56,5594,2749489.6
2023-11-02,490.0,483.4,485.0,489.3,-4.300000000000011,46,3525,1714387.1
2023-11-05,485.5,474.1,480.0,485.0,-5.0,70,5398,2574574.6
2023-11-06,496.9,470.5,496.5,480.0,16.5,64,6860,3326522.4
2023-11-07,506.0,490.0,499.8,496.5,3.300000000000012,67,7018,3463867.8
2023-11-08,509.7,491.0,491.0,499.8,-8.800000000000011,37,2767,1372923.6
2023-11-09,500.0,488.0,490.0,491.0,-1.0,39,3429,1680407.0
2023-11-20,510.0,491.0,510.0,490.0,20.0,102,16188,8110980.9
2023-11-21,515.0,491.4,492.0,510.0,-18.0,55,6483,3200545.1
2023-11-22,518.0,490.6,518.0,492.0,26.0,63,9976,5045974.3
2023-11-23,537.9,498.1,524.1,518.0,6.100000000000023,78,7028,3678293.5
2023-11-26,555.0,523.0,554.8,524.1,30.69999999999993,145,18272,9927522.0
2023-11-27,561.0,544.5,547.0,554.8,-7.799999999999954,136,23740,13033155.5
2023-11-28,555.0,540.3,552.0,547.0,5.0,72,11208,6146511.3
2023-11-29,549.0,532.0,532.0,552.0,-20.0,80,8032,4352839.4
2023-11-30,537.0,525.1,526.0,532.0,-6.0,64,5876,3099866.9
2023-12-03,529.9,512.0,529.9,526.0,3.899999999999977,70,7678,4003105.9
2023-12-04,540.0,524.3,530.0,529.9,0.1000000000000227,62,6186,3306001.4
2023-12-05,562.0,530.0,540.0,530.0,10.0,76,8674,4656117.0
2023-12-06,562.0,546.0,561.0,540.0,21.0,163,23602,13053672.5
2023-12-07,580.0,556.7,580.0,561.0,19.0,214,69715,40052347.4
2023-12-10,615.0,591.6,610.0,580.0,30.0,34,5331,3265200.0
2023-12-11,620.0,590.0,610.0,610.0,0.0,439,78498,47522786.9
2023-12-12,628.0,610.0,620.0,610.0,10.0,265,47592,29460352.4
2023-12-13,625.0,596.1,607.0,620.0,-13.0,183,27379,16695584.3
2023-12-14,605.0,595.0,601.1,607.0,-5.899999999999977,152,38669,23209477.1
2023-12-17,609.0,589.1,608.8,601.1,7.699999999999932,179,26500,15912355.5
2023-12-18,620.0,601.0,610.0,608.8,1.2000000000000457,212,44514,27263392.6
2023-12-19,628.0,600.1,627.0,610.0,17.0,226,54565,33639845.4
2023-12-20,631.5,610.0,620.0,627.0,-7.0,285,52325,32564873.2
2023-12-21,621.0,601.3,608.0,620.0,-12.0,229,29995,18303422.3
2023-12-24,620.0,587.0,604.0,608.0,-4.0,253,53608,32683367.0
2023-12-27,628.0,597.0,615.0,604.0,11.0,337,64269,39636463.2
2023-12-28,648.7,614.0,638.1,615.0,23.100000000000023,565,103988,66264917.0
2024-01-01,664.0,638.1,650.0,638.1,11.899999999999975,441,73491,48077984.7
2024-01-02,648.9,625.0,626.0,650.0,-24.0,239,43242,27430239.7
2024-01-03,642.6,622.0,642.6,626.0,16.600000000000023,225,45492,28833714.9
2024-01-04,652.0,635.0,635.0,642.6,-7.600000000000023,228,38639,24896214.4
2024-01-07,640.0,625.0,625.0,635.0,-10.0,192,65488,41422398.0
2024-01-08,643.0,627.0,640.0,625.0,15.0,147,28265,18059193.1
2024-01-09,655.0,640.0,641.1,640.0,1.1000000000000227,253,48947,31762661.1
2024-01-10,664.0,641.1,641.1,641.1,0.0,164,36806,23848850.4
2024-01-11,648.0,625.0,626.0,641.1,-15.100000000000025,123,19658,12435742.0
2024-01-14,645.0,626.0,634.0,626.0,8.0,107,13494,8519232.5
2024-01-16,684.4,625.0,680.0,634.0,46.0,439,96952,64115573.2
2024-01-17,696.0,656.6,664.9,680.0,-15.100000000000025,358,52007,35290551.3
2024-01-18,668.0,648.0,656.0,664.9,-8.899999999999977,245,43439,28532542.1
2024-01-21,669.1,635.0,642.0,656.0,-14.0,341,45415,29337025.1
2024-01-22,653.0,625.6,627.0,642.0,-15.0,204,39461,24889395.2
2024-01-23,640.0,628.0,634.0,627.0,7.0,176,26696,16939789.7
2024-01-24,645.0,626.0,627.0,634.0,-7.0,137,12625,8009861.8
2024-01-25,639.0,623.0,627.0,627.0,0.0,132,11154,7003015.5
2024-01-28,639.4,627.0,635.0,627.0,8.0,137,11705,7425846.3
2024-01-29,644.0,629.2,630.0,635.0,-5.0,146,15805,10005861.9
2024-01-30,646.6,630.7,634.0,630.0,4.0,156,24202,15398520.0
2024-01-31,639.0,625.0,626.5,634.0,-7.5,230,35216,22230336.5
2024-02-01,635.0,610.0,615.7,626.5,-10.799999999999956,211,35211,21913440.5
2024-02-04,624.0,614.0,618.9,615.7,3.199999999999932,393,65524,40498133.1
2024-02-05,583.0,553.0,554.0,561.3,-7.299999999999954,124,16992,9581198.0
2024-02-06,599.5,551.0,595.0,554.0,41.0,98,11495,6491717.5
2024-02-07,583.1,566.0,566.0,595.0,-29.0,190,19254,10980002.0
2024-02-08,576.0,558.0,566.2,566.0,0.2000000000000454,110,5579,3148302.1
2024-02-11,570.0,555.0,556.0,566.2,-10.200000000000044,122,11917,6703012.6
2024-02-12,570.0,550.1,569.9,556.0,13.899999999999975,114,13714,7728440.1
2024-02-13,566.9,550.0,558.0,569.9,-11.899999999999975,202,37095,20676707.2
2024-02-14,567.0,552.4,554.9,558.0,-3.1000000000000227,91,8988,5007005.1
2024-02-15,564.0,547.1,549.9,554.9,-5.0,138,20934,11602683.6
2024-02-18,550.0,536.1,542.0,549.9,-7.899999999999977,124,16482,8964706.9
2024-02-20,550.0,537.0,537.0,542.0,-5.0,88,10170,5530503.2
2024-02-21,542.0,530.6,535.0,537.0,-2.0,77,6325,3380031.0
2024-02-22,540.0,521.1,522.0,535.0,-13.0,115,9173,4859079.0
2024-02-25,525.0,515.0,520.0,522.0,-2.0,98,12142,6306868.9
2024-02-26,530.4,515.0,529.0,520.0,9.0,70,8572,4483731.0
2024-02-27,537.0,520.0,533.0,529.0,4.0,59,4083,2156995.1
2024-02-28,538.5,523.0,529.9,533.0,-3.1000000000000227,68,13171,7026207.0
2024-02-29,534.0,515.0,515.2,529.9,-14.699999999999932,98,7792,4046853.6
2024-03-03,540.0,514.0,520.0,515.2,4.7999999999999545,70,9767,5070902.9
2024-03-04,551.8,530.4,551.8,520.0,31.799999999999955,3,30,16232.0
2024-03-05,552.0,531.4,531.4,551.8,-20.399999999999977,89,11228,6078231.1
2024-03-06,545.0,521.0,529.0,531.4,-2.3999999999999773,105,16461,8726860.0
2024-03-07,539.5,530.2,533.1,529.0,4.100000000000023,92,13240,7066080.8
2024-03-10,555.0,533.1,550.0,533.1,16.899999999999977,213,27105,14859795.7
