date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-08-11,143.2,130.2,143.2,,13.0,50,194,26058.1
2022-08-14,154.8,146.0,154.8,143.2,11.6,4,40,6015.0
2022-08-15,170.2,154.8,170.2,154.8,15.4,12,91,15087.9
2022-08-16,187.2,167.0,187.2,170.2,17.0,25,140,24967.6
2022-08-17,205.9,190.9,205.9,187.2,18.7,12,120,24263.0
2022-08-18,226.4,210.0,226.4,205.9,20.5,21,200,44835.0
2022-08-22,273.9,253.9,273.9,249.0,24.9,52,5420,1484042.0
2022-08-23,301.2,279.3,301.2,273.9,27.3,190,1900,571739.0
2022-08-24,331.3,307.2,331.3,301.2,30.1,239,2390,791213.0
2022-08-25,364.4,337.0,364.4,331.3,33.1,355,4540,1653687.0
2022-08-26,400.8,365.7,384.0,364.4,19.6,4469,72219,28079526.2
2022-08-28,384.0,357.0,357.0,384.0,-27.0,2530,39110,14265063.0
2022-08-29,355.0,345.0,355.0,357.0,-2.0,1156,16130,5640576.2
2022-08-30,385.0,341.0,385.0,355.0,30.0,826,12412,4533600.5
2022-08-31,391.6,362.5,365.0,385.0,-20.0,838,13900,5160047.0
2022-09-01,394.5,343.6,389.0,365.0,24.0,653,28648,10544677.0
2022-09-02,401.0,373.0,400.0,389.0,11.0,680,31551,12325394.0
2022-09-04,423.0,392.0,423.0,400.0,23.0,1814,48783,20011929.4
2022-09-05,425.0,406.8,421.0,423.0,-2.0,815,20241,8474136.1
2022-09-06,437.0,404.4,423.0,421.0,2.0,690,21936,9149135.0
2022-09-07,457.7,400.0,450.0,423.0,27.0,590,30391,12516795.3
2022-09-08,441.0,408.0,425.0,450.0,-25.0,521,27852,11586163.0
2022-09-11,423.0,402.0,410.0,425.0,-15.0,410,9624,3912010.2
2022-09-12,425.0,388.5,393.0,410.0,-17.0,376,14535,5761291.5
2022-09-13,408.0,377.5,392.0,393.0,-1.0,264,6276,2472518.0
2022-09-14,406.0,384.0,403.0,392.0,11.0,358,13691,5416747.3
2022-09-15,410.0,375.0,400.0,403.0,-3.0,304,27717,10703381.0
2022-09-16,431.0,364.0,423.0,400.0,23.0,154,6232,2431529.8
2022-09-18,414.6,387.2,399.8,423.0,-23.2,265,5859,2301878.8
2022-09-20,399.0,377.0,387.7,399.8,-12.1,242,5351,2028514.6
2022-09-21,395.0,374.0,383.0,387.7,-4.7,183,3751,1428892.6
2022-09-22,394.0,363.1,394.0,383.0,11.0,179,6252,2299666.4
2022-09-25,390.0,362.8,380.0,394.0,-14.0,179,2690,1000463.0
2022-09-27,402.9,360.3,402.9,380.0,22.9,191,4879,1843041.8
2022-09-28,394.9,372.0,394.0,402.9,-8.9,110,3080,1188905.0
2022-09-29,411.0,371.0,392.8,394.0,-1.2,135,4780,1856629.4
