date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-05-27,1259.9,1211.0,1259.9,,48.9,4,40,49171.0
2022-05-30,1363.6,1257.7,1363.6,1259.9,103.7,8,70,90771.0
2022-05-31,1475.8,1363.6,1475.8,1363.6,112.2,8,50,71263.6
2022-06-01,1535.4,1505.3,1535.4,1475.8,59.6,4,30,45524.0
2022-06-02,1597.4,1566.1,1597.4,1535.4,62.0,2,20,31635.0
2022-06-03,1757.1,1603.3,1757.1,1597.4,159.7,6,60,101003.0
2022-06-06,1932.8,1792.2,1932.8,1757.1,175.7,13,130,247816.0
2022-06-07,2126.0,1971.4,2126.0,1932.8,193.2,19,190,400152.0
2022-06-08,2338.6,2168.5,2338.6,2126.0,212.6,9,90,206304.0
2022-06-09,2572.4,2385.3,2572.4,2338.6,233.8,16,160,406999.0
2022-06-10,2829.6,2572.0,2829.6,2572.4,257.2,155,1857,5223049.2
2022-06-13,3112.5,2700.0,2702.0,2829.6,-127.6,1819,20060,56364035.0
2022-06-14,2740.0,2560.0,2564.0,2702.0,-138.0,973,11051,28760198.2
2022-06-15,2565.0,2425.0,2508.2,2564.0,-55.8,501,5667,14031019.5
2022-06-16,2550.0,2460.0,2550.0,2508.2,41.8,274,3304,8256605.6
2022-06-17,2601.0,2526.3,2545.0,2550.0,-5.0,74,1720,4391421.2
2022-06-19,2550.0,2490.1,2502.0,2545.0,-43.0,163,2230,5591690.0
2022-06-20,2500.0,2405.1,2415.0,2502.0,-87.0,188,3197,7799295.6
2022-06-21,2510.0,2400.0,2499.0,2415.0,84.0,128,2325,5742481.5
2022-06-22,2476.0,2420.1,2465.0,2499.0,-34.0,92,1530,3742084.2
2022-06-23,2430.0,2380.0,2386.0,2465.0,-79.0,131,2552,6123800.0
2022-06-24,2478.6,2343.0,2428.0,2386.0,42.0,64,855,2055319.0
2022-06-26,2574.0,2445.0,2540.0,2428.0,112.0,153,2977,7511151.5
2022-06-27,2590.0,2470.0,2496.1,2540.0,-43.9,122,2608,6555563.9
2022-06-28,2499.9,2447.0,2485.0,2496.1,-11.1,76,1137,2802359.0
2022-06-30,2697.0,2525.0,2645.0,2525.0,120.0,131,3160,8366140.0
2022-07-01,2697.0,2598.0,2656.0,2645.0,11.0,67,1478,3922518.5
2022-07-03,2799.0,2601.9,2799.0,2656.0,143.0,145,2651,7148651.0
2022-07-04,2998.8,2742.0,2750.0,2799.0,-49.0,230,4905,14040845.0
2022-07-05,2906.7,2645.0,2710.0,2750.0,-40.0,135,2558,6988640.0
2022-07-06,2758.9,2663.0,2730.0,2710.0,20.0,130,1991,5411855.4
2022-07-07,2849.9,2702.0,2716.0,2730.0,-14.0,88,1485,4086079.0
2022-07-08,2770.0,2670.7,2675.0,2716.0,-41.0,54,945,2541877.0
2022-07-11,2625.0,2572.0,2595.0,2675.0,-80.0,106,1830,4762202.0
2022-07-12,2630.0,2560.0,2620.0,2595.0,25.0,77,1218,3177854.3
2022-07-13,2686.9,2620.0,2686.9,2620.0,66.9,71,1417,3787064.8
2022-07-14,2740.0,2664.0,2690.0,2686.9,3.1,85,1739,4691962.0
2022-07-15,2699.0,2637.1,2699.0,2690.0,9.0,33,500,1334843.0
2022-07-17,2798.0,2675.0,2748.0,2699.0,49.0,82,1120,3071339.0
2022-07-18,2835.0,2725.0,2833.0,2748.0,85.0,116,2226,6213659.0
2022-07-19,2950.0,2833.0,2939.1,2833.0,106.1,171,3657,10574039.5
2022-07-20,2973.0,2881.0,2940.0,2939.1,0.9,123,2685,7917331.0
2022-07-21,2995.0,2892.0,2945.0,2940.0,5.0,98,1695,4986324.0
2022-07-22,2960.0,2903.1,2935.0,2945.0,-10.0,49,1001,2927967.1
2022-07-24,3119.8,2931.0,3050.0,2935.0,115.0,182,3901,11716466.2
2022-07-25,3264.0,3050.0,3210.0,3050.0,160.0,130,3446,11032784.3
2022-07-26,3229.0,3130.0,3132.0,3210.0,-78.0,165,5092,16193097.7
2022-07-27,3264.0,3069.4,3230.0,3132.0,98.0,133,2983,9503319.0
2022-07-28,3348.0,3220.0,3260.0,3230.0,30.0,183,5604,18445185.0
2022-07-29,3400.0,3195.0,3300.0,3260.0,40.0,77,2612,8601654.5
2022-07-31,3395.0,3237.1,3385.0,3300.0,85.0,135,2786,9289854.2
2022-08-01,3406.0,3320.0,3356.0,3385.0,-29.0,110,2836,9514078.0
2022-08-02,3423.1,3288.9,3380.0,3356.0,24.0,146,3011,10091810.0
2022-08-03,3387.0,3247.0,3310.0,3380.0,-70.0,202,4539,15078315.0
2022-08-04,3358.0,3221.0,3343.9,3310.0,33.9,179,4319,14242297.5
2022-08-05,3456.0,3317.0,3449.0,3343.9,105.1,245,11197,37950268.0
2022-08-07,3786.0,3452.0,3764.0,3449.0,315.0,272,6313,22948747.7
2022-08-08,3819.0,3700.0,3799.0,3764.0,35.0,148,3768,14115585.6
2022-08-09,3760.0,3648.7,3710.0,3799.0,-89.0,160,5165,19079504.0
2022-08-10,3814.8,3627.0,3814.8,3710.0,104.8,180,4147,15382635.8
2022-08-11,3815.0,3701.0,3799.0,3814.8,-15.8,114,2995,11231313.8
2022-08-14,3770.0,3680.0,3680.0,3799.0,-119.0,122,2507,9285181.0
2022-08-15,3858.0,3660.0,3858.0,3680.0,178.0,146,3030,11355755.0
2022-08-16,3869.0,3732.0,3732.0,3858.0,-126.0,116,3241,12240225.0
2022-08-17,3750.0,3670.0,3706.0,3732.0,-26.0,62,1057,3925200.5
2022-08-18,3750.0,3701.0,3708.0,3706.0,2.0,74,1408,5246122.8
2022-08-22,3740.0,3645.0,3700.0,3700.0,,76,1455,5382297.0
2022-08-23,3825.0,3710.0,3800.0,3700.0,100.0,118,2565,9681379.0
2022-08-24,3800.0,3731.0,3737.3,3800.0,-62.7,61,1556,5843662.1
2022-08-25,3798.0,3730.5,3798.0,3737.3,60.7,93,3574,13429353.0
2022-08-26,3800.0,3725.5,3794.0,3798.0,-4.0,36,715,2693087.0
2022-08-28,3750.0,3680.4,3715.0,3794.0,-79.0,59,1322,4898391.0
2022-08-29,3670.0,3642.1,3656.3,3715.0,-58.7,43,1081,3955581.0
2022-08-30,3700.0,3606.1,3650.0,3656.3,-6.3,38,650,2363940.0
2022-08-31,3698.0,3600.0,3600.0,3650.0,-50.0,43,580,2090372.0
2022-09-01,3651.0,3510.0,3600.0,3600.0,,88,1942,6904433.0
2022-09-02,3600.0,3528.1,3600.0,3600.0,,18,230,824355.0
2022-09-04,3625.0,3580.0,3588.1,3600.0,-11.9,63,1097,3947491.0
2022-09-05,3658.0,3590.0,3595.0,3588.1,6.9,34,490,1774431.0
2022-09-06,3600.0,3541.1,3543.0,3595.0,-52.0,24,257,911835.3
2022-09-07,3520.1,3472.2,3507.0,3543.0,-36.0,59,933,3263501.0
2022-09-08,3615.0,3455.1,3615.0,3507.0,108.0,70,981,3438497.5
2022-09-11,3543.0,3500.0,3501.0,3615.0,-114.0,43,580,2039897.0
2022-09-12,3529.0,3412.1,3444.0,3501.0,-57.0,64,1460,5033321.0
2022-09-13,3550.0,3411.1,3441.0,3444.0,-3.0,45,690,2377275.0
2022-09-14,3550.0,3465.0,3485.0,3441.0,44.0,50,1022,3584120.0
2022-09-15,3468.8,3390.0,3400.0,3485.0,-85.0,47,1211,4147645.7
2022-09-16,3350.0,3283.0,3338.0,3400.0,-62.0,41,700,2319299.0
2022-09-18,3340.0,3262.0,3270.0,3338.0,-68.0,60,885,2910372.0
2022-09-20,3210.0,3150.0,3175.0,3270.0,-95.0,59,900,2873582.0
2022-09-21,3200.0,3114.0,3185.0,3175.0,10.0,36,490,1556858.0
2022-09-22,3200.0,3124.1,3130.0,3185.0,-55.0,33,385,1215228.0
2022-09-25,3110.0,3040.1,3040.1,3130.0,-89.9,52,647,1983515.0
2022-09-27,3100.0,3070.0,3080.0,3040.1,39.9,18,220,678982.0
2022-09-28,3110.0,3056.0,3110.0,3080.0,30.0,18,280,865741.0
2022-09-29,3172.0,3100.0,3150.0,3110.0,40.0,23,310,971881.0
2022-10-09,3460.0,3200.0,3460.0,3150.0,310.0,28,430,1440450.0
2022-10-10,3391.0,3300.0,3315.0,3460.0,-145.0,49,670,2238857.0
2022-10-11,3298.0,3232.0,3240.0,3315.0,-75.0,32,458,1489070.2
2022-10-12,3289.0,3210.0,3280.0,3240.0,40.0,33,350,1142080.0
2022-10-13,3320.0,3243.0,3296.0,3280.0,16.0,30,314,1033987.0
2022-10-16,3290.0,3231.0,3241.0,3296.0,-55.0,32,500,1622925.0
2022-10-17,3239.0,3200.7,3206.0,3241.0,-35.0,20,306,982640.6
2022-10-19,3215.0,3171.0,3185.0,3206.0,-21.0,29,402,1284155.0
2022-10-20,3197.0,3160.0,3166.0,3185.0,-19.0,16,175,554638.0
2022-10-23,3213.0,3150.0,3200.0,3166.0,34.0,22,322,1026840.0
2022-10-31,3299.0,3160.0,3250.0,3200.0,50.0,34,695,2249945.0
2022-11-01,3444.0,3260.0,3435.0,3250.0,185.0,51,1030,3440520.0
2022-11-02,3435.0,3299.7,3355.0,3435.0,-80.0,38,588,1987083.8
2022-11-03,3360.0,3300.0,3308.8,3355.0,-46.19999999999982,26,594,1977810.0
2022-11-06,3639.6,3374.0,3639.6,3308.8,330.7999999999997,146,4111,14784521.0
2022-11-07,3712.3,3570.0,3629.0,3639.6,-10.599999999999907,143,4268,15563935.0
2022-11-08,3651.0,3556.6,3598.0,3629.0,-31.0,58,1111,4002741.0
2022-11-09,3552.0,3295.0,3340.0,3598.0,-258.0,171,3569,12191345.5
2022-11-10,3390.0,3274.0,3380.0,3340.0,40.0,83,1810,6064559.0
2022-11-13,3445.0,3290.2,3400.0,3380.0,20.0,67,1677,5678072.0
2022-11-14,3440.0,3389.0,3421.0,3400.0,21.0,25,555,1888795.0
2022-11-15,3467.0,3377.0,3380.0,3421.0,-41.0,35,663,2259704.0
2022-11-16,3447.0,3335.1,3346.0,3380.0,-34.0,55,1181,3972935.0
2022-11-22,3439.0,3337.2,3362.0,3402.0,-40.0,18,510,1726882.0
2022-11-23,3380.0,3340.0,3346.0,3362.0,-16.0,24,430,1443202.0
2022-11-24,3385.0,3355.0,3365.0,3346.0,19.0,27,661,2220548.1
2022-11-27,3498.0,3365.0,3490.0,3365.0,125.0,51,850,2938217.0
2022-11-28,3535.0,3460.0,3461.0,3490.0,-29.0,51,758,2644516.0
2022-11-29,3560.0,3413.0,3560.0,3461.0,99.0,60,1186,4187691.0
2022-11-30,3620.0,3590.0,3605.0,3560.0,45.0,42,768,2766487.0
2022-12-01,3635.0,3580.0,3615.0,3605.0,10.0,40,590,2125282.0
2022-12-04,3620.0,3501.1,3547.0,3615.0,-68.0,45,1036,3691565.4
2022-12-05,3520.0,3441.0,3490.0,3547.0,-57.0,53,1372,4781603.0
2022-12-06,3470.0,3437.1,3450.0,3490.0,-40.0,13,130,447752.0
2022-12-07,3490.0,3455.1,3489.0,3450.0,39.0,21,370,1284233.0
2022-12-11,3450.0,3410.1,3440.0,3489.0,-49.0,40,890,3044435.0
2022-12-12,3490.0,3400.0,3449.0,3440.0,9.0,28,404,1388040.0
2022-12-13,3455.0,3400.0,3455.0,3449.0,6.0,13,150,513680.0
2022-12-14,3490.0,3390.1,3462.0,3455.0,7.0,20,200,686925.0
2022-12-15,3422.0,3400.0,3401.0,3462.0,-61.0,31,810,2761166.0
2022-12-18,3469.0,3350.0,3469.0,3401.0,68.0,37,600,2025958.0
2022-12-19,3440.0,3355.0,3387.8,3469.0,-81.19999999999982,19,215,727879.0
2022-12-20,3439.0,3380.1,3383.1,3387.8,-4.700000000000273,18,200,678405.0
2022-12-21,3369.0,3330.0,3334.0,3383.1,-49.09999999999991,22,519,1740924.0
2022-12-22,3396.0,3272.0,3334.0,3334.0,0.0,25,560,1865924.0
2022-12-26,3425.0,3325.0,3425.0,3334.0,91.0,35,623,2121160.0
2022-12-27,3490.0,3362.0,3400.0,3425.0,-25.0,33,941,3224175.0
2022-12-28,3450.0,3344.3,3430.0,3400.0,30.0,20,294,1002634.0
2022-12-29,3440.0,3396.0,3414.0,3430.0,-16.0,19,239,815490.2
2023-01-01,3445.0,3400.0,3410.0,3414.0,-4.0,41,614,2096580.0
2023-01-02,3423.0,3353.0,3410.0,3410.0,0.0,24,470,1587992.0
2023-01-03,3550.0,3399.9,3479.0,3410.0,69.0,60,1752,6077250.0
2023-01-04,3550.0,3430.1,3469.2,3479.0,-9.800000000000182,41,731,2560449.0
2023-01-05,3594.9,3515.0,3535.1,3469.2,65.90000000000009,67,1631,5785675.0
2023-01-08,3590.0,3470.0,3500.0,3535.1,-35.09999999999991,82,2244,7989252.4
2023-01-09,3560.0,3426.0,3485.0,3500.0,-15.0,67,2366,8214588.5
2023-01-10,3553.0,3310.0,3310.0,3485.0,-175.0,73,1973,6742688.0
2023-01-12,3478.0,3300.0,3300.0,3310.0,-10.0,47,1025,3441731.0
2023-01-17,3450.0,3320.0,3321.0,3300.0,21.0,51,1574,5262318.6
2023-01-18,3387.0,3306.0,3340.0,3321.0,19.0,37,715,2379453.5
2023-01-19,3360.0,3310.0,3318.0,3340.0,-22.0,43,970,3220503.0
2023-01-23,3550.0,3370.0,3495.0,3318.0,177.0,181,5062,17665837.5
2023-01-24,3700.0,3545.0,3700.0,3495.0,205.0,202,9334,33800467.7
2023-01-25,3844.0,3650.0,3799.9,3700.0,99.90000000000008,173,4536,17122826.1
